Dataset:              Benthic Taxonomy Information
File Name:            ben_tax.dat
Date Created:         06/08/10
# Variables:          7
# Header Records:     18
# Data Records:       745
Delimiter:            ,
Missing Value Symbol: .

Variables:        TSN            ITIS Taxonomic Serial Number 
                  TSN_NAME       ITIS Taxa Latin Name              
                  PHYLUM         Taxonomic Phylum            
                  CLASS          Taxonomic Class            
                  ORDER          Taxonomic Order            
                  FAMILY         Taxonomic Family           
                  GENUS          Taxonomic Genus             

tsn,PHYLUM,CLASS,ORDER,FAMILY,GENUS,tsn_name,ntsn,STATUS,TAXON_RANK_NAME,old_name,KINGDOM,SPECIES,
158230,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Pentamera,Pentamera pulcherrima,158230,A,Species, , ,pulcherrima,
158426,Echinodermata,Holothuroidea,Apodida,Synaptidae,Labidoplax,Labidoplax,158426,A,Genus, , , ,
158429,Echinodermata,Holothuroidea,Apodida,Synaptidae,Leptosynapta,Leptosynapta,158429,A,Genus, , , ,
158432,Echinodermata,Holothuroidea,Apodida,Synaptidae,Leptosynapta,Leptosynapta tenuis,158432,A,Species, , ,tenuis,
158527,Echinodermata,Holothuroidea,Molpadiida,Caudinidae,Caudina,Caudina arenata,158527,A,Species, , ,arenata,
158616,Hemichordata, , , , ,Hemichordata,158616,A,Phylum, ,Animalia, ,
158628,Hemichordata,Enteropneusta, ,Ptychoderidae,Balanoglossus,Balanoglossus,158628,A,Genus, , , ,
158854,Chordata,Ascidiacea, , , ,Ascidiacea,158854,A,Class, , , ,
159541,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Molgula,Molgula,159541,A,Genus, ,Animalia, ,
159681,Chordata,Cephalochorda, ,Branchiostomidae,Branchiostoma,Branchiostoma,159681,A,Genus, , , ,
182724,Annelida,Polychaeta,Aciculata,Lumbrineridae,Lumbrinereis,Lumbrinereis,182724,S,Genus,Scoletoma, , ,
182726,Annelida,Polychaeta,Aciculata,Lumbrineridae,Lumbrinereis,Lumbrineris acicularum,182726,S,Species,Scoletoma acicularum, ,acicularum,
182728,Annelida,Polychaeta, ,Orbiniidae,Scoloplos,Scoloplos robustus,182728,S,Species,Leitoscoloplos robustus, ,robustus,
182729,Annelida,Polychaeta, ,Orbiniidae,Scoloplos,Scoloplos acutus,182729,S,Species,Leitoscoloplos acutus, ,acutus,
202863,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Bemlos,Bemlos,202863,A,Genus, ,Animalia, ,
204494,Annelida,Polychaeta, ,Paraonidae,Aricidea,Aricidea cerrutii,204494,A,Species, , ,cerrutii,
204501,Annelida,Polychaeta,Canalipalpata,Spionidae,Polydora,Polydora cornuta,204501,A,Species, , ,cornuta,
204530,Annelida,Polychaeta,Canalipalpata,Cirratulidae,Tharyx,Tharyx dorsobranchialis,204530,S,Species,Monticellina dorsobranchialis, ,dorsobranchialis,
204552,Annelida,Polychaeta, ,Capitellidae,Capitella,Capitella capitata,204552,S,Species,Lumbricus capitatus, ,capitata,
205822,Arthropoda,Ostracoda,Myodocopida,Sarsiellidae,Eusarsiella,Eusarsiella zostericola,205822,A,Species, , ,zostericola,
206924,Chordata,Cephalochorda, ,Branchiostomidae,Branchiostoma,Branchiostoma virginiae,206924,A,Species, , ,virginiae,
46861,Porifera, , , , ,Porifera,46861,A,Phylum, ,Animalia, ,
48739,Cnidaria,Hydrozoa, , , ,Hydrozoa,48739,A,Class, , , ,
51938,Cnidaria,Anthozoa, , , ,Anthozoa,51938,A,Class, , , ,
51984,Cnidaria,Anthozoa,Ceriantharia, , ,Ceriantharia,51984,A,Order, ,Animalia, ,
52485,Cnidaria,Anthozoa,Actiniaria, , ,Actiniaria,52485,A,Order, , , ,
52489,Cnidaria,Anthozoa,Actiniaria,Edwardsiidae,Edwardsia,Edwardsia elegans,52489,A,Species, , ,elegans,
53964,Platyhelminth,Turbellaria, , , ,Turbellaria,53964,A,Class, , , ,
