Dataset:              Station Location and Information Data
File Name:            CP_STAT.txt
Date Created:         02Dec1998
# Variables:          12
# Header Records:     22
# Data Records:       343
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              CLASCODE     Carolinian Province Office Station Type
              STRATA       Estuary Class Code
              STA_AREA     Statistical Area of Station (sq. km)
              ESTUARY      Estuary Name
              LATDEG       Latitude (decimal degrees)
              LNGDEG       Longitude (-decimal degrees)
              DEPTH        Depth (m) at Time of WQ Profile
              STATE        State of Estuary (2 Letter Postal Code)
              EMAPSTAT     EMAP Station Name
              SEGMENT      EMAP River Segment Number (SPUNIT)
              MAIASTAT     MAIA Station Code

STA_NAME;CLASCODE;STRATA;STA_AREA;ESTUARY;LATDEG;LNGDEG;DEPTH;STATE;EMAPSTAT;SEGMENT;MAIASTAT
CP94030;Random-Base;SR;5.8;Alligator Bay;34.5055;-77.4070;0.5;NC;CA94SR20; ; 
CP94031;Random-Base;SR;3.5;Queens Creek;34.6692;-77.1515;0.9;NC;CA94SR19; ; 
CP94032;Random-Base;SR;50.8;Back Sound;34.6835;-76.5565;1.3;NC;CA94SR18; ; 
CP94033;Random-Base;SR;222.5;Core Sound;34.7732;-76.4532;2.0;NC;CA94SR17; ; 
CP94034;Random-Base;RR;144.3;Neuse River;34.9728;-76.6962;4.0;NC;CA94RR04;202; 
CP94035;Random-Base;SR;93.7;West Bay;35.0057;-76.4078;3.3;NC;CA94SR16; ; 
CP94036;Random-Base;RR;268.1;Neuse River;35.0730;-76.5513;5.6;NC;CA94RR03;201; 
CP94037;Random-Base;LR;280.0;Pamlico Sound;35.0833;-76.1897;4.6;NC;CA94LR10; ; 
CP94038;Random-Base;SR;7.0;Broad Creek;35.0957;-76.6000;2.0;NC;CA94SR14; ; 
CP94039;Random-Base;LR;280.0;Pamlico Sound;35.1198;-76.0280;2.4;NC;CA94LR11; ; 
CP94040;Random-Base;LR;280.0;Pamlico Sound;35.1402;-76.4702;6.1;NC;CA94LR12; ; 
CP94041;Random-Base;LR;280.0;Pamlico Sound;35.1508;-76.2202;5.9;NC;CA94LR13; ; 
CP94042;Random-Base;LR;280.0;Pamlico Sound;35.1600;-75.9843;3.8;NC;CA94LR14; ; 
CP94043;Random-Base;SR;13.9;Jones Bay;35.2308;-76.5603;2.5;NC;CA94SR13; ; 
CP94044;Random-Base;LR;280.0;Pamlico Sound;35.2570;-75.7520;2.5;NC;CA94LR15; ; 
CP94045;Random-Base;LR;280.0;Pamlico Sound;35.3057;-75.5672;2.3;NC;CA94LR16; ; 
CP94046;Random-Base;SR;5.0;West Bluff Bay;35.3427;-76.1755;2.5;NC;CA94SR08; ; 
CP94047;Random-Base;SR;14.9;South Creek;35.3545;-76.6937;3.2;NC;CA94SR12; ; 
CP94048;Random-Base;RR;208.7;Pamlico River;35.3573;-76.4773;5.7;NC;CA94RR01;101; 
CP94049;Random-Base;SR;20.1;Swanquarter Bay;35.3673;-76.3415;1.7;NC;CA94SR09; ; 
CP94050;Random-Base;LR;280.0;Pamlico Sound;35.3788;-75.8760;5.4;NC;CA94LR17; ; 
CP94051;Random-Base;RP;150.1;Pamlico River;35.3962;-76.6747;4.6;NC;CA94RP02;102; 
CP94052;Random-Base;RR;150.1;Pamlico River;35.3975;-76.6923;4.8;NC;CA94RR02;102; 
CP94053;Random-Base;SR;4.2;Bath Creek;35.4575;-76.8172;2.7;NC;CA94SR11; ; 
CP94054;Random-Base;SR;5.8;Slade Creek;35.4757;-76.5387;1.9;NC;CA94SR10; ; 
CP94055;Random-Base;LR;280.0;Pamlico Sound;35.5410;-75.7160;4.1;NC;CA94LR18; ; 
CP94056;Random-Base;LR;280.0;Pamlico Sound;35.5575;-75.5792;4.3;NC;CA94LR19; ; 
CP94057;Random-Base;SR;21.4;Long Shoal River;35.5797;-75.8500;1.3;NC;CA94SR07; ; 
CP94058;Random-Base;LR;280.0;Pamlico Sound;35.6567;-75.6023;3.9;NC;CA94LR20; ; 
CP94059;Random-Base;LR;280.0;Pamlico Sound;35.7183;-75.5637;1.0;NC;CA94LR21; ; 
CP94060;Random-Base;SR;88.0;Croatan Sound;35.8572;-75.6678;3.2;NC;CA94SR06; ; 
CP94061;Random-Base;SR;38.7;Bull Bay;35.9612;-76.3520;4.0;NC;CA94SR05; ; 
CP94062;Random-Base;LR;280.0;Albemarle Sound;35.9910;-76.5225;6.0;NC;CA94LR05; ; 
