Dataset:              Station Location and Information Data
File Name:            CP_STAT.txt
Date Created:         02Dec1998
# Variables:          12
# Header Records:     22
# Data Records:       343
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              CLASCODE     Carolinian Province Office Station Type
              STRATA       Estuary Class Code
              STA_AREA     Statistical Area of Station (sq. km)
              ESTUARY      Estuary Name
              LATDEG       Latitude (decimal degrees)
              LNGDEG       Longitude (-decimal degrees)
              DEPTH        Depth (m) at Time of WQ Profile
              STATE        State of Estuary (2 Letter Postal Code)
              EMAPSTAT     EMAP Station Name
              SEGMENT      EMAP River Segment Number (SPUNIT)
              MAIASTAT     MAIA Station Code

STA_NAME;CLASCODE;STRATA;STA_AREA;ESTUARY;LATDEG;LNGDEG;DEPTH;STATE;EMAPSTAT;SEGMENT;MAIASTAT
CP96201;Random-Base;SR;13.5;North Landing River;36.4953;-76.0048;2.1;NC; ; ; 
CP96202;Random-Base;SR;90.7;Pasquotank River;36.2805;-76.1512;3.6;NC; ; ; 
CP96203;Random-Base;LR;280.0;Currituck Sound;36.2365;-75.8103;1.0;NC; ; ; 
CP96204;Random-Base;LR;280.0;Currituck Sound;36.1552;-75.7955;3.0;NC; ; ; 
CP96205;Random-Base;SR;49.2;Perquimans River;36.1298;-76.3327;3.5;NC; ; ; 
CP96206;Random-Base;LR;280.0;Albemarle Sound;36.1037;-75.9537;5.6;NC; ; ; 
CP96207;Random-Base;LR;280.0;Albemarle Sound;36.0685;-76.2735;6.2;NC; ; ; 
CP96208;Random-Base;SR;66.1;Roanoke Sound;35.9515;-75.6607;2.7;NC; ; ; 
CP96209;Random-Base;SR;23.6;East Lake;35.9438;-75.8852;2.3;NC; ; ; 
CP96210;Random-Base;SR;7.9;Scuppernong River;35.9363;-76.3022;3.1;NC; ; ; 
CP96211;Random-Base;SR;6.3;Cashie River;35.9298;-76.7362;2.7;NC; ; ; 
CP96212;Random-Base;LR;280.0;Pamlico Sound;35.8277;-75.6835;3.5;NC; ; ; 
CP96213;Random-Base;LR;280.0;Pamlico Sound;35.7330;-75.6417;4.4;NC; ; ; 
CP96214;Random-Base;SR;5.5;Pantego Creek;35.5418;-76.6320;1.4;NC; ; ; 
CP96215;Random-Base;SR;2.8;Far Creek;35.5113;-75.9672;1.8;NC; ; ; 
CP96216;Random-Base;LR;280.0;Pamlico Sound;35.4595;-75.5787;4.8;NC; ; ; 
CP96217;Random-Base;SR;3.2;North Creek;35.4297;-76.6667;0.9;NC; ; ; 
CP96218;Random-Base;LR;280.0;Pamlico Sound;35.4167;-75.7882;6.4;NC; ; ; 
CP96219;Random-Base;LR;280.0;Pamlico Sound;35.4037;-75.9448;5.2;NC; ; ; 
CP96220;Random-Base;SR;42.7;Rose Bay;35.3953;-76.4162;2.6;NC; ; ; 
CP96221;Random-Base;RR;150.1;Pamlico River;35.3888;-76.6688;4.2;NC; ;102; 
CP96222;Random-Base;LR;280.0;Pamlico Sound;35.3715;-75.6085;5.0;NC; ; ; 
CP96223;Random-Base;LR;280.0;Pamlico Sound;35.3402;-76.2868;1.6;NC; ; ; 
CP96224;Random-Base;LR;280.0;Pamlico Sound;35.3388;-76.0883;2.3;NC; ; ; 
CP96225;Random-Base;RR;208.7;Pamlico River;35.3345;-76.5002;4.5;NC; ;101; 
CP96226;Random-Base;SR;13.1;Goose Creek;35.3322;-76.6115;1.5;NC; ; ; 
CP96227;Random-Base;LR;280.0;Pamlico Sound;35.2752;-75.8893;6.1;NC; ; ; 
CP96228;Random-Base;SR;2.7;Big Porpoise Bay;35.2627;-76.4763;0.9;NC; ; ; 
CP96229;Random-Base;LR;280.0;Pamlico Sound;35.2350;-75.8500;4.6;NC; ; ; 
CP96230;Random-Base;LR;280.0;Pamlico Sound;35.2348;-76.1515;6.2;NC; ; ; 
CP96231;Random-Base;LR;280.0;Pamlico Sound;35.1917;-75.7797;0.6;NC; ; ; 
CP96232;Random-Base;SR;51.7;Bay River;35.1678;-76.6670;3.5;NC; ; ; 
CP96233;Random-Base;RR;268.1;Neuse River;35.0852;-76.5188;6.8;NC; ;201; 
CP96234;Random-Base;LR;280.0;Pamlico Sound;35.0807;-76.0242;1.4;NC; ; ; 
CP96235;Random-Base;RR;144.3;Neuse River;35.0022;-76.6892;5.7;NC; ;202; 
CP96236;Random-Base;SR;7.8;Turnagain Bay;34.9905;-76.4995;1.4;NC; ; ; 
CP96237;Random-Base;SR;7.6;Nelson Bay;34.8623;-76.4027;2.6;NC; ; ; 
CP96238;Random-Base;SR;114.8;Bogue Sound;34.7050;-76.9118;1.0;NC; ; ; 
CP96239;Random-Base;SR;4.1;Lookout Bight;34.6248;-76.5368;3.6;NC; ; ; 
CP96240;Random-Base;SR;88.8;New River;34.5660;-77.3647;1.2;NC; ; ; 
CP96241;Random-Base;SR;6.3;Masonboro Sound;34.1333;-77.8648;1.2;NC; ; ; 
CP96242;Random-Base;SR;17.0;Myrtle Grove Sound;34.1087;-77.8668;0.1;NC; ; ; 
CP97022;Revisit; ;.;Doboy Sound;31.3907;-81.2930;3.8;GA; ; ; 
CP97036;Revisit; ;.;Neuse River;35.0730;-76.5513;5.2;NC; ; ; 
CP97052;Revisit; ;.;Pamlico River;35.3975;-76.6923;4.4;NC; ; ; 
CP97071;Revisit; ;.;Currituck Sound;36.3858;-75.8550;1.0;NC; ; ; 
CP97075;Revisit; ;.;Chechessee River;32.2852;-80.7490;9.9;SC; ; ; 
CP97082;Revisit; ;.;Sampit River;33.3585;-79.2918;4.6;SC; ; ; 
CP97109;Revisit; ;.;Little Alligator River;35.9368;-76.1015;2.6;NC; ; ; 
CP97114;Revisit; ;.;Pungo Creek;35.5143;-76.6397;2.0;NC; ; ; 
CP97120;Revisit; ;.;Durham Creek;35.3788;-76.8252;1.4;NC; ; ; 
CP97141;Revisit; ;.;Thorofare Bay;34.9160;-76.3360;2.0;NC; ; ; 
CP97149;Revisit; ;.;Winyah Bay;33.3412;-79.2742;4.7;SC; ; ; 
CP97156;Revisit; ;.;South Edisto River;32.5908;-80.3983;8.2;SC; ; ; 
CP97164;Revisit; ;.;Ogeechee River;31.8607;-81.1085;6.7;GA; ; ; 
CP97172;Revisit; ;.;Doctors Lake;30.1352;-81.7305;3.1;FL; ; ; 
CP97183;Revisit; ;.;Indian River Lagoon;27.8273;-80.4507;.;FL; ; ; 
CP97184;Revisit; ;.;Indian River Lagoon;27.7142;-80.3995;.;FL; ; ; 
CP97301;Random-Base;SR;6.5;Back Creek;36.5180;-75.9802;1.2;NC; ; ;CA-MAIA-01
CP97302;Random-Base;LR;280.0;Currituck Sound;36.4127;-75.8995;1.0;NC; ; ;CA-MAIA-19
CP97303;Random-Base;SR;66.2;North River;36.2352;-75.9338;3.7;NC; ; ;CA-MAIA-02
CP97304;Random-Base;LR;280.0;Currituck Sound;36.2295;-75.8162;1.2;NC; ; ;CA-MAIA-18
CP97305;Random-Base;LR;280.0;Currituck Sound;36.1493;-75.7813;2.3;NC; ; ;CA-MAIA-17
CP97306;Random-Base;SR;4.4;Big Flatty River;36.1365;-76.1312;1.0;NC; ; ;CA-MAIA-03
CP97307;Random-Base;LR;280.0;Albemarle Sound;36.0873;-75.9637;5.3;NC; ; ;CA-MAIA-21
CP97308;Random-Base;LR;280.0;Albemarle Sound;36.0718;-76.2748;5.1;NC; ; ;CA-MAIA-20
CP97309;Random-Base;SR;35.8;Batchelor Bay;35.9523;-76.7143;1.7;NC; ; ;CA-MAIA-04
CP97310;Random-Base;SR;239.7;Alligator River;35.9195;-75.9818;3.6;NC; ; ;CA-MAIA-06
CP97311;Random-Base;SR;24.0;Roanoke River;35.9167;-76.7207;4.6;NC; ; ;CA-MAIA-05
CP97312;Random-Base;LR;280.0;Pamlico Sound;35.8238;-75.6765;4.4;NC; ; ;CA-MAIA-34
CP97313;Random-Base;LR;280.0;Pamlico Sound;35.7387;-75.6362;3.4;NC; ; ;CA-MAIA-33
CP97314;Random-Base;SR;20.2;Stumpy Point Bay;35.6977;-75.7570;1.2;NC; ; ;CA-MAIA-07
CP97315;Random-Base;SR;3.9;Chocowinity Bay;35.5000;-77.0297;1.4;NC; ; ;CA-MAIA-11
CP97316;Random-Base;LR;280.0;Pamlico Sound;35.4480;-75.5870;5.1;NC; ; ;CA-MAIA-32
CP97317;Random-Base;SR;5.3;Fortescue Creek;35.4287;-76.5320;2.1;NC; ; ;CA-MAIA-10
CP97318;Random-Base;LR;280.0;Pamlico Sound;35.4117;-75.7788;6.0;NC; ; ;CA-MAIA-31
CP97319;Random-Base;LR;280.0;Pamlico Sound;35.4055;-75.9668;4.4;NC; ; ;CA-MAIA-30
CP97320;Random-Base;RR;150.1;Pamlico River;35.4055;-76.7522;4.6;NC; ;102;CA-MAIA-36
CP97321;Random-Base;SR;8.1;Spenser Bay;35.3882;-76.4597;2.7;NC; ; ;CA-MAIA-09
CP97322;Random-Base;RR;208.7;Pamlico River;35.3762;-76.6502;4.6;NC; ;101;CA-MAIA-35
CP97323;Random-Base;SR;4.2;East Bluff Bay;35.3590;-76.1313;0.7;NC; ; ;CA-MAIA-08
CP97324;Random-Base;LR;280.0;Pamlico Sound;35.3697;-75.5828;4.0;NC; ; ;CA-MAIA-29
CP97325;Random-Base;LR;280.0;Pamlico Sound;35.3393;-76.2882;2.0;NC; ; ;CA-MAIA-27
CP97326;Random-Base;LR;280.0;Pamlico Sound;35.3222;-76.0550;3.4;NC; ; ;CA-MAIA-28
CP97327;Random-Base;SR;5.6;Oyster Creek;35.3207;-76.5575;1.5;NC; ; ;CA-MAIA-12
CP97328;Random-Base;LR;280.0;Pamlico Sound;35.2747;-75.8795;5.3;NC; ; ;CA-MAIA-26
CP97329;Random-Base;SR;6.2;Middle Bay;35.2365;-76.5138;0.8;NC; ; ;CA-MAIA-13
CP97330;Random-Base;LR;280.0;Pamlico Sound;35.2357;-76.1482;5.4;NC; ; ;CA-MAIA-25
CP97331;Random-Base;LR;280.0;Pamlico Sound;35.2330;-75.8492;4.3;NC; ; ;CA-MAIA-24
CP97332;Random-Base;LR;280.0;Pamlico Sound;35.1920;-75.7652;3.6;NC; ; ;CA-MAIA-23
CP97333;Random-Base;SR;7.3;Trent River;35.0707;-77.0763;2.0;NC; ; ;CA-MAIA-14
CP97334;Random-Base;RR;268.1;Neuse River;35.0887;-76.5138;6.6;NC; ;201;CA-MAIA-37
CP97335;Random-Base;LR;280.0;Pamlico Sound;35.0773;-76.0138;0.9;NC; ; ;CA-MAIA-22
CP97336;Random-Base;RR;144.3;Neuse River;35.0003;-76.6840;5.6;NC; ;202;CA-MAIA-38
CP97337;Random-Base;SR;11.7;Cedar Island Bay;34.9745;-76.2782;2.5;NC; ; ;CA-MAIA-16
CP97338;Random-Base;SR;12.7;South River;34.9670;-76.5832;2.9;NC; ; ;CA-MAIA-15
CP97339;Random-Base;SR;32.8;North River;34.7605;-76.6037;1.2;NC; ; ; 
CP97340;Random-Base;SR;9.9;The Straits;34.7170;-76.5618;3.2;NC; ; ; 
CP97341;Random-Base;SR;13.6;Shackleford Channel;34.7000;-76.6708;6.0;NC; ; ; 
CP97342;Random-Base;SR;7.6;Middle Sound;34.2663;-77.7695;1.3;NC; ; ; 
CP97343;Random-Base;SR;4.2;Elizabeth River;33.8995;-78.0282;2.3;NC; ; ; 
CP97344;Random-Base;SR;3.8;Slocum Creek;.;.;.;NC; ; ; 
CP97345;Intensive; ;.;Chowan River;36.4610;-76.9960;9.3;NC; ; ;CA-MAIA-39
CP97346;Intensive; ;.;Chowan River;36.3960;-76.9200;6.8;NC; ; ;CA-MAIA-47
CP97347;Intensive; ;.;Chowan River;36.3750;-76.8460;6.4;NC; ; ;CA-MAIA-48
CP97348;Intensive; ;.;Chowan River;36.3630;-76.7900;2.0;NC; ; ;CA-MAIA-40
CP97349;Intensive; ;.;Chowan River;36.2920;-76.6980;3.7;NC; ; ;CA-MAIA-41
CP97350;Intensive; ;.;Chowan River;36.2180;-76.7180;7.0;NC; ; ;CA-MAIA-42
CP97351;Intensive; ;.;Chowan River;36.1740;-76.7450;4.5;NC; ; ;CA-MAIA-43
CP97352;Intensive; ;.;Chowan River;36.1170;-76.7370;6.1;NC; ; ;CA-MAIA-44
CP97353;Intensive; ;.;Chowan River;36.0830;-76.7180;5.4;NC; ; ;CA-MAIA-45
CP97354;Intensive; ;.;Chowan River;36.0260;-76.6660;4.0;NC; ; ;CA-MAIA-46
CP97HOB;Reference; ;.;Hobcaw Creek;32.8257;-79.8728;.;SC; ; ; 
CP97JIY;Reference; ;.;James Island Yacht Club;32.7557;-79.9178;.;SC; ; ; 
CP97SPY;Reference; ;.;Shipyard Creek;32.8375;-79.9458;.;SC; ; ; 
CP97WAN;Reference; ;.;Wando River Mouth;32.8108;-79.9090;.;SC; ; ; 
