Dataset:              Water Quality Bottom Data
File Name:            va93_2_3.txt
Date Created:         02/23/96
# Variables:          10
# Header Records:     20
# Data Records:       110
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the bottom
              TEMP         Temperature (C) at the bottom
              SAL          Salinity (ppt) at the bottom
              PH           pH (units) at the bottom
              FLR          Fluorescence at the bottom
              TRANS        Transmissivity (%) at the bottom
              PAR          PAR (mE/m2/s) at the bottom
              DENS         Density (Sigma t) at the bottom

STA_NAME    DATE     DO   TEMP    SAL     PH   FLR TRANS    PAR   DENS
VA93-697  930804    7.1  20.59  29.07    8.3     3    86      4  20.09
VA93-698  930827    6.7  20.84  30.35    8.3     2    86     27  21.00
VA93-699  930917    7.1  17.99  31.10    8.4     3    82      9  22.29
VA93-700  930917    7.4  17.34  31.57    8.5     4    89     10  22.80
VA93-702  930826    6.2  23.57  27.81    8.3    11    65    325  18.33
VA93-703  930825    5.8  22.70  28.50    8.2     9    20      4  19.10
VA93-704  930825    6.3  21.34  29.25    8.3     3    58      6  20.03
VA93-705  930805    7.2  19.01  30.28    8.2     3    86      3  21.42
VA93-706  930916    7.2  15.40  31.87    8.4     2    89      .  23.47
VA93-707  930917    7.5  15.86  31.94    8.4     4    85      .  23.42
VA93-709  930813    7.1  20.35  30.73    8.3     2    82     90  21.42
VA93-710  930726    5.3  25.62   4.21    7.6     3    29      3   0.05
VA93-711  930819    7.3  20.03  31.49    8.4     6    83    258  22.08
VA93-712  930814    5.7  22.80  31.11    8.3     6    34    164  21.04
VA93-713  930813    6.0  20.70  29.70    8.2     6    81    216  20.54
VA93-714  930819    5.3  22.75  31.86    8.3     7    78    205  21.62
VA93-715  930914    7.3  17.90  31.71    8.3     2    85      6  22.78
VA93-716  930914    7.0  21.14  31.56    8.4     4    86     10  21.84
VA93-717  930915    6.7  20.96  31.55    8.4     7    66      9  21.88
VA93-718  930814    4.9  19.57  31.02    8.1     2    69     60  21.84
VA93-719  930727    5.7  25.53   0.88    7.7     2    44      4  -2.42
VA93-720  930816    5.5  22.54  31.28    8.3    10    84    345  21.25
VA93-721  930820    5.6  21.26  31.34    8.3     3    71      9  21.64
VA93-722  930821    4.7  23.37  28.01    8.1     6    70    106  18.54
VA93-723  930822    6.5  22.72  31.37    8.4     3    88    321  21.26
VA93-724  930822    7.7  18.48  31.37    8.4     3    87    142  22.38
VA93-725  930815    0.0  21.21  30.26    7.7     3    80      3  20.83
VA93-726  930728    6.3  24.67   0.12    7.8     4    56      6  -2.78
VA93-727  930729    5.9  25.05   0.11    7.6     2    71      3  -2.88
