Dataset:              Water Quality Bottom Data
File Name:            va92_2_3.txt
Date Created:         02/23/96
# Variables:          10
# Header Records:     20
# Data Records:       103
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the bottom
              TEMP         Temperature (C) at the bottom
              SAL          Salinity (ppt) at the bottom
              PH           pH (units) at the bottom
              FLR          Fluorescence at the bottom
              TRANS        Transmissivity (%) at the bottom
              PAR          PAR (mE/m2/s) at the bottom
              DENS         Density (Sigma t) at the bottom

STA_NAME    DATE     DO   TEMP    SAL     PH   FLR TRANS    PAR   DENS
VA92-483  920815    6.5  23.92  17.23    8.0     7    61     14  10.27
VA92-484  920806    6.6  27.50   0.09    7.0    20     8      6  -3.55
VA92-485  920828    7.8  26.43  13.12    8.4     6    78     62   6.49
VA92-486  920828    7.1  27.16  14.47    8.1     7    66     17   7.29
VA92-487  920802    6.4  26.30  16.57    8.0     6    54     14   9.11
VA92-488  920815    7.1  23.40  14.76    8.0    12    26     24   8.55
VA92-490  920730    6.5  26.11  12.21    8.0    16    51    639   5.90
VA92-491  920814    3.3  25.40  16.68    7.7     4    77     25   9.45
VA92-492  920731    6.0  27.57  10.20    7.5    11    34     38   3.98
VA92-493  920729    6.1  26.39   2.84    7.3     4    11      5  -1.18
VA92-494  920729    9.1  26.34   1.19    8.9    17    16     45  -2.41
VA92-495  920816    6.6  21.60  27.00     .      .     .      .    .  
VA92-497  920814    0.0  25.47  20.11    7.5     2    79      3  12.00
VA92-499  920728    9.3  25.38   0.12    9.2    24     2    178  -2.96
VA92-500  920830    1.3  25.09  18.21    7.5     4    83      3  10.68
VA92-501  920828    6.8  27.33  14.10    8.2     9    59     45   6.96
VA92-502  920727    6.2  24.60   0.13    7.5     6    22    112  -2.75
VA92-503  920818    6.0  22.01  25.26    7.9    11    25     28  16.84
VA92-504  920806    6.0  25.21  11.96    7.9    16    51     80   5.97
VA92-505  920810    6.7  20.61  30.42    8.0     5    78      3  21.12
VA92-506  920806    6.0  25.81  11.41    7.9    12    46      3   5.39
VA92-507  920802    6.7  25.32   9.73    8.1    25    33     41   4.26
VA92-508  920812    6.2  23.70  26.84    8.0     5    77     11  17.56
VA92-509  920809    7.4  25.37  31.89    8.0     6    63   1235  20.89
VA92-510  920810    7.2  24.47  25.02    8.2    25    42      4  15.98
VA92-511  920803    6.2  25.09   9.54    7.8    15    11      2   4.19
VA92-512  920809    5.4  24.06  31.73    7.7     5    71     72  21.15
VA92-513  920826    6.5  24.48  18.91    7.8     8    26      2  11.38
VA92-514  920804    6.9  25.34   4.08    7.5     3    58     44   0.03
VA92-515  920808    6.2  22.80  28.21    7.7     5    76     36  18.85
VA92-517  920826    6.2  24.38  16.15    7.7     7    16      2   9.33
VA92-518  920811    6.4  25.98  13.59    7.6    16    14      2   6.97
VA92-519  920805    6.0  25.45   1.80    7.2    11     9   1501  -1.71
VA92-521  920828    8.0  27.75   1.81    7.8    25     7     68  -2.33
VA92-522  920820    6.2  24.24   1.96    7.4     8     2      2  -1.28
VA92-524  920821    5.2  23.95   0.15    7.2     9    12      3  -2.57
VA92-525  920822    4.3  23.80   0.11    6.9     7    62      3  -2.57
VA92-526  920822    6.0  23.11   0.10    7.2     6    54     75  -2.41
VA92-527  920730    6.5  21.75  30.56    8.1     8    74   1052  20.92
VA92-529  920729    5.4  22.04  24.91    7.6     7    73     27  16.56
VA92-530  920728    4.7  23.02  19.06    7.4     8    46     90  11.88
VA92-532  920827    6.7  23.38  29.79    8.2    25    50    158  19.88
VA92-533  920802    9.1  21.40  25.09    8.2    25    33     46  16.86
VA92-534  920802    6.5  20.60  26.05    7.9    25    61      3  17.80
VA92-535  920803    6.3  21.71  26.26    7.8    12    66     79  17.67
VA92-536  920803    7.0  21.17  26.92    8.0    12     .     40  18.31
VA92-537  920821    4.7  22.75   9.31    7.7     5    35      4   4.62
VA92-538  920820    4.8  20.59  26.59    8.0     6    71     46  18.21
VA92-539  920804    3.8  18.38  27.65    7.9     2    76      3  19.56
VA92-540  920828    7.1  23.20  29.13    8.0     4    57     63  19.44
VA92-541  920806    3.9  18.60  27.82    8.1     1    82      3  19.64
VA92-542  920806    3.7  18.56  27.83    7.9     1    46      3  19.66
VA92-543  920829    6.7  22.67  29.20    8.0     8    70      3  19.63
VA92-544  920808    5.7  20.74  27.89    8.1     3    79      3  19.16
VA92-545  920828    7.6  22.37  29.82    8.1     5    82    340  20.19
VA92-547  920811    2.7  19.49  27.63    7.8     2    66      3  19.28
VA92-548  920810    6.2  20.08  28.85    8.2     3    76      3  20.06
VA92-549  920808    4.6  20.05  28.01    8.0     2    70      3  19.43
VA92-550  920817    6.5  18.56  29.98    8.3     2    87      3  21.30
VA92-551  920810    6.3  18.78  29.82    8.2     2    86      3  21.12
VA92-553  920818    5.9  15.67  31.28    8.5     1    84      3  22.96
VA92-554  920818    6.6  17.86  30.47    8.4     1    87      3  21.84
VA92-555  920822    6.2  24.08   3.37    7.8     7    49      3  -0.18
VA92-556  920814    3.8  22.56  25.95    8.2     4     .     90  17.21
VA92-557  920728    7.9  18.36  31.38    8.2     3    86    668  22.42
VA92-558  920728    7.7  19.02  31.36    8.2     4    87     45  22.24
VA92-559  920814    6.6  20.94  28.10    8.2    11    70    622  19.27
VA92-560  920822    6.7  23.66   0.12    7.7     5    49     61  -2.53
VA92-561  920816    6.5  18.54  31.36    8.3     2    82     12  22.35
VA92-562  920729    6.9  21.07  31.45    8.1     3    86    193  21.77
VA92-563  920731    6.4  21.64  31.48     .      2    88     58  21.65
VA92-564  920730    7.4  20.28  31.43     .      5    82     14  21.97
VA92-565  920730    7.3  23.77  29.56     .      9    72   1232  19.60
VA92-566  920815    4.6  20.47  30.47    8.0     4    80     73  21.19
VA92-567  920731    6.7  22.58  31.22     .      4    79    108  21.19
VA92-568  920816    6.2  20.50  30.14    8.2     2    84     18  20.93
VA92-569  920727    9.8  11.78  31.54    8.3     5    85    153  23.95
VA92-570  920823    6.2  22.59   0.11    7.7     5    42      3  -2.28
VA92-571  920824    8.2  22.63   0.11    8.1     7    72      3  -2.29
