Dataset:              Water Quality Bottom Data
File Name:            va92_2_3.txt
Date Created:         02/23/96
# Variables:          10
# Header Records:     20
# Data Records:       103
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the bottom
              TEMP         Temperature (C) at the bottom
              SAL          Salinity (ppt) at the bottom
              PH           pH (units) at the bottom
              FLR          Fluorescence at the bottom
              TRANS        Transmissivity (%) at the bottom
              PAR          PAR (mE/m2/s) at the bottom
              DENS         Density (Sigma t) at the bottom

STA_NAME    DATE     DO   TEMP    SAL     PH   FLR TRANS    PAR   DENS
VA92-451  920810    5.7  26.49  17.28    7.6    17    22      .   9.59
VA92-452  920809    5.9  26.39  23.21    7.9    14    47     72  14.05
VA92-453  920810    5.1  25.17  21.69    7.8     6    53     21  13.27
VA92-454  920808    7.1  24.68  24.32    8.1    10    69     69  15.39
VA92-455  920808    7.0  23.07  30.25    8.1     4    86    308  20.32
VA92-457  920815    5.3  25.28  13.13    7.6     3    56     15   6.82
VA92-460  920811    6.8  24.45  26.93    8.1    18    51     23  17.42
VA92-461  920814    6.4  26.42   2.36    7.6    14    19      6  -1.55
VA92-462  920811    4.2  24.35  25.78    7.9     5    61      7  16.58
VA92-464  920817    5.1  24.72   0.11    7.2    21    10      7  -2.79
VA92-466  920821    5.5  25.38  19.61    8.2    14    64      9  11.65
VA92-467  920816    5.5  25.42   0.11    7.3    17    27      7  -2.98
VA92-468  920814    4.3  26.23   0.30    6.9    12    42      6  -3.05
VA92-469  920816    5.5  25.82   0.11    7.3    15    19      7  -3.08
VA92-470  920823    3.1  23.83  24.78    7.9     4    44      8  15.97
VA92-471  920818    5.3  24.65   0.15    6.8     8    12      7  -2.75
VA92-472  920823    5.9  25.00  17.24    8.3    15    60      8   9.98
VA92-473  920822    2.8  23.89  25.36    7.9     2    48      6  16.39
VA92-474  920822    2.4  24.34  24.12    7.8     3    63      7  15.33
VA92-475  920824    4.6  24.74  21.81    8.0     6    65     33  13.48
VA92-477  920804    4.5  26.90  13.77    7.4     7    12      6   6.84
VA92-478  920824    3.9  24.78  20.00    7.8     5    74     18  12.11
VA92-481  920806    6.4  26.71   2.25    7.1    11    13     27  -1.71
VA92-482  920830    0.9  24.44  22.87    7.5     2    73      3  14.36
