Dataset:              Water Quality Surface Data
File Name:            va91_2_2.txt
Date Created:         02/23/96
# Variables:          11
# Header Records:     21
# Data Records:       101
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the surface
              TEMP         Temperature (C) at the surface
              SAL          Salinity (ppt) at the surface
              PH           pH (units) at the surface
              FLR          Fluorescence at the surface
              TRANS        Transmissivity (%) at the surface
              PAR          PAR (mE/m2/s) at the surface
              DENS         Density (Sigma t) at the surface
              SUSP         Total suspended solids conc. (mg/l)

STA_NAME   DATE       DO    TEMP    SAL     PH FLR TRANS   PAR  DENS    SUSP
VA91-387   910823    9.8   24.22  27.48    8.4   9    76   133 17.89    24.7
VA91-388   910816    7.6   23.07  28.01    8.2   8    84   186 18.62    31.4
VA91-389   910816    8.3   22.89  28.47    8.3  12    80   221 19.02    28.9
VA91-390   910905    7.5   19.95  30.43    8.5   9    87   283 21.29    23.2
VA91-391   910903    7.7   19.66  30.65    8.4   2    90   225 21.53    19.6
VA91-392   910823    7.6   22.90  28.27    8.2  20    61   501 18.87    32.7
VA91-394   910905    7.3   19.60  30.60    8.4   4    89   255 21.51    20.0
VA91-397   910827    6.3   26.80   5.58    7.8   5    54   307  0.77    12.0
VA91-398   910906    7.9   19.23  30.96    8.6   2    93   329 21.88    14.5
VA91-399   910906    8.0   18.70  31.47    8.6   3    92   187 22.40    22.6
VA91-402   910722    7.0   23.22  31.48    7.9   3    84  1675 21.21      . 
VA91-403   910821    6.0   23.47   0.08    7.5   6    51    69 -2.44    12.2
VA91-404   910722    6.9   26.31  32.30    8.1  12    71   825 20.91      . 
VA91-405   910904    7.3   21.15  29.42    8.4   6    82   240 20.21    20.0
VA91-406   910729    7.1   20.51  31.56    8.2   2    93   516 22.01    25.0
VA91-407   910729    7.5   20.18  31.52    8.2   3    91   579 22.06    18.2
VA91-408   910730    7.0   22.59  31.62    8.2   8    87   573 21.49    23.9
VA91-409   910722    7.1   22.75  31.70     .    2    88  1778 21.51      . 
VA91-411   910828    6.6   26.08   0.47    8.0   7    25   167 -2.83    32.4
VA91-413   910809    7.0   21.19  31.27    8.3   2    80   847 21.61    20.0
VA91-414   910728    6.3   23.11  31.63    8.1   6    76  1614 21.35    24.3
VA91-415   910730    6.8   23.86  31.81    8.2   2    91  1223 21.27    22.0
VA91-416   910722    7.0   23.63  31.68    8.0   4    87  1720 21.24      . 
VA91-418   910811    6.3   24.19  29.19    8.0  13    75   121 19.19    28.0
VA91-421   910810    4.9   24.07  26.88    7.7   5    75   162 17.48    24.9
VA91-422   910829    8.2   24.61   0.12    8.4  19    53   286 -2.70    11.6
VA91-424   910829   10.1   25.25   0.12    8.7  19    69  1183 -2.86     5.6
