Dataset:              Water Quality Surface Data
File Name:            va92_2_2.txt
Date Created:         02/23/96
# Variables:          11
# Header Records:     21
# Data Records:       103
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the surface
              TEMP         Temperature (C) at the surface
              SAL          Salinity (ppt) at the surface
              PH           pH (units) at the surface
              FLR          Fluorescence at the surface
              TRANS        Transmissivity (%) at the surface
              PAR          PAR (mE/m2/s) at the surface
              DENS         Density (Sigma t) at the surface
              SUSP         Total suspended solids conc. (mg/l)

STA_NAME   DATE       DO    TEMP    SAL     PH FLR TRANS   PAR  DENS    SUSP
VA92-502   920727    6.2   24.60   0.13    7.5   6    22   112 -2.75    19.0
VA92-503   920818    6.0   22.01  25.24    7.9  11    33   106 16.82    33.0
VA92-504   920806    6.4   25.27  11.93    8.0  15    52   389  5.93    11.0
VA92-505   920810    8.8   22.29  29.40    8.2  12    69  1275 19.89    24.0
VA92-506   920806    9.8   27.02  11.37    8.5  25    35   111  5.02    15.0
VA92-507   920802    8.2   25.85   9.71    8.1  25    33   837  4.11    18.0
VA92-508   920812    6.9   24.27  24.42    8.0   9    73  1419 15.58    19.0
VA92-509   920809    7.4   25.37  31.89    8.0   6    63  1235 20.89    24.0
VA92-510   920810    8.1   24.58  24.73    8.3  25    50   270 15.73    25.0
VA92-511   920803    9.5   25.62   9.11    8.4  25    39   730  3.72    18.0
VA92-512   920809    5.4   24.04  31.71    7.7   5    72   151 21.14    22.0
VA92-513   920826    6.6   24.89  18.65    7.8   6    45  1233 11.07    20.0
VA92-514   920804    7.0   25.36   3.64    7.5   4    59   192 -0.31    12.0
VA92-515   920808    6.3   23.35  26.17    7.7   5    71   279 17.16    14.0
VA92-517   920826    6.4   24.76  14.06    7.7   9    34   411  7.67    25.0
VA92-518   920811    6.5   26.04  13.47    7.5  15    26   649  6.86    31.0
VA92-519   920805    6.0   25.45   1.80    7.2  11     9  1501 -1.71    30.0
VA92-521   920828    8.0   27.74   1.81    7.8  25     7     . -2.33    32.0
VA92-522   920820    6.4   24.71   1.85    7.4   6    16   983 -1.48    20.0
VA92-524   920821    5.2   23.93   0.15    7.2   7    38   701 -2.57    29.0
VA92-525   920822    4.3   23.82   0.11    7.0   6    70   206 -2.57    11.0
VA92-526   920822    6.1   23.13   0.10    7.2   7    57   922 -2.41     9.0
VA92-527   920730    6.5   21.75  30.56    8.1   8    74  1052 20.92    31.0
VA92-529   920729    5.9   22.13  24.84    7.7  12    69   154 16.49    27.0
VA92-530   920728    4.8   23.03  19.00    7.4   9    46   857 11.84    25.0
VA92-532   920827    7.5   24.63  29.03    8.3  25    42   350 18.95     9.5
VA92-533   920802   11.2   21.94  24.96    8.5  25    31   731 16.63    25.0
VA92-534   920802    7.6   21.13  25.73    8.1  25    48    67 17.42    41.0
VA92-535   920803    5.9   21.73  25.99    7.7  12    72   149 17.46    58.0
VA92-536   920803    7.1   21.72  26.82    8.0   9     .  1333 18.09    25.0
VA92-537   920821    6.9   23.03   5.83    7.9   7    60  1108  1.93     3.5
VA92-538   920820    5.9   20.90  26.25    8.1  10    75  1293 17.88    20.0
VA92-539   920804    7.7   20.66  26.56    8.0  13    70   442 18.17    22.0
VA92-540   920828    7.1   23.20  29.13    8.0   4    49   125 19.43     4.7
VA92-541   920806    7.0   20.86  27.19    8.1   4    82   160 18.60    21.0
VA92-542   920806    6.1   20.18  27.08    7.9   9    20   139 18.68    25.0
VA92-543   920829    6.9   22.99  29.12    8.0   8    69   250 19.48     8.3
VA92-544   920808    7.9   22.07  27.53    8.2   5    78   262 18.53    30.0
VA92-545   920828    7.6   22.41  29.82    8.1   5    81   367 20.18     3.8
VA92-547   920811    7.4   22.28  27.05    8.2   7    75   940 18.12    13.0
VA92-548   920810    7.2   20.91  28.27    8.2   6    77   562 19.40    38.0
VA92-549   920808    7.8   22.38  27.27    8.2   5    75   522 18.25    18.0
VA92-550   920817    6.4   18.57  29.98    8.3   2    87   291 21.29    20.0
VA92-551   920810    6.7   20.07  28.75    8.2   3    88   215 19.99    19.0
VA92-553   920818    7.2   18.12  30.25    8.3   2    92    66 21.61    16.0
VA92-554   920818    6.5   18.44  30.14    8.3   2    90   376 21.45    15.0
VA92-555   920822    6.7   24.34   3.31    7.7   6    59   909 -0.29    10.0
VA92-556   920814    5.0   22.19  25.46    8.2   4    53   121 16.94    17.0
VA92-557   920728    7.9   18.44  31.38    8.2   2    86  1858 22.39      . 
VA92-558   920728    7.7   20.67  31.33    8.1   2    84  1629 21.79      . 
VA92-559   920814    6.6   20.97  28.07    8.2  11    67  1703 19.24    18.0
VA92-560   920822    7.1   24.09   0.12    7.7   5    50   210 -2.63    10.0
VA92-561   920816    6.4   19.64  31.15    8.3   2    88   578 21.92    16.0
VA92-562   920729    6.9   21.21  31.45    8.1   2    87   260 21.74    26.0
VA92-563   920731    6.5   21.65  31.48     .    2    88   201 21.64    24.0
VA92-564   920730    7.4   20.30  31.43     .    3    83  1223 21.96    31.0
VA92-565   920730    7.3   23.77  29.56     .    9    72  1232 19.60    23.0
VA92-566   920815    5.5   21.25  29.65    8.0   8    76   508 20.36    15.0
VA92-567   920731    6.7   22.58  31.22     .    4    79   162 21.19    28.0
VA92-568   920816    6.2   20.51  30.08    8.2   3    84   143 20.88    21.0
VA92-569   920727    9.9   11.80  31.54    8.3   3    86   288 23.94      . 
VA92-570   920823    6.3   22.57   0.11    7.9   4    61    93 -2.27     6.7
VA92-571   920824    8.3   22.66   0.11    8.1   6    76   122 -2.30     4.8
