Dataset:              Water Quality Surface Data
File Name:            va92_2_2.txt
Date Created:         02/23/96
# Variables:          11
# Header Records:     21
# Data Records:       103
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the surface
              TEMP         Temperature (C) at the surface
              SAL          Salinity (ppt) at the surface
              PH           pH (units) at the surface
              FLR          Fluorescence at the surface
              TRANS        Transmissivity (%) at the surface
              PAR          PAR (mE/m2/s) at the surface
              DENS         Density (Sigma t) at the surface
              SUSP         Total suspended solids conc. (mg/l)

STA_NAME   DATE       DO    TEMP    SAL     PH FLR TRANS   PAR  DENS    SUSP
VA92-451   920810    5.7   26.49  17.28    7.6  17    22     .  9.59    24.0
VA92-452   920809    5.9   26.42  23.18    7.9  14    47   166 14.02    22.0
VA92-453   920810    5.5   25.44  20.68    7.8   9    58   226 12.44    15.0
VA92-454   920808    7.4   25.47  23.93    8.1   4    74   854 14.86    22.0
VA92-455   920808    7.1   23.07  30.24    8.1   3    88   491 20.31    19.0
VA92-457   920815    5.7   25.25  12.34    7.6   5    60   125  6.24    14.0
VA92-460   920811    7.9   26.54  22.78    8.3   2    81  1009 13.68    14.0
VA92-461   920814    6.5   26.42   2.36    7.6  14    22   189 -1.55    30.0
VA92-462   920811    6.4   25.66  21.80    8.1   9    72   239 13.21    16.0
VA92-464   920817    5.2   24.69   0.11    7.3  20    19   126 -2.79    24.0
VA92-466   920821    7.5   25.04  18.50    8.3   9    66   130 10.91     5.5
VA92-467   920816    5.4   25.42   0.11    7.3  17    30   231 -2.98    28.0
VA92-468   920814    4.6   26.36   0.29    7.0  12    45   110 -3.09    13.0
VA92-469   920816    5.6   25.90   0.11    7.3  14    20   100 -3.10    23.0
VA92-470   920823    9.0   24.88  17.51    8.5   5    74  1142 10.22    10.0
VA92-471   920818    5.3   24.66   0.16    6.8   7    26    77 -2.75    13.0
VA92-472   920823    5.6   24.92  17.13    8.3  15    63   197  9.92    17.0
VA92-473   920822    9.2   24.97  18.14    8.5   6    72   590 10.66    12.0
VA92-474   920822    8.5   24.42  19.09    8.5   5    78   406 11.53    11.0
VA92-475   920824    8.2   24.86  18.62    8.5   4    78   125 11.05     6.0
VA92-477   920804    4.9   26.88  13.19    7.5   8    15   286  6.41    29.0
VA92-478   920824    6.3   24.66  15.52    8.3   3    80  1283  8.78     2.7
VA92-481   920806    6.4   26.71   2.25    7.1  10    15    98 -1.71    42.0
VA92-482   920830    6.4   24.86  16.24    8.2   5    80   520  9.27     5.0
VA92-483   920815    6.5   23.90  17.23    8.0   7    61    51 10.27    18.0
VA92-484   920806    7.4   27.68   0.09    7.3  20    14    68 -3.61    24.0
VA92-485   920828    7.9   26.45  13.12    8.4   6    78   221  6.48     2.7
VA92-486   920828    7.2   27.32  14.45    8.2   8    65   395  7.23     5.0
VA92-487   920802    6.7   26.37  16.56    8.0   6    54  1165  9.08    19.0
VA92-488   920815    7.1   23.39  14.75    8.0  12    27   264  8.55    36.0
VA92-490   920730    6.5   26.11  12.21    8.0  16    51   639  5.90    15.0
VA92-491   920814    6.3   25.19  15.93    8.1   6    74   419  8.94    13.0
VA92-492   920731    6.0   27.57  10.18    7.5  11    34   135  3.96    21.0
VA92-493   920729    6.4   26.77   2.84    7.3   7     5  1913 -1.29    20.0
VA92-494   920729    9.3   26.38   1.18    8.9  19    16   384 -2.43    21.0
VA92-495   920816    6.7   21.60  27.00    8.0  17    35   422 18.72    24.0
VA92-497   920814    6.0   25.44  14.26    8.0   7    84  1040  7.62    10.0
VA92-499   920728    9.4   25.40   0.12    9.2  24     2   810 -2.96    28.0
VA92-500   920830    6.5   24.95  14.42    8.2   9    79   407  7.88     3.7
VA92-501   920828    6.8   27.32  14.10    8.2   9    60    59  6.97    12.0
