Dataset:              Fish Species Abundance Data
File Name:            va93_4_2.txt
Date Created:         02/23/96
# Variables:          6
# Header Records:     16
# Data Records:       537
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              T_ABN        # of individuals collected of the taxon
              M_LEN        Mean length (mm) of fish in taxon
              SDLEN        Standard dev. (mm) of length

STA_NAME   DATE LATIN NAME                               T_ABN    M_LEN  SDLEN
VA93-601 930918 CENTROPRISTIS STRIATA                        9   217.78  15.90
VA93-601 930918 CYNOSCION REGALIS                            5   207.00  58.91
VA93-601 930918 ETROPUS MICROSTOMUS                          1   101.00    .  
VA93-601 930918 GYMNURA ALTAVELA                             1   475.00    .  
VA93-601 930918 LEIOSTOMUS XANTHURUS                        22   151.64  22.41
VA93-601 930918 MICROPOGONIAS UNDULATUS                     89   181.73  13.48
VA93-601 930918 OPSANUS TAU                                  7   304.43  85.97
VA93-601 930918 ORTHOPRISTIS CHRYSOPTERA                     4   191.00   8.21
VA93-601 930918 PARALICHTHYS DENTATUS                        1   283.00    .  
VA93-601 930918 RHINOPTERA BONASUS                           2   457.50  53.03
VA93-601 930918 SCOPHTHALMUS AQUOSUS                         8   200.25  12.67
VA93-601 930918 SPHOEROIDES MACULATUS                        2   134.00  29.70
VA93-601 930918 STENOTOMUS CHRYSOPS                          9   132.11   5.13
VA93-601 930918 SYMPHURUS PLAGIUSA                           3   153.33   5.77
VA93-601 930918 SYNODUS FOETENS                              1   211.00    .  
VA93-601 930918 TRINECTES MACULATUS                          1   115.00    .  
VA93-601 930918 UROPHYCIS REGIA                              1   250.00    .  
VA93-602 930813 ANCHOA MITCHILLI                             2    57.50   3.54
VA93-602 930813 CYNOSCION REGALIS                            9   163.22  48.92
VA93-602 930813 LEIOSTOMUS XANTHURUS                       114   112.30   7.64
VA93-602 930813 MICROPOGONIAS UNDULATUS                    139   140.10  22.74
VA93-602 930813 TRINECTES MACULATUS                         44    89.33  11.75
VA93-604 930726 ANCHOA MITCHILLI                             3    56.00   1.00
VA93-606 930814 AMEIURUS CATUS                              28   198.32  38.62
VA93-606 930814 ICTALURUS PUNCTATUS                          1   333.00    .  
VA93-606 930814 LEIOSTOMUS XANTHURUS                        29   119.24  14.87
VA93-606 930814 MICROPOGONIAS UNDULATUS                     44   134.83   8.66
VA93-606 930814 TRINECTES MACULATUS                         33    85.33  11.12
VA93-607 930827 BAIRDIELLA CHRYSURA                          4   176.00   8.98
VA93-607 930827 CYNOSCION REGALIS                            2   236.50  12.02
VA93-607 930827 MICROPOGONIAS UNDULATUS                      5   178.00  26.49
VA93-607 930827 PEPRILUS ALEPIDOTUS                          3    44.00  10.58
VA93-608 930904 CYNOSCION REGALIS                           32   205.37  44.55
VA93-608 930904 ETROPUS MICROSTOMUS                          1   105.00    .  
VA93-608 930904 LEIOSTOMUS XANTHURUS                       119   140.00  12.47
VA93-608 930904 MICROPOGONIAS UNDULATUS                     74   169.77   7.74
VA93-608 930904 PARALICHTHYS DENTATUS                        4   426.50 110.09
VA93-608 930904 PEPRILUS TRIACANTHUS                         4   102.50  12.58
VA93-608 930904 PRIONOTUS CAROLINUS                          1   160.00    .  
VA93-608 930904 SCOPHTHALMUS AQUOSUS                         2   141.00   1.41
VA93-608 930904 SPHOEROIDES MACULATUS                        1    90.00    .  
VA93-608 930904 STENOTOMUS CHRYSOPS                         48   113.70  11.40
VA93-608 930904 SYMPHURUS PLAGIUSA                           5   150.60   9.61
VA93-608 930904 SYNODUS FOETENS                              4   182.50  23.27
VA93-608 930904 TRINECTES MACULATUS                          2   152.50  27.58
VA93-609 930815 AMEIURUS CATUS                               1   254.00    .  
VA93-609 930815 CYPRINUS CARPIO                              1   555.00    .  
VA93-609 930815 ICTALURUS FURCATUS                         123   164.57  38.15
VA93-609 930815 ICTALURUS PUNCTATUS                         12   237.42  32.97
VA93-609 930815 MICROPOGONIAS UNDULATUS                      3   132.33   4.62
VA93-609 930815 MORONE AMERICANA                             1   195.00    .  
VA93-609 930815 TRINECTES MACULATUS                          7    82.86   7.15
VA93-610 930816 AMEIURUS CATUS                               3   189.00  62.07
VA93-610 930816 CYPRINUS CARPIO                              5   429.20  66.07
VA93-610 930816 DOROSOMA CEPEDIANUM                          2   235.50 106.77
VA93-610 930816 ICTALURUS FURCATUS                          53   185.00  69.02
VA93-610 930816 ICTALURUS PUNCTATUS                         46   217.10  44.88
VA93-610 930816 LEPOMIS MACROCHIRUS                          1   192.00    .  
VA93-610 930816 TRINECTES MACULATUS                          4   104.00  12.25
VA93-611 930828 ANCHOA MITCHILLI                            37    58.27   9.32
VA93-611 930828 BREVOORTIA TYRANNUS                          1   185.00    .  
VA93-611 930828 CHAETODIPTERUS FABER                         1    86.00    .  
VA93-611 930828 CYNOSCION REGALIS                            5    91.20   5.76
VA93-611 930828 MICROPOGONIAS UNDULATUS                      9   170.89  27.22
VA93-611 930828 OPSANUS TAU                                  2   281.00  41.01
VA93-611 930828 TRINECTES MACULATUS                         55   120.37  25.67
VA93-612 930904 ALUTERUS SCHOEPFI                            1   200.00    .  
VA93-612 930904 CYNOSCION REGALIS                            1    55.00    .  
VA93-612 930904 HIPPOCAMPUS ERECTUS                          1   100.00    .  
VA93-612 930904 LEIOSTOMUS XANTHURUS                         3   158.67   8.50
VA93-612 930904 PARALICHTHYS DENTATUS                        1   300.00    .  
VA93-612 930904 PEPRILUS TRIACANTHUS                         2   115.00  14.14
VA93-612 930904 STENOTOMUS CHRYSOPS                         43   107.23  11.69
VA93-612 930904 SYMPHURUS PLAGIUSA                           1   175.00    .  
VA93-613 930817 ALOSA AESTIVALIS                             1    55.00    .  
VA93-613 930817 CYPRINUS CARPIO                              5   236.80 143.38
VA93-613 930817 ICTALURUS FURCATUS                          61   162.93  52.92
VA93-613 930817 ICTALURUS PUNCTATUS                          3   144.67  22.81
VA93-613 930817 LEPOMIS MACROCHIRUS                          1   113.00    .  
VA93-613 930817 MORONE AMERICANA                             1    75.00    .  
VA93-615 930904 CYNOSCION REGALIS                           43   233.77  17.68
VA93-615 930904 LEIOSTOMUS XANTHURUS                       134   148.93  17.62
VA93-615 930904 MICROPOGONIAS UNDULATUS                     66   191.83  17.01
VA93-615 930904 OPSANUS TAU                                  1   135.00    .  
VA93-615 930904 PARALICHTHYS DENTATUS                        4   219.00  47.17
VA93-615 930904 PEPRILUS ALEPIDOTUS                          1    55.00    .  
VA93-615 930904 PEPRILUS TRIACANTHUS                         1    90.00    .  
VA93-615 930904 STENOTOMUS CHRYSOPS                          1   114.00    .  
VA93-615 930904 SYNODUS FOETENS                              4   184.50  23.61
VA93-615 930904 TRINECTES MACULATUS                         27   114.33  15.47
VA93-616 930728 CYNOSCION REGALIS                            1   321.00    .  
VA93-616 930728 LEIOSTOMUS XANTHURUS                         2   120.00   7.07
VA93-616 930728 MICROPOGONIAS UNDULATUS                      1   225.00    .  
VA93-616 930728 PRIONOTUS CAROLINUS                          1   115.00    .  
VA93-616 930728 STENOTOMUS CHRYSOPS                          3    98.33   5.51
VA93-617 930822 CYNOSCION REGALIS                            2    39.50   6.36
VA93-617 930822 LEIOSTOMUS XANTHURUS                        21   118.76   7.99
VA93-617 930822 MICROPOGONIAS UNDULATUS                      2   173.50   2.12
VA93-617 930822 OPSANUS TAU                                  1   160.00    .  
VA93-617 930822 PARALICHTHYS DENTATUS                        4   256.25  73.30
VA93-617 930822 PRIONOTUS EVOLANS                            2   115.00  49.50
VA93-617 930822 TRINECTES MACULATUS                         11    99.09   6.82
VA93-618 930903 CYNOSCION REGALIS                           12   199.92  69.37
VA93-618 930903 LEIOSTOMUS XANTHURUS                       133   136.27  22.83
VA93-618 930903 MICROPOGONIAS UNDULATUS                     26   203.27  16.66
VA93-618 930903 PEPRILUS ALEPIDOTUS                          1    40.00    .  
VA93-618 930903 PEPRILUS TRIACANTHUS                         5   106.60  12.80
VA93-618 930903 TRINECTES MACULATUS                         44   105.30  11.66
VA93-619 930728 NO ORGANISMS PRESENT                         0      .      .  
VA93-620 930808 OPSANUS TAU                                  2   138.50  23.33
VA93-621 930820 ICTALURUS FURCATUS                           1   263.00    .  
VA93-621 930820 LEIOSTOMUS XANTHURUS                        29   105.28   9.03
VA93-621 930820 MICROPOGONIAS UNDULATUS                      3   143.67  31.82
VA93-621 930820 PARALICHTHYS DENTATUS                        1   205.00    .  
VA93-622 930807 LEIOSTOMUS XANTHURUS                        72   113.63   8.67
VA93-622 930807 MICROPOGONIAS UNDULATUS                     10   173.40  39.19
VA93-622 930807 PARALICHTHYS DENTATUS                        1   330.00    .  
VA93-622 930807 PEPRILUS TRIACANTHUS                         6    77.33  15.07
VA93-622 930807 TRINECTES MACULATUS                          2   117.00   2.83
VA93-623 930808 PEPRILUS TRIACANTHUS                         3    78.67   4.62
VA93-623 930808 STENOTOMUS CHRYSOPS                          9   135.33  28.13
VA93-624 930808 LEIOSTOMUS XANTHURUS                        60   121.73   6.31
VA93-624 930808 MICROPOGONIAS UNDULATUS                      8   187.63   5.78
VA93-624 930808 PARALICHTHYS DENTATUS                        5   195.60  54.56
VA93-624 930808 PRIONOTUS CAROLINUS                         16   148.56  10.44
VA93-624 930808 STENOTOMUS CHRYSOPS                          7   121.29  26.91
VA93-624 930808 SYNODUS FOETENS                              2   156.00  48.08
VA93-624 930808 TRINECTES MACULATUS                          3   111.67  17.56
VA93-626 930903 CYNOSCION REGALIS                            1    33.00    .  
VA93-626 930903 OPSANUS TAU                                  1   119.00    .  
VA93-626 930903 PEPRILUS ALEPIDOTUS                          2    45.00   7.07
VA93-627 930809 ANCHOA MITCHILLI                            41    59.50   6.27
VA93-627 930809 CYNOSCION REGALIS                           17   228.41  25.21
VA93-627 930809 LEIOSTOMUS XANTHURUS                       247   110.87   7.26
VA93-627 930809 MICROPOGONIAS UNDULATUS                      3   185.33   5.03
VA93-627 930809 OPSANUS TAU                                  1   145.00    .  
VA93-627 930809 PARALICHTHYS DENTATUS                        1   350.00    .  
VA93-627 930809 PEPRILUS TRIACANTHUS                         1    93.00    .  
VA93-627 930809 SCOMBRIDAE UNCL                              1    52.00    .  
VA93-627 930809 SYNODUS FOETENS                              1   170.00    .  
VA93-627 930809 TRINECTES MACULATUS                         30   106.23  13.15
VA93-628 930819 ANCHOA MITCHILLI                             1    34.00    .  
VA93-628 930819 ICTALURUS FURCATUS                         111   187.07  58.72
VA93-628 930819 LEIOSTOMUS XANTHURUS                         3   118.67  10.02
VA93-628 930819 MORONE AMERICANA                            10    77.40  21.17
VA93-628 930819 TRINECTES MACULATUS                          5    91.60  16.06
VA93-630 930804 NO ORGANISMS PRESENT                         0      .      .  
VA93-631 930809 LEIOSTOMUS XANTHURUS                        78   108.10   7.96
VA93-631 930809 MENIDIA MENIDIA                              1    66.00    .  
VA93-631 930809 PARALICHTHYS DENTATUS                        1   183.00    .  
VA93-631 930809 TRINECTES MACULATUS                          4   112.25  12.15
VA93-632 930820 AMEIURUS CATUS                               9   169.11  19.97
