Dataset:              Fish Species Abundance Data
File Name:            va93_4_2.txt
Date Created:         02/23/96
# Variables:          6
# Header Records:     16
# Data Records:       537
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              T_ABN        # of individuals collected of the taxon
              M_LEN        Mean length (mm) of fish in taxon
              SDLEN        Standard dev. (mm) of length

STA_NAME   DATE LATIN NAME                               T_ABN    M_LEN  SDLEN
VA93-632 930820 ICTALURUS FURCATUS                         396   172.67  39.54
VA93-632 930820 ICTALURUS PUNCTATUS                         38   167.53  37.57
VA93-632 930820 TRINECTES MACULATUS                         26    87.31  14.37
VA93-633 930901 ANCHOA MITCHILLI                             2    48.00  26.87
VA93-633 930901 LEIOSTOMUS XANTHURUS                       430   108.67   9.80
VA93-633 930901 PARALICHTHYS DENTATUS                        2   206.00  22.63
VA93-633 930901 PEPRILUS ALEPIDOTUS                          1    98.00    .  
VA93-633 930901 PRIONOTUS EVOLANS                            1    90.00    .  
VA93-633 930901 SYNODUS FOETENS                              6   169.17  24.17
VA93-633 930901 TRINECTES MACULATUS                         12   100.00  16.79
VA93-634 930817 ANCHOA MITCHILLI                             2    33.00   1.41
VA93-634 930817 BAIRDIELLA CHRYSURA                          1   100.00    .  
VA93-634 930817 CYNOSCION REGALIS                            1   151.00    .  
VA93-634 930817 LEIOSTOMUS XANTHURUS                         1   160.00    .  
VA93-634 930817 MICROPOGONIAS UNDULATUS                      3   154.67  17.62
VA93-634 930817 SCOMBEROMORUS MACULATUS                      2   154.00   2.83
VA93-635 930823 AMEIURUS CATUS                               5   190.20  25.97
VA93-635 930823 CYPRINUS CARPIO                              1   600.00    .  
VA93-635 930823 ICTALURUS FURCATUS                         293   157.97  36.22
VA93-635 930823 ICTALURUS PUNCTATUS                          1   261.00    .  
VA93-635 930823 MORONE AMERICANA                             6   113.33   9.20
VA93-635 930823 TRINECTES MACULATUS                          5    69.80  13.33
VA93-637 930811 ALOSA AESTIVALIS                             1    66.00    .  
VA93-637 930811 LEIOSTOMUS XANTHURUS                        22   110.32   7.65
VA93-637 930811 TRINECTES MACULATUS                          1   104.00    .  
VA93-638 930730 LEIOSTOMUS XANTHURUS                         3   124.00   7.55
VA93-638 930730 PRIONOTUS CAROLINUS                          1   140.00    .  
VA93-638 930730 SPHOEROIDES MACULATUS                        2    89.00   4.24
VA93-638 930730 TRINECTES MACULATUS                          1   142.00    .  
VA93-639 930821 AMEIURUS CATUS                               7   203.57  18.32
VA93-639 930821 CYPRINUS CARPIO                              2   650.00  70.71
VA93-639 930821 ICTALURUS FURCATUS                         381   142.37  44.24
VA93-639 930821 ICTALURUS PUNCTATUS                          1   280.00    .  
VA93-639 930821 LEPOMIS MACROCHIRUS                          1   169.00    .  
VA93-639 930821 MORONE AMERICANA                            50   109.63  19.61
VA93-639 930821 TRINECTES MACULATUS                         15    76.27   6.39
VA93-640 930810 CYNOSCION REGALIS                            2    80.00  14.14
VA93-640 930810 LEIOSTOMUS XANTHURUS                       150   120.17  20.48
VA93-640 930810 MICROPOGONIAS UNDULATUS                      1   172.00    .  
VA93-640 930810 OPSANUS TAU                                  3   203.00 103.12
VA93-640 930810 TRINECTES MACULATUS                        217   104.33  26.94
VA93-641 930816 CARANX CRYSOS                                3   127.33   3.51
VA93-641 930816 LEIOSTOMUS XANTHURUS                         1   154.00    .  
VA93-641 930816 PARALICHTHYS DENTATUS                        1   191.00    .  
VA93-641 930816 PRIONOTUS CAROLINUS                          1   176.00    .  
VA93-642 930810 ANCHOA MITCHILLI                             1      .      .  
VA93-642 930810 CYNOSCION REGALIS                            2    74.50   3.54
VA93-642 930810 LEIOSTOMUS XANTHURUS                       134   103.57   9.58
VA93-642 930810 MICROPOGONIAS UNDULATUS                      1   275.00    .  
VA93-642 930810 MORONE SAXATILIS                             2   123.00  74.95
VA93-642 930810 TRINECTES MACULATUS                         70    89.87  23.10
VA93-643 930809 LEIOSTOMUS XANTHURUS                         8   112.63   5.50
VA93-643 930809 MORONE AMERICANA                           534   174.10  21.83
VA93-643 930809 PARALICHTHYS DENTATUS                        1   421.00    .  
VA93-643 930809 TRINECTES MACULATUS                          3    86.00   9.85
VA93-644 930902 BREVOORTIA TYRANNUS                          1   241.00    .  
VA93-645 930810 AMEIURUS NEBULOSUS                           2   272.00   4.24
VA93-645 930810 LEIOSTOMUS XANTHURUS                         3   113.33  13.87
VA93-645 930810 MORONE AMERICANA                            68   132.27  25.87
VA93-645 930810 TRINECTES MACULATUS                          2    83.50   2.12
VA93-647 930805 NO ORGANISMS PRESENT                         0      .      .  
VA93-648 930805 LEIOSTOMUS XANTHURUS                       107   129.10  17.55
VA93-648 930805 MICROPOGONIAS UNDULATUS                      6   220.33  11.24
VA93-648 930805 MORONE AMERICANA                            46   151.20  20.11
VA93-648 930805 MORONE SAXATILIS                            21    70.19   6.69
VA93-648 930805 OPSANUS TAU                                  2   166.50  79.90
VA93-648 930805 TRINECTES MACULATUS                         23   111.96  21.32
VA93-649 930827 LEIOSTOMUS XANTHURUS                        14   122.57  17.83
VA93-649 930827 MICROPOGONIAS UNDULATUS                      4   215.25  34.57
VA93-649 930827 MORONE SAXATILIS                             1    69.00    .  
VA93-649 930827 OPSANUS TAU                                  1   137.00    .  
VA93-649 930827 TRINECTES MACULATUS                         12   114.67  14.99
VA93-650 930829 NO ORGANISMS PRESENT                         0      .      .  
VA93-651 930801 ALOSA PSEUDOHARENGUS                         4    47.75  14.17
VA93-651 930801 AMEIURUS NEBULOSUS                           3   274.00  14.53
VA93-651 930801 DOROSOMA CEPEDIANUM                         21    94.81  11.59
VA93-651 930801 ETHEOSTOMA OLMSTEDI                          1    25.00    .  
VA93-651 930801 LEPOMIS GIBBOSUS                            21   116.95  15.41
VA93-651 930801 LEPOMIS MACROCHIRUS                          2   167.50  24.75
VA93-651 930801 MORONE AMERICANA                            45   138.97  27.03
VA93-651 930801 NOTROPIS HUDSONIUS                           2    66.00  50.91
VA93-651 930801 PERCA FLAVESCENS                             2   202.50   2.12
VA93-652 930828 ANCHOA MITCHILLI                             7    40.43  10.67
VA93-652 930828 LEIOSTOMUS XANTHURUS                        63   117.10  10.05
VA93-652 930828 MORONE AMERICANA                             4    81.75   2.36
VA93-652 930828 MORONE SAXATILIS                             2    77.50   0.71
VA93-652 930828 TRINECTES MACULATUS                          4   110.50  13.77
VA93-653 930827 ANCHOA MITCHILLI                             4    59.00   5.77
VA93-653 930827 LEIOSTOMUS XANTHURUS                        24   155.79  14.50
VA93-653 930827 MICROPOGONIAS UNDULATUS                     56   196.97  11.52
VA93-653 930827 TRINECTES MACULATUS                          4   117.25  12.18
VA93-654 930815 ANCHOA MITCHILLI                            16    68.69  11.39
VA93-654 930815 CYNOSCION REGALIS                            8   120.38  38.02
VA93-654 930815 OPSANUS TAU                                  2    82.50  45.96
VA93-654 930815 PARALICHTHYS DENTATUS                        2   317.00   1.41
VA93-654 930815 TRINECTES MACULATUS                          1   156.00    .  
VA93-655 930803 ALOSA PSEUDOHARENGUS                         3    48.00   7.00
VA93-655 930803 MORONE AMERICANA                            64   119.17  18.58
VA93-655 930803 NOTROPIS HUDSONIUS                           3    74.67  20.23
VA93-657 930825 LEIOSTOMUS XANTHURUS                         1   155.00    .  
VA93-658 930826 ANCHOA MITCHILLI                             8    65.75   4.53
VA93-658 930826 LEIOSTOMUS XANTHURUS                        18   123.50  13.06
VA93-658 930826 MORONE SAXATILIS                           237    82.70  10.19
VA93-658 930826 OPSANUS TAU                                  1   143.00    .  
VA93-658 930826 TRINECTES MACULATUS                          1   120.00    .  
VA93-659 930821 CYNOSCION REGALIS                            1    58.00    .  
VA93-659 930821 HIPPOCAMPUS ERECTUS                          2   127.00   8.49
VA93-659 930821 PARALICHTHYS DENTATUS                        3   351.33  20.79
VA93-659 930821 PLEURONECTES AMERICANUS                      1      .      .  
VA93-659 930821 SPHOEROIDES MACULATUS                        1    95.00    .  
VA93-660 930822 ANCHOA MITCHILLI                             1    60.00    .  
VA93-660 930822 CYNOSCION REGALIS                           71   149.13  13.20
VA93-660 930822 MENTICIRRHUS SAXATILIS                       1   113.00    .  
VA93-660 930822 MUSTELUS CANIS                               3   453.67  17.04
VA93-660 930822 PARALICHTHYS DENTATUS                        1   340.00    .  
VA93-660 930822 PEPRILUS TRIACANTHUS                         1   115.00    .  
VA93-660 930822 PRIONOTUS CAROLINUS                         13   158.08  12.86
VA93-660 930822 RAJA EGLANTERIA                              4   631.25  53.60
VA93-660 930822 SCOPHTHALMUS AQUOSUS                        18   148.83  15.45
VA93-660 930822 SPHOEROIDES MACULATUS                        1    89.00    .  
VA93-660 930822 STENOTOMUS CHRYSOPS                          5   147.20   7.09
VA93-660 930822 TRINECTES MACULATUS                          7   114.00  25.62
VA93-661 930805 LEIOSTOMUS XANTHURUS                         7   125.29  11.88
VA93-661 930805 MICROPOGONIAS UNDULATUS                      4   212.50  19.62
VA93-661 930805 MORONE AMERICANA                           497   162.40  18.31
VA93-661 930805 MORONE SAXATILIS                             8   116.00  74.94
VA93-661 930805 TRINECTES MACULATUS                          2   126.00   4.24
VA93-663 930819 CYNOSCION REGALIS                            2    69.00  42.43
VA93-663 930819 OPSANUS TAU                                  1   254.00    .  
VA93-663 930819 PARALICHTHYS DENTATUS                        3   339.67  18.01
VA93-663 930819 PEPRILUS TRIACANTHUS                         2   118.00   4.24
VA93-663 930819 SCOPHTHALMUS AQUOSUS                        20   126.15  13.75
VA93-664 930819 ANCHOA MITCHILLI                             1    67.00    .  
VA93-664 930819 CYNOSCION REGALIS                           19   142.79  20.36
VA93-664 930819 HIPPOCAMPUS ERECTUS                          1   125.00    .  
VA93-664 930819 PEPRILUS TRIACANTHUS                         1   166.00    .  
VA93-664 930819 PRIONOTUS CAROLINUS                          1   200.00    .  
VA93-664 930819 SCOPHTHALMUS AQUOSUS                         1   128.00    .  
VA93-664 930819 TRINECTES MACULATUS                          2   101.50  19.09
VA93-666 930814 ANCHOA MITCHILLI                             2    65.00   1.41
VA93-666 930814 CYNOSCION REGALIS                           16   135.06  64.38
VA93-666 930814 LEIOSTOMUS XANTHURUS                         3   136.33   4.93
VA93-666 930814 OPSANUS TAU                                 41   183.47  38.56
VA93-666 930814 PARALICHTHYS DENTATUS                        2   324.00   4.24
VA93-666 930814 TRINECTES MACULATUS                        130   130.20  16.80
VA93-667 930802 ANCHOA MITCHILLI                            17    59.47   9.75
VA93-667 930802 BREVOORTIA TYRANNUS                          1    84.00    .  
VA93-667 930802 ICTALURUS PUNCTATUS                          1   165.00    .  
VA93-667 930802 MORONE AMERICANA                             6   107.17  62.18
VA93-667 930802 TRINECTES MACULATUS                          3   110.00   7.81
VA93-668 930730 ASTROSCOPUS GUTTATUS                         1   116.00    .  
VA93-668 930730 CYNOSCION REGALIS                            9    87.44  21.80
VA93-668 930730 OPSANUS TAU                                  1   131.00    .  
VA93-668 930730 PARALICHTHYS DENTATUS                        1   414.00    .  
VA93-668 930730 POMATOMUS SALTATRIX                          1   117.00    .  
VA93-668 930730 TRINECTES MACULATUS                          9   113.78  29.56
VA93-669 930822 ALUTERUS SCHOEPFI                            1   221.00    .  
VA93-669 930822 BAIRDIELLA CHRYSURA                          4   193.00  10.13
VA93-669 930822 CENTROPRISTIS STRIATA                        3   170.67   8.74
VA93-669 930822 CHAETODON OCELLATUS                          2    48.50   0.71
VA93-669 930822 CYNOSCION REGALIS                            4   228.50 113.04
VA93-669 930822 LEIOSTOMUS XANTHURUS                         1   160.00    .  
VA93-669 930822 MONACANTHUS HISPIDUS                         6   108.67  11.02
VA93-669 930822 OPSANUS TAU                                 11   180.45  21.25
VA93-669 930822 PARALICHTHYS DENTATUS                        2   151.00  46.67
VA93-669 930822 PLEURONECTES AMERICANUS                      3   179.00  22.52
VA93-669 930822 PRIONOTUS CAROLINUS                         12   175.17  23.74
VA93-669 930822 PRIONOTUS EVOLANS                            1   210.00    .  
VA93-669 930822 SPHOEROIDES MACULATUS                        5    93.60   7.16
VA93-669 930822 STENOTOMUS CHRYSOPS                          8   149.38  14.15
VA93-669 930822 TAUTOGA ONITIS                              49   162.10  21.45
VA93-670 930801 ALOSA PSEUDOHARENGUS                         6    67.00  12.25
VA93-670 930801 AMEIURUS CATUS                               1   321.00    .  
VA93-670 930801 CYNOSCION NEBULOSUS                          1   141.00    .  
VA93-670 930801 CYPRINUS CARPIO                              2   695.00   7.07
VA93-670 930801 ICTALURUS PUNCTATUS                          9   249.11  81.82
VA93-670 930801 MORONE AMERICANA                           292   126.93  14.47
VA93-670 930801 TRINECTES MACULATUS                          2    99.00  15.56
VA93-671 930821 CYNOSCION REGALIS                            1   140.00    .  
VA93-671 930821 PRIACANTHUS ARENATUS                         1   106.00    .  
VA93-671 930821 PRIONOTUS EVOLANS                            1   243.00    .  
VA93-671 930821 SPHOEROIDES MACULATUS                        1   205.00    .  
VA93-671 930821 STENOTOMUS CHRYSOPS                          2   154.00  16.97
VA93-671 930821 TRINECTES MACULATUS                          2   170.00   7.07
VA93-672 930801 AMEIURUS NEBULOSUS                           7   210.71  52.94
VA93-672 930801 ANCHOA MITCHILLI                             1    42.00    .  
VA93-672 930801 DOROSOMA CEPEDIANUM                        235   122.00   7.07
VA93-672 930801 ICTALURUS PUNCTATUS                          5   260.60  29.66
VA93-672 930801 MORONE AMERICANA                           447   149.13  21.05
VA93-672 930801 PERCA FLAVESCENS                            44   170.70  27.52
VA93-673 930729 ALOSA AESTIVALIS                             2    87.00  15.56
VA93-673 930729 ALOSA PSEUDOHARENGUS                         3    76.67   4.16
VA93-673 930729 ANCHOA MITCHILLI                             2    62.50  17.68
VA93-673 930729 CYNOSCION REGALIS                           10   101.00  19.48
VA93-673 930729 LEIOSTOMUS XANTHURUS                       264   104.80   6.12
VA93-673 930729 MORONE AMERICANA                             5   108.20  52.65
VA93-673 930729 MORONE SAXATILIS                             1   112.00    .  
VA93-673 930729 TRINECTES MACULATUS                          4    71.25  12.28
VA93-675 930728 ACIPENSER OXYRHYNCHUS                        2   135.50  24.75
VA93-675 930728 ICTALURUS PUNCTATUS                         14   187.29  49.31
VA93-675 930728 MORONE AMERICANA                            47   133.40  25.04
VA93-675 930728 TRINECTES MACULATUS                          5    77.20  12.99
VA93-676 930820 ANCHOA MITCHILLI                            17    66.47  13.86
VA93-676 930820 BREVOORTIA TYRANNUS                          1   272.00    .  
VA93-676 930820 CYNOSCION REGALIS                            4   162.25   4.27
VA93-676 930820 LEIOSTOMUS XANTHURUS                         1   150.00    .  
VA93-676 930820 PARALICHTHYS DENTATUS                        1   178.00    .  
VA93-676 930820 POMATOMUS SALTATRIX                          4   148.00  20.64
VA93-677 930726 NO ORGANISMS PRESENT                         0      .      .  
VA93-678 930727 ALOSA PSEUDOHARENGUS                         1    83.00    .  
VA93-678 930727 AMEIURUS CATUS                               5   150.40  21.42
VA93-678 930727 CATOSTOMUS COMMERSONI                        2   271.50  13.44
VA93-678 930727 ICTALURUS PUNCTATUS                          9   243.89  77.09
VA93-678 930727 MORONE AMERICANA                           139   134.80  19.53
VA93-678 930727 MORONE SAXATILIS                             4   224.25  25.41
VA93-678 930727 TRINECTES MACULATUS                          1    83.00    .  
VA93-681 930809 PARALICHTHYS DENTATUS                        4   313.25  23.36
VA93-681 930809 PLEURONECTES AMERICANUS                      4   148.25  46.66
VA93-681 930809 SCOPHTHALMUS AQUOSUS                         2   151.00  57.98
VA93-682 930808 ANCHOA MITCHILLI                             1    77.00    .  
VA93-682 930808 CYNOSCION REGALIS                           93    95.80  10.19
VA93-682 930808 LEIOSTOMUS XANTHURUS                         1   128.00    .  
VA93-682 930808 PARALICHTHYS DENTATUS                        7   343.71  24.87
VA93-682 930808 PLEURONECTES AMERICANUS                      1   161.00    .  
VA93-683 930811 PARALICHTHYS DENTATUS                        3   341.67  12.34
VA93-683 930811 PLEURONECTES AMERICANUS                      3   109.67  40.99
VA93-683 930811 SPHOEROIDES MACULATUS                        2    75.50   3.54
VA93-684      .                                              .      .      .  
VA93-685 930810 PARALICHTHYS DENTATUS                        1   105.00    .  
VA93-685 930810 PLEURONECTES AMERICANUS                      3   111.00  50.32
VA93-685 930810 POMATOMUS SALTATRIX                          3   123.67  16.26
VA93-686 930901 ANGUILLA ROSTRATA                            1   650.00    .  
VA93-686 930901 MUSTELUS CANIS                              18   470.06  25.77
VA93-686 930901 MYOXOCEPHALUS AENAEUS                       64   104.47  21.19
VA93-686 930901 OPSANUS TAU                                  4   254.50  48.31
VA93-686 930901 PARALICHTHYS DENTATUS                        2   442.50  53.03
VA93-686 930901 PLEURONECTES AMERICANUS                    169   151.47  43.31
VA93-686 930901 SCOPHTHALMUS AQUOSUS                        43   185.63  68.90
