Dataset:              Fish Species Abundance Data
File Name:            va91_4_2.txt
Date Created:         02/23/96
# Variables:          6
# Header Records:     16
# Data Records:       477
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              T_ABN        # of individuals collected of the taxon
              M_LEN        Mean length (mm) of fish in taxon
              SDLEN        Standard dev. (mm) of length

STA_NAME   DATE LATIN NAME                               T_ABN    M_LEN  SDLEN
VA91-278 910805 ICTALURUS PUNCTATUS                         54   205.50  42.35
VA91-278 910805 MORONE AMERICANA                             1   121.00    .  
VA91-279 910823 CYNOSCION REGALIS                            2   117.00   4.24
VA91-279 910823 ETROPUS SP                                   1   102.00    .  
VA91-279 910823 LEIOSTOMUS XANTHURUS                        37   131.37  16.52
VA91-279 910823 MICROPOGONIAS UNDULATUS                     35   174.33  17.16
VA91-279 910823 PARALICHTHYS DENTATUS                        1   400.00    .  
VA91-279 910823 PEPRILUS ALEPIDOTUS                         17    75.59  15.87
VA91-279 910823 PEPRILUS TRIACANTHUS                        13    84.62   7.70
VA91-279 910823 PRIONOTUS CAROLINUS                          1   127.00    .  
VA91-279 910823 SYNODUS FOETENS                              1   179.00    .  
VA91-279 910823 TRINECTES MACULATUS                          4   122.75  21.75
VA91-281 910809 LEIOSTOMUS XANTHURUS                         1   110.00    .  
VA91-281 910809 MICROPOGONIAS UNDULATUS                      1   151.00    .  
VA91-281 910809 PARALICHTHYS DENTATUS                        1   240.00    .  
VA91-281 910809 PEPRILUS ALEPIDOTUS                          2    57.00  24.04
VA91-282 910812 CYNOSCION REGALIS                            3   225.00  18.00
VA91-282 910812 LEIOSTOMUS XANTHURUS                        63   131.10  18.25
VA91-282 910812 MICROPOGONIAS UNDULATUS                     19   151.89  11.04
VA91-282 910812 PARALICHTHYS DENTATUS                        3   189.67  24.21
VA91-282 910812 PEPRILUS ALEPIDOTUS                          5    74.20  18.46
VA91-282 910812 SYNODUS FOETENS                              1   157.00    .  
VA91-282 910812 TRINECTES MACULATUS                          7    96.71   9.67
VA91-283 910823 CYNOSCION REGALIS                           20    88.15  18.42
VA91-283 910823 LEIOSTOMUS XANTHURUS                         8   138.63  16.63
VA91-283 910823 MICROPOGONIAS UNDULATUS                      6   170.00  13.45
VA91-283 910823 PARALICHTHYS DENTATUS                        3   155.67  14.29
VA91-283 910823 PEPRILUS ALEPIDOTUS                          5    69.20  16.35
VA91-283 910823 TRINECTES MACULATUS                          4   110.50   6.76
VA91-284 910810 PARALICHTHYS DENTATUS                        5   167.80  24.42
VA91-284 910810 PRIONOTUS EVOLANS                            1   112.00    .  
VA91-285 910822 LEIOSTOMUS XANTHURUS                         9   138.56   5.94
VA91-285 910822 PARALICHTHYS DENTATUS                        1   165.00    .  
VA91-288 910810 LEIOSTOMUS XANTHURUS                       174   125.67  29.26
VA91-288 910810 MICROPOGONIAS UNDULATUS                     17   156.41  15.13
VA91-288 910810 MORONE AMERICANA                             7   188.14  16.95
VA91-288 910810 OPSANUS TAU                                 14   186.64  47.52
VA91-288 910810 PARALICHTHYS DENTATUS                       14   135.50  54.33
VA91-288 910810 PEPRILUS ALEPIDOTUS                          1    78.00    .  
VA91-288 910810 SYMPHURUS PLAGIUSA                           1   147.00    .  
VA91-288 910810 TRINECTES MACULATUS                        236   105.13  17.91
VA91-290 910811 ANGUILLA ROSTRATA                            1   250.00    .  
VA91-290 910811 LEIOSTOMUS XANTHURUS                         1   132.00    .  
VA91-290 910811 PEPRILUS ALEPIDOTUS                          5    63.00   8.06
VA91-291 910811 LEIOSTOMUS XANTHURUS                         5   139.40  16.88
VA91-291 910811 MICROPOGONIAS UNDULATUS                     16   155.94  12.26
VA91-291 910811 PEPRILUS ALEPIDOTUS                          4    73.50  13.40
VA91-292 910822 CENTROPRISTIS STRIATA                        2   163.50   2.12
VA91-292 910822 CHAETODIPTERUS FABER                         6    60.67   7.50
VA91-292 910822 CYNOSCION REGALIS                            2   156.50  16.26
VA91-292 910822 LEIOSTOMUS XANTHURUS                        66   136.17  18.60
VA91-292 910822 MICROPOGONIAS UNDULATUS                     15   168.33  14.92
VA91-292 910822 OPSANUS TAU                                  2   279.50  85.56
VA91-292 910822 PARALICHTHYS DENTATUS                        2   181.50  20.51
VA91-292 910822 PEPRILUS ALEPIDOTUS                          4    77.00   8.04
VA91-292 910822 PRIONOTUS CAROLINUS                          1   154.00    .  
VA91-292 910822 SPHOEROIDES MACULATUS                        3   194.33  40.82
