Dataset:              Fish Species List
File Name:            fish_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       468
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
161326,CONGOCEA,CONGER,OCEANICUS,CONGER OCEANICUS,
161388,HILDFLAV,HILDEBRANDIA,FLAVA,HILDEBRANDIA FLAVA,
161427,CALLMURA,CALLECHELYS,MURAENA,CALLECHELYS MURAENA,
161694,CLUPEI02, , ,CLUPEIFORMES,
161700,CLUPEI01, , ,CLUPEIDAE UNCL,
161701,ALOSA01,ALOSA,SP,ALOSA SP,
161702,ALOSSAPI,ALOSA,SAPIDISSIMA,ALOSA SAPIDISSIMA,
161703,ALOSAEST,ALOSA,AESTIVALIS,ALOSA AESTIVALIS,
161704,ALOSMEDI,ALOSA,MEDIOCRIS,ALOSA MEDIOCRIS,
161705,ALOSALAB,ALOSA,ALABAMAE,ALOSA ALABAMAE,
161706,ALOSPSEU,ALOSA,PSEUDOHARENGUS,ALOSA PSEUDOHARENGUS,
161707,ALOSCHRY,ALOSA,CHRYSOCHLORIS,ALOSA CHRYSOCHLORIS,
161721,CLUPEA01,CLUPEA,SP,CLUPEA SP,
161722,CLUPHARE,CLUPEA,HARENGUS,CLUPEA HARENGUS,
161731,BREVOO01,BREVOORTIA,SP,BREVOORTIA SP,
161732,BREVTYRA,BREVOORTIA,TYRANNUS,BREVOORTIA TYRANNUS,
161733,BREVGUNT,BREVOORTIA,GUNTERI,BREVOORTIA GUNTERI,
161734,BREVPATR,BREVOORTIA,PATRONUS,BREVOORTIA PATRONUS,
161735,BREVSMIT,BREVOORTIA,SMITHI,BREVOORTIA SMITHI,
161736,DOROSO01,DOROSOMA,SP,DOROSOMA SP,
161737,DOROCEPE,DOROSOMA,CEPEDIANUM,DOROSOMA CEPEDIANUM,
161738,DOROPETE,DOROSOMA,PETENENSE,DOROSOMA PETENENSE,
161743,ETRUTERE,ETRUMEUS,TERES,ETRUMEUS TERES,
161747,OPISTH01,OPISTHONEMA,SP,OPISTHONEMA SP,
161748,OPISOGLI,OPISTHONEMA,OGLINUM,OPISTHONEMA OGLINUM,
161752,HARENG01,HARENGULA,SP,HARENGULA SP,
161753,HARECLUP,HARENGULA,CLUPEOLA,HARENGULA CLUPEOLA,
161755,HAREJAGU,HARENGULA,JAGUANA,HARENGULA JAGUANA,
161763,SARDAURI,SARDINELLA,AURITA,SARDINELLA AURITA,
161826,ENGRAU01, , ,ENGRAULIDAE UNCL,
161837,ANCHOA01,ANCHOA,SP,ANCHOA SP,
161838,ANCHHEPS,ANCHOA,HEPSETUS,ANCHOA HEPSETUS,
161839,ANCHMITC,ANCHOA,MITCHILLI,ANCHOA MITCHILLI,
