Dataset:              Fish Species List
File Name:            fish_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       468
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
169263,BAIRSANC,BAIRDIELLA,SANCTAELUCIAE,BAIRDIELLA SANCTAELUCIAE,
169266,LEIOST01,LEIOSTOMUS,SP,LEIOSTOMUS SP,
169267,LEIOXANT,LEIOSTOMUS,XANTHURUS,LEIOSTOMUS XANTHURUS,
169269,LARIFASC,LARIMUS,FASCIATUS,LARIMUS FASCIATUS,
169273,MENTIC01,MENTICIRRHUS,SP,MENTICIRRHUS SP,
169274,MENTAMER,MENTICIRRHUS,AMERICANUS,MENTICIRRHUS AMERICANUS,
169276,MENTSAXA,MENTICIRRHUS,SAXATILIS,MENTICIRRHUS SAXATILIS,
169282,MICROP01,MICROPOGONIAS,SP,MICROPOGONIAS SP,
169283,MICRUNDU,MICROPOGONIAS,UNDULATUS,MICROPOGONIAS UNDULATUS,
169287,POGONI01,POGONIAS,SP,POGONIAS SP,
169288,POGOCROM,POGONIAS,CROMIS,POGONIAS CROMIS,
169289,SCIAEN01,SCIAENOPS,SP,SCIAENOPS SP,
169290,SCIAOCEL,SCIAENOPS,OCELLATUS,SCIAENOPS OCELLATUS,
169292,STELLANC,STELLIFER,LANCEOLATUS,STELLIFER LANCEOLATUS,
169324,ODONTO01,ODONTOSCION,SP,ODONTOSCION SP,
169325,ODONDENT,ODONTOSCION,DENTEX,ODONTOSCION DENTEX,
169364,APLOGRUN,APLODINOTUS,GRUNNIENS,APLODINOTUS GRUNNIENS,
169441,UPENPARV,UPENEUS,PARVUS,UPENEUS PARVUS,
169537,EPHIPP01, , ,EPHIPPIDIDAE,
169538,CHAETO01,CHAETODIPTERUS,SP,CHAETODIPTERUS SP,
169539,CHAEFABE,CHAETODIPTERUS,FABER,CHAETODIPTERUS FABER,
169555,CHAETO01,CHAETODON,SP,CHAETODON SP,
169556,CHAEOCEL,CHAETODON,OCELLATUS,CHAETODON OCELLATUS,
170315,PERCIC01, , ,PERCICHTHYIDAE UNCL,
170333,MUGIL02, , ,MUGILIDAE UNCL,
170334,MUGIL01,MUGIL,SP,MUGIL SP,
170335,MUGICEPH,MUGIL,CEPHALUS,MUGIL CEPHALUS,
170336,MUGICURE,MUGIL,CUREMA,MUGIL CUREMA,
170424,SPHYRA02, , ,SPHYRAENIDAE UNCL,
170425,SPHYRA01,SPHYRAENA,SP,SPHYRAENA SP,
170427,SPHYBORE,SPHYRAENA,BOREALIS,SPHYRAENA BOREALIS,
170428,SPHYGUAC,SPHYRAENA,GUACHANCHO,SPHYRAENA GUACHANCHO,
170445,POLYNE01, , ,POLYNEMIDAE UNCL,
170446,POLYDA01,POLYDACTYLUS,SP,POLYDACTYLUS SP,
170447,POLYOCTO,POLYDACTYLUS,OCTONEMUS,POLYDACTYLUS OCTONEMUS,
170477,LABRID01, , ,LABRIDAE UNCL,
170478,TAUTOG01,TAUTOGA,SP,TAUTOGA SP,
170479,TAUTONIT,TAUTOGA,ONITIS,TAUTOGA ONITIS,
170480,TAUTOG02,TAUTOGOLABRUS,SP,TAUTOGOLABRUS SP,
170481,TAUTADSP,TAUTOGOLABRUS,ADSPERSUS,TAUTOGOLABRUS ADSPERSUS,
170503,HALIBIVI,HALICHOERES,BIVITTATUS,HALICHOERES BIVITTATUS,
170504,HALICAUD,HALICHOERES,CAUDALIS,HALICHOERES CAUDALIS,
170536,HEMIMART,HEMIPTERONOTUS,MARTINICENSIS,HEMIPTERONOTUS MARTINICENSIS,
170537,HEMINOVA,HEMIPTERONOTUS,NOVACULA,HEMIPTERONOTUS NOVACULA,
170566,LACHMAXI,LACHNOLAIMUS,MAXIMUS,LACHNOLAIMUS MAXIMUS,
170865,SPARRADI,SPARISOMA,RADIANS,SPARISOMA RADIANS,
171053,URANOS01, , ,URANOSCOPIDAE UNCL,
171054,ASTROS01,ASTROSCOPUS,SP,ASTROSCOPUS SP,
171055,ASTRGUTT,ASTROSCOPUS,GUTTATUS,ASTROSCOPUS GUTTATUS,
171124,BLENNI01, , ,BLENNIIDAE UNCL,
171163,CHASM01,CHASMODES,SP,CHASMODES SP,
171164,CHASBOSQ,CHASMODES,BOSQUIANUS,CHASMODES BOSQUIANUS,
171396,XXXXCLIN,CLINIDAE, ,CLINIDAE,
171645,PHOLGUNN,PHOLIS,GUNNELLUS,PHOLIS GUNNELLUS,
171746,GOBIID01, , ,GOBIIDAE UNCL,
171788,GOBIOS01,GOBIOSOMA,SP,GOBIOSOMA SP,
171789,GOBIBOSC,GOBIOSOMA,BOSC,GOBIOSOMA BOSC,
171831,GOBIOI01,GOBIOIDES,SP,GOBIOIDES SP,
171832,GOBIBROU,GOBIOIDES,BROUSSONETI,GOBIOIDES BROUSSONETI,
172378,TRICHI02, , ,TRICHIURIDAE UNCL,
172384,TRICHI01,TRICHIURUS,SP,TRICHIURUS SP,
172385,TRICLEPT,TRICHIURUS,LEPTURUS,TRICHIURUS LEPTURUS,
172398,SCOMBR01, , ,SCOMBRIDAE UNCL,
172434,SCOMBE01,SCOMBEROMORUS,SP,SCOMBEROMORUS SP,
172435,SCOMCAVA,SCOMBEROMORUS,CAVALLA,SCOMBEROMORUS CAVALLA,
172436,SCOMMACU,SCOMBEROMORUS,MACULATUS,SCOMBEROMORUS MACULATUS,
172563,STROMA01, , ,STROMATEIDAE UNCL,
172564,PEPRIL01,PEPRILUS,SP,PEPRILUS SP,
172567,PEPRTRIA,PEPRILUS,TRIACANTHUS,PEPRILUS TRIACANTHUS,
172568,PEPRBURT,PEPRILUS,BURTI,PEPRILUS BURTI,
172570,PEPRALEP,PEPRILUS,ALEPIDOTUS,PEPRILUS ALEPIDOTUS,
172702,PLEURO03, , ,PLEURONECTIFORMES,
172714,BOTHID01, , ,BOTHIDAE UNCL,
172715,CITHAR01,CITHARICHTHYS,SP,CITHARICHTHYS SP,
172719,CITHARCT,CITHARICHTHYS,ARCTIFRONS,CITHARICHTHYS ARCTIFRONS,
172724,CITHMACR,CITHARICHTHYS,MACROPS,CITHARICHTHYS MACROPS,
172725,CITHSPIL,CITHARICHTHYS,SPILOPTERUS,CITHARICHTHYS SPILOPTERUS,
172728,ETROPU01,ETROPUS,SP,ETROPUS SP,
172729,ETROCROS,ETROPUS,CROSSOTUS,ETROPUS CROSSOTUS,
172730,ETROMICR,ETROPUS,MICROSTOMUS,ETROPUS MICROSTOMUS,
172734,PARALI01,PARALICHTHYS,SP,PARALICHTHYS SP,
172735,PARADENT,PARALICHTHYS,DENTATUS,PARALICHTHYS DENTATUS,
172736,PARAALBI,PARALICHTHYS,ALBIGUTTA,PARALICHTHYS ALBIGUTTA,
172738,PARALETH,PARALICHTHYS,LETHOSTIGMA,PARALICHTHYS LETHOSTIGMA,
172739,PARAOBLO,PARALICHTHYS,OBLONGUS,PARALICHTHYS OBLONGUS,
172745,SCOPHT01,SCOPHTHALMUS,SP,SCOPHTHALMUS SP,
172746,SCOPAQUO,SCOPHTHALMUS,AQUOSUS,SCOPHTHALMUS AQUOSUS,
172751,ANCYLO01,ANCYLOPSETTA,SP,ANCYLOPSETTA SP,
172757,ANCYOLIL,ANCYLOPSETTA,QUADROCELLATA,ANCYLOPSETTA QUADROCELLATA,
172757,ANCYQUAD,ANCYLOPSETTA,QUADROCELLATA,ANCYLOPSETTA QUADROCELLATA,
172791,SYACGUNT,SYACIUM,GUNTERI,SYACIUM GUNTERI,
172859,PLEURO02, , ,PLEURONECTIDAE UNCL,
172900,PLEURO01,PLEURONECTES,SP,PLEURONECTES SP,
172904,PLEUAMER,PLEURONECTES,AMERICANUS,PLEURONECTES AMERICANUS,
172980,SOLEID01, , ,SOLEIDAE UNCL,
172981,TRINEC01,TRINECTES,SP,TRINECTES SP,
172982,TRINMACU,TRINECTES,MACULATUS,TRINECTES MACULATUS,
172984,ACHIRU01,ACHIRUS,SP,ACHIRUS SP,
172986,ACHILINE,ACHIRUS,LINEATUS,ACHIRUS LINEATUS,
172993,GYMNTEXA,GYMNACHIRUS,TEXAE,GYMNACHIRUS TEXAE,
173060,CYNOGL01, , ,CYNOGLOSSIDAE,
173061,SYMPHU01,SYMPHURUS,SP,SYMPHURUS SP,
173062,SYMPPLAG,SYMPHURUS,PLAGIUSA,SYMPHURUS PLAGIUSA,
173063,SYMPCIVI,SYMPHURUS,CIVITATUS,SYMPHURUS CIVITATUS,
173112,TETRAO02, , ,TETRAODONTIFORMES,
173128,BALIST01, , ,BALISTIDAE UNCL,
173129,ALUTER01,ALUTERUS,SP,ALUTERUS SP,
173131,ALUTSCHO,ALUTERUS,SCHOEPFI,ALUTERUS SCHOEPFI,
173131,ALUTSHOE,ALUTERUS,SCHOEPFI,ALUTERUS SCHOEPFI,
173134,ALUTSCRI,ALUTERUS,SCRIPTUS,ALUTERUS SCRIPTUS,
173138,BALICAPR,BALISTES,CAPRISCUS,BALISTES CAPRISCUS,
173178,MONACA01,MONACANTHUS,SP,MONACANTHUS SP,
173180,MONATUCK,MONACANTHUS,TUCKERI,MONACANTHUS TUCKERI,
173182,MONAHISP,MONACANTHUS,HISPIDUS,MONACANTHUS HISPIDUS,
173184,MONASETI,MONACANTHUS,SETIFER,MONACANTHUS SETIFER,
173235,OSTRAC01, , ,OSTRACIIDAE UNCL,
173236,LACTOP01,LACTOPHRYS,SP,LACTOPHRYS SP,
173240,LACTQUAD,LACTOPHRYS,QUADRICORNIS,LACTOPHRYS QUADRICORNIS,
173283,TETRAO01, , ,TETRAODONTIDAE UNCL,
173285,LAGOLAEV,LAGOCEPHALUS,LAEVIGATUS,LAGOCEPHALUS LAEVIGATUS,
173289,SPHOER01,SPHOEROIDES,SP,SPHOEROIDES SP,
173290,SPHOMACU,SPHOEROIDES,MACULATUS,SPHOEROIDES MACULATUS,
173297,SPHONEPH,SPHOEROIDES,NEPHELUS,SPHOEROIDES NEPHELUS,
173299,SPHOPARV,SPHOEROIDES,PARVUS,SPHOEROIDES PARVUS,
173320,CANTROST,CANTHIGASTER,ROSTRATA,CANTHIGASTER ROSTRATA,
173382,DIODON01, , ,DIODONTIDAE,
173383,CHILOM01,CHILOMYCTERUS,SP,CHILOMYCTERUS SP,
173384,CHILSCHO,CHILOMYCTERUS,SCHOEPFI,CHILOMYCTERUS SCHOEPFI,
173387,CHILATIN,CHILOMYCTERUS,ATINGA,CHILOMYCTERUS ATINGA,
173391,DIODHYST,DIODON,HYSTRIX,DIODON HYSTRIX,
