PUBLICATION_DATE,TAXA_ID,TARGET_TAXON,APHIA_ID,ITISTSN,HABITAT,PHYLUM,CLASS,ORDER,FAMILY
4/27/2021,29,ACTEOCINA CANALICULATA,160065,,EST,MOLLUSCA,GASTROPODA,CEPHALASPIDEA,TORNATINIDAE
4/27/2021,30,ACTEOCINA CANDEI,420532,,EST,MOLLUSCA,GASTROPODA,CEPHALASPIDEA,TORNATINIDAE
4/27/2021,31,ACTEOCINA CARINATA,575017,,EST,MOLLUSCA,GASTROPODA,CEPHALASPIDEA,TORNATINIDAE
4/27/2021,32,ACTEOCINA CULCITELLA,581396,,EST,MOLLUSCA,GASTROPODA,CEPHALASPIDEA,TORNATINIDAE
4/27/2021,33,ACTEOCINA HARPA,581398,,EST,MOLLUSCA,GASTROPODA,CEPHALASPIDEA,TORNATINIDAE
4/27/2021,34,ACTEOCINA INCULTA,575018,,EST,MOLLUSCA,GASTROPODA,CEPHALASPIDEA,TORNATINIDAE
4/27/2021,35,ACTINIARIA,1360,,EST,CNIDARIA,ANTHOZOA,ACTINIARIA,
4/27/2021,36,ACUMINODEUTOPUS HETERUROPUS,557429,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,UNCIOLIDAE
4/27/2021,37,ADONTORHINA CYCLIA,582532,,EST,MOLLUSCA,BIVALVIA,LUCINIDA,THYASIRIDAE
4/27/2021,38,AEGININA LONGICORNIS,101820,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,CAPRELLIDAE
4/27/2021,39,AEOLOSOMA,558774,68424,GL,ANNELIDA,,,AEOLOSOMATIDAE
4/27/2021,40,AESHNIDAE,890523,101596,GL,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE
4/27/2021,41,AGLAJA OCELLIGERA,581409,,EST,MOLLUSCA,GASTROPODA,CEPHALASPIDEA,AGLAJIDAE
4/27/2021,42,AGLAOPHAMUS,129366,,EST,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,NEPHTYIDAE
4/27/2021,43,AGLAOPHAMUS CIRCINATA,157145,,EST,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,NEPHTYIDAE
4/27/2021,44,AGLAOPHAMUS VERRILLI,157147,,EST,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,NEPHTYIDAE
4/27/2021,45,AGRAYLEA,,115635,GL,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE
4/27/2021,46,AGRYPNIA,,115882,GL,ARTHROPODA,INSECTA,TRICHOPTERA,PHRYGANEIDAE
4/27/2021,47,AKANTHOPHOREUS GRACILIS,136340,,EST,ARTHROPODA,MALACOSTRACA,TANAIDACEA,AKANTHOPHOREIDAE
4/27/2021,48,AKANTHOPHOREUS PHILLIPSI,478741,,EST,ARTHROPODA,MALACOSTRACA,TANAIDACEA,AKANTHOPHOREIDAE
4/27/2021,49,ALBIA,714344,83435,GL,ARTHROPODA,OSTRACODA,PODOCOPIDA,CYPRIDIDAE
4/27/2021,50,ALBOGLOSSIPHONIA HETEROCLITA,,69389,GL,ANNELIDA,CLITELLATA,HIRUDINIDA,GLOSSIPHONIIDAE
4/27/2021,51,ALCIOPIDAE,932,,EST,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,ALCIOPIDAE
4/27/2021,52,ALIA CARINATA,511703,,EST,MOLLUSCA,GASTROPODA,NEOGASTROPODA,COLUMBELLIDAE
4/27/2021,53,ALIA GAUSAPATA,511704,,EST,MOLLUSCA,GASTROPODA,NEOGASTROPODA,COLUMBELLIDAE
4/27/2021,54,ALIA GOULDI,511705,,EST,MOLLUSCA,GASTROPODA,NEOGASTROPODA,COLUMBELLIDAE
4/27/2021,55,ALIENACANTHOMYSIS MACROPSIS,226662,,EST,ARTHROPODA,MALACOSTRACA,MYSIDA,MYSIDAE
4/27/2021,56,ALITTA,234848,,EST,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,NEREIDIDAE
4/27/2021,57,ALITTA SUCCINEA,234850,,EST,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,NEREIDIDAE
4/27/2021,58,ALITTA VIRENS,234851,,EST,ANNELIDA,POLYCHAETA,PHYLLODOCIDA,NEREIDIDAE
4/27/2021,59,ALLOLEPTOCHELIA LONGIMANA,880883,,EST,ARTHROPODA,MALACOSTRACA,TANAIDACEA,LEPTOCHELIIDAE
4/27/2021,60,ALLORCHESTES,204540,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,DOGIELINOTIDAE
4/27/2021,61,ALLORCHESTES ANGUSTA,489543,,EST,ARTHROPODA,MALACOSTRACA,AMPHIPODA,DOGIELINOTIDAE
4/27/2021,62,ALLOTHYONE MEXICANA,422529,,EST,ECHINODERMATA,HOLOTHUROIDEA,DENDROCHIROTIDA,PHYLLOPHORIDAE
4/27/2021,63,ALMYRACUMA BACESCUI,421648,,EST,ARTHROPODA,MALACOSTRACA,CUMACEA,NANNASTACIDAE
4/27/2021,64,ALMYRACUMA PROXIMOCULI,157809,,EST,ARTHROPODA,MALACOSTRACA,CUMACEA,NANNASTACIDAE
4/27/2021,65,ALMYRACUMA PROXIMOCULI,157809,90979,GL,ARTHROPODA,MALACOSTRACA,CUMACEA,NANNASTACIDAE
4/27/2021,66,ALPHEIDAE,106776,,EST,ARTHROPODA,MALACOSTRACA,DECAPODA,ALPHEIDAE
