PUBLICATION_DATE,UNIQUE_ID,UID,SITE_ID,YEAR,VISIT_NO,DATE_COL,PSTL_CODE,LAT_DD,LON_DD,STATION_DEPTH,DSGN_CYCLE,IND_DOMAIN,EPA_REG,EVAL_CAT,FEAT_NM,LAT_DD84,LON_DD84,NCA_REG,NCCA_REG,NEP_NAME,NEP_NAT,PROVINCE,SITETYPE,STATE_NM,WTBDY_NM,WTBDY_TYPE,XCOORD,YCOORD,INDEX_RF
10/31/2024,NRF_AS-10016,2016752,NCA20_AS-10016,2021,1,7/22/2021,AS,-14.33202212,-170.7966731,0.47,2020,CORE,Region_09,Target_Sampled,None,-14.33202212,-170.7966731,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,521925.5756,8415543.559,Y
10/31/2024,NRF_AS-10017,2016753,NCA20_AS-10017,2021,1,7/28/2021,AS,-14.27014671,-170.609808,1.5,2020,CORE,Region_09,Target_Sampled,None,-14.27014671,-170.609808,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,542087.7334,8422361.148,Y
10/31/2024,NRF_AS-10018,2016754,NCA20_AS-10018,2021,1,7/21/2021,AS,-14.32992889,-170.806942,0.42,2020,CORE,Region_09,Target_Sampled,None,-14.32992889,-170.806942,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,520818.4317,8415776.016,Y
10/31/2024,NRF_AS-10019,2016755,NCA20_AS-10019,2021,1,7/26/2021,AS,-14.27308747,-170.5755652,0.8,2020,CORE,Region_09,Target_Sampled,None,-14.27308747,-170.5755652,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,545780.7675,8422029.427,Y
10/31/2024,NRF_AS-10020,2016756,NCA20_AS-10020,2021,1,7/21/2021,AS,-14.31794459,-170.8352387,0.7,2020,CORE,Region_09,Target_Sampled,None,-14.31794459,-170.8352387,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,517767.9922,8417103.819,Y
10/31/2024,NRF_AS-10021,2016757,NCA20_AS-10021,2021,1,7/27/2021,AS,-14.25242833,-170.6260948,0.6,2020,CORE,Region_09,Target_Sampled,None,-14.25242833,-170.6260948,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,540334.1022,8424323.681,Y
10/31/2024,NRF_AS-10022,2016758,NCA20_AS-10022,2021,1,7/20/2021,AS,-14.28336668,-170.6754354,100,2020,CORE,Region_09,Target_Sampled,None,-14.28336668,-170.6754354,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,535006.7711,8420909.914,Y
10/31/2024,NRF_AS-10023,2016759,NCA20_AS-10023,2021,1,7/22/2021,AS,-14.32001656,-170.7014136,0.62,2020,CORE,Region_09,Target_Sampled,None,-14.32001656,-170.7014136,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,532199.5902,8416860.229,Y
10/31/2024,NRF_AS-10025,2016761,NCA20_AS-10025,2021,1,7/28/2021,AS,-14.2722644,-170.6230917,1.7,2020,CORE,Region_09,Target_Sampled,None,-14.2722644,-170.6230917,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,540654.5026,8422129.297,Y
10/31/2024,NRF_AS-10026,2016762,NCA20_AS-10026,2021,1,7/29/2021,AS,-14.27602712,-170.6661775,2,2020,CORE,Region_09,Target_Sampled,None,-14.27602712,-170.6661775,Pacific,Pacific,Not_NEP,Not_NEP,Pacific Province,PROB,American Samoa,NoName,MARINE,536006.4821,8421720.249,Y
