Dataset:              Benthic Community Data
File Name:            va90_3_4.txt
Date Created:         11/17/97
# Variables:          10
# Header Records:     20
# Data Records:       111
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              #GRABS       Number of grabs
              #TAXA        Mean number of taxa per grab
              #ORGS        Mean number of organisms per grab
              #I_TAXA      Mean number of infaunal taxa per grab
              #I_ORGS      Mean number of infaunal organisms per grab
              BMASS        Mean biomass (g) per grab
              MOIST        Mean moisture (%) per grab
              SICL         Mean silt/clay (%) per grab

STA_NAME    DATE  #GRABS #TAXA  #ORGS   #I_TAXA       #I_ORGS    BMASS      MOIST      SICL
VA90-169  900821       3    15    874     11.33        786.00   0.2306      71.00     48.97
VA90-173  900730       3    11    162      9.67        159.00   0.0513      26.38      5.03
VA90-177  900812       3     9     98      9.00         98.00   0.0452      56.52     87.90
VA90-178  900819       3     9    237      7.33        232.00   0.6100      46.36     64.69
VA90-180  900816       3     1      2      1.33          1.67   0.0003      39.45     27.67
VA90-182  900806       3     1     14      1.33         13.67   0.0007      75.16     81.16
VA90-184  900727       3    12    154     10.00        150.67   0.2623      58.97     91.53
VA90-186  900825       3     7     64      7.00         63.67   1.2061      64.05     96.30
VA90-188  900826       3    19    907     18.33        906.00   0.6220      46.07     22.02
VA90-190  900815       3     6     73      6.00         73.33   0.0811      65.19     72.40
VA90-192  900726       3     7    158      5.00        143.33   0.1337      73.30     92.74
VA90-194  900726       3    11    201     10.00        199.33    .          69.21     80.33
VA90-196  900805       3    14    329     14.00        329.00   0.1006      55.89     69.45
VA90-199  900811       3    14    800     11.00        646.33   0.2553      54.43     79.76
VA90-200  900805       3    13    304     12.67        304.33   0.0494      52.76     75.00
VA90-202  900802       3    16    129     14.67        114.67   0.0806      59.25     75.90
VA90-204  900821       3    12     48     10.67         47.33   0.0603      52.91     85.56
VA90-206  900822       3     7     20      7.33         19.67   0.3195      22.48      1.94
VA90-208  900822       3    10    408      9.67        407.33   0.1637        .       92.03
VA90-210  900723       3     7     78      7.00         77.00   0.0287      24.83      5.00
VA90-215  900810       3     9    228      8.67        226.67   0.0308      79.18     88.94
VA90-217  900809       2    11    685      9.50        679.50   0.0505      30.00      7.47
VA90-219  900728       3     4    164      3.67        163.67   0.1386        .         .  
VA90-223  900729       3     4     16      3.33         15.00   0.0085      42.53     64.94
VA90-227  900808       3     5    212      5.00        211.67   0.0679      51.03     86.50
VA90-231  900910       3    16    393     15.00        382.33   0.4660      38.67     63.54
VA90-250  900830       3    12   2338      8.00        308.67   0.3329      52.22     45.81
VA90-252  900826       3     4     76      3.67         74.67   0.0816      29.59      6.02
VA90-254  900725       3     6    138      5.67        137.00   2.4214      58.34     80.72
VA90-256  900810       3    18    529     17.00        525.67   0.0602      37.71     31.76
VA90-258  900810       3    12     39     11.33         37.67   0.2672      23.38      5.76

