Dataset:              Benthic Species List
File Name:            ben_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       2110
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
.,SCOLHEBE, , ,SCOLETOMA HEBES,
.,SCOLIMPA,SCOLETOMA,IMPATIENS,SCOLETOMA IMPATIENS,
.,LUMBRINE,SCOLETOMA,SPP.,SCOLETOMA SPP.,
.,SELIADAM,SELIA,ADAMSI,SELIA ADAMSI,
.,SPHALABY,SPHAEROSYLLIS,LABYRINTHOPHILA,SPHAEROSYLLIS LABYRINTHOPHILA,
.,SPHEFRAG,SPHENIA,FRAGILIS,SPHENIA FRAGILIS,
.,SCOLQUAD,SCOLELEPIS,QUADRILOBATA,SCOLELEPIS QUADRILOBATA,
.,PSEUZETA,PSEUOPHILOMEDES,ZETA,PSEUOPHILOMEDES ZETA,
.,POLYTRIP,POLYPEDILUM,TRIPODURA,POLYPEDILUM TRIPODURA,
.,TECTSQUA,TECTIDRILUS,SQUALIDUS,TECTIDRILUS SQUALIDUS,
.,TEINLERE,TEINOSTOMA,LEREMUM,TEINOSTOMA LEREMUM,
.,TETHLONG,TETHYGENIA,LONGLEYI,TETHYGENIA LONGLEYI,
.,THALASSI,UNIDENTIFIED, ,THALASSINIDEA,
.,THALBELL,THALASSODRILIDES,BELLI,THALASSODRILIDES BELLI,
.,THALXXXX,THALASSODRILIDES,SP.,THALASSODRILIDES SP.,
.,TRACEGMO,TRACHYCARDIUM,EGMONTANEUM,TRACHYCARDIUM EGMONTANEUM,
.,TRIBJUCU,TRIBELOS,JUCUNDUM,TRIBELOS JUCUNDUM,
.,TRICAFFI,TRICOLA,AFFINIS,TRICOLA AFFINIS,
.,TUBIBERM,TUBIFICOIDES,BERMUDAE,TUBIFICOIDES BERMUDAE,
.,TUBIMOTE,TUBIFICOIDES,MOTEI,TUBIFICOIDES MOTEI,
.,XXXXCLIO,UNID.,CLIONIDAE,UNID. CLIONIDAE,
.,XXXXRHYA,UNID.,RHYACODRILINAE,UNID. RHYACODRILINAE,
.,STREVERR,STREBLOSOMA,VERRILLI,STREBLOSOMA VERRILLI,
-101,MISCELLA,UNIDENTIFIED, ,MISCELLANEA,
-100,NOORGPRS,NO ORGANISMS PRESENT, ,NO ORGANISMS PRESENT,
0,ACANUNCI,ACANTHOHAUSTORIUS,UNCINUS,ACANTHOHAUSTORIUS UNCINUS,
14373,MYTIXXXX,MYTILOPSIS,SP.,MYTILOPSIS,
23547,LEUCXXXA,LEUCOTHOE,SP.A,LEUCOTHOE,
23692,PHYLLODO,PHYLLODOCE,SP.,PHYLLODOCE SP.,
46861,XXXXPORI,UNID.,PORIFERA,UNID. PORIFERA,
46861,PORIFERA,UNID., ,PORIFERA,
48738,XXXXCNID,UNID., ,CNIDARIA,
48740,XXXXHYDR,UNID., ,HYDROIDA,
48869,BIMEFRAN,BIMERIA,FRANCISCANA,BIMERIA FRANCISCANA,
48869,BIMEFRAN, , ,BIMERIA FRANCISCANA,
48921,TUBUCROC,TUBULARIA,CROCEA,TUBULARIA CROCEA,
48921,TUBUCROC, , ,TUBULARIA CROCEA,
49098,XXXXEUDE,UNID.,EUDENDRIIDAE,UNID. EUDENDRIIDAE,
49116,EUDEEXIG,EUDENDRIUM,EXIGUUM,EUDENDRIUM EXIGUUM,
49116,EUDEEXIG, , ,EUDENDRIUM EXIGUUM,
