Dataset:              Benthic Species List
File Name:            ben_tax.txt
Date Created:         5/26/1999
# Variables:          5
# Header Records:     15
# Data Records:       2110
Missing Value Symbol: .

Variables:    TSN          Integrated Taxonomic Information System (ITIS) serial number
              SPECCODE     EMAP Species Code
              GENUS        Genus
              SPECIES      Species
              LATNAME      Latin Name

TSN,SPECCODE,GENUS,SPECIES,LATNAME,
65916,NEREGRAY,NEREIS,GRAYI,NEREIS GRAYI,
65918,NEANSUCC,NEANTHES,SUCCINEA,NEANTHES SUCCINEA,
65922,NEREFALS,NEREIS,FALSA,NEREIS FALSA,
65924,NEANMICR,NEANTHES,MICROMMA,NEANTHES MICROMMA,
65925,NERELAME,NEREIS,LAMELLOSA,NEREIS LAMELLOSA,
65927,NERERIIS,NEREIS,RIISEI,NEREIS RIISEI,
65950,PLATDUME,PLATYNEREIS,DUMERILII,PLATYNEREIS DUMERILII,
65958,CERAOCUL,CERATOCEPHALE,OCULATA,CERATOCEPHALE OCULATA,
65958,CERAOCUL, , ,CERATOCEPHALE OCULATA,
65965,LAEOCULV,LAEONEREIS,CULVERI,LAEONEREIS CULVERI,
65971,WEBSXXXA,WEBSTERINEREIS,SP.A,WEBSTERINEREIS,
65978,STENMART,STENINONEREIS,MARTINI,STENINONEREIS MARTINI,
65987,GYMNXXXX,GYMNONEREIS,SP.,GYMNONEREIS,
66010,XXXXNEPH,UNID., ,NEPHTYIDAE,
66010,NEPHTYID,UNID., ,NEPHTYIDAE,
66011,NEPHTYS,NEPHTYS,SPP.,NEPHTYS,
66027,NEPHBUCE,NEPHTYS,BUCERA,NEPHTYS BUCERA,
66028,NEPHINCI,NEPHTYS,INCISA,NEPHTYS INCISA,
66030,NEPHPICT,NEPHTYS,PICTA,NEPHTYS PICTA,
66031,NEPHSQUA,NEPHTYS,SQUAMOSA,NEPHTYS SQUAMOSA,
66038,NEPHSIMO,NEPHTYS,SIMONI,NEPHTYS SIMONI,
66052,AGLAVERR,AGLAOPHAMUS,VERRILLI,AGLAOPHAMUS VERRILLI,
66053,AGLACIRC,AGLAOPHAMUS,CIRCINATA,AGLAOPHAMUS CIRCINATA,
66063,INERINER, , ,INERMONEPHTYS INERMIS,
66073,SPHAEROD,SPHAERODOROPSIS,SPP.,SPHAERODOROPSIS,
66101,XXXXGLYC,UNID., ,GLYCERIDAE,
66101,GLYCERID,UNID., ,GLYCERIDAE,
66102,GLYCXXXX,GLYCERA,SP.,GLYCERA,
66102,GLYCERA,GLYCERA,SPP.,GLYCERA SPP.,
66103,GLYCCAPI, , ,GLYCERA CAPITATA,
66106,GLYCAMER,GLYCERA,AMERICANA,GLYCERA AMERICANA,
66107,GLYCDIBR,GLYCERA,DIBRANCHIATA,GLYCERA DIBRANCHIATA,
66108,GLYCROBU,GLYCERA,ROBUSTA,GLYCERA ROBUSTA,
66110,GLYCXXXA,GLYCERA,OXYCEPHALA,GLYCERA OXYCEPHALA,
66124,HEMIROSE,HEMIPODUS,ROSEUS,HEMIPODUS ROSEUS,
66126,GONIADID,UNID., ,GONIADIDAE,
66126,XXXXGONI,UNID., ,GONIADIDAE,
66132,GLYCSOLI,GLYCINDE,SOLITARIA,GLYCINDE SOLITARIA,
66140,GONIMACU, , ,GONIADA MACULATA,
66143,GONILITT,GONIADA,LITTOREA,GONIADA LITTOREA,
66144,GONITERE, , ,GONIADA TERES,
66148,GONIGRAC,GONIADELLA,GRACILIS,GONIADELLA GRACILIS,
66150,OPHIGIGA, , ,OPHIOGLYCERA GIGANTEA,
66154,GONICARO,GONIADIDES,CAROLINAE,GONIADIDES CAROLINAE,
66157,XXXXONUP,UNID., ,ONUPHIDAE,
66157,ONUPHIDA,UNID., ,ONUPHIDAE,
66158,ONUPXXXX,ONUPHIS,SP.,ONUPHIS SP.,
66158,ONUPXXXA,ONUPHIS,SP.A,ONUPHIS SP.A,
66164,ONUPEREM,ONUPHIS,EREMITA,ONUPHIS EREMITA,
66180,DIOPCUPR,DIOPATRA,CUPREA,DIOPATRA CUPREA,
66187,DIOPPAPI, , ,DIOPATRA PAPILLATA,
66255,MOORNEBU, , ,MOOREONUPHIS NEBULOSA,
66258,KINBXXXX,KINBERGONUPHIS,SP.,KINBERGONUPHIS,
66258,KINBXXXA,KINBERGONUPHIS,SP.A,KINBERGONUPHIS SP.A,
66259,KINBSIMO,KINBERGONUPHIS,SIMONI,KINBERGONUPHIS SIMONI,
66260,EUNICIDA,UNID., ,EUNICIDAE,
66267,EUNIVITT, , ,EUNICE VITTATA,
66273,EUNITENU, , ,EUNICE TENUIS,
66301,MARPSANG,MARPHYSA,SANGUINEA,MARPHYSA SANGUINEA,
66302,MARPBELL,MARPHYSA,BELLI,MARPHYSA BELLI,
66320,LYSININE,LYSIDICE,NINETTA,LYSIDICE NINETTA,
66330,NEMAHEBE, , ,NEMATONEREIS HEBES,
66330,NEMAHEBE,NEMATONEREIS,HEBES,NEMATONEREIS HEBES,
66335,LUMBRIND,UNID., ,LUMBRINERIDAE,
66335,XXXXLUMB,UNID., ,LUMBRINERIDAE,
66336,LUMBTENI,SCOLETOMA,TENUIS,SCOLETOMA TENUIS,
66336,LUMBXXXA,LUMBRINERIS,SP.A,LUMBRINERIS,
66336,LUMBXXXX,LUMBRINERIS,SP.,LUMBRINERIS,
66346,LUMBINFL, , ,LUMBRINERIS INFLATA,
66346,LUMBINFL,LUMBRINERIS,INFLATA,LUMBRINERIS INFLATA,
66351,LUMBTENU,LUMBRINERIS,TENUIS,LUMBRINERIS TENUIS,
66365,LUMBERNE,LUMBRINERIS,ERNESTI,LUMBRINERIS ERNESTI,
66366,LUMBVERR,LUMBRINERIS,VERRILLI,LUMBRINERIS VERRILLI,
66366,LUMBVERR, , ,LUMBRINERIS VERRILLI,
66367,LUMBCOCC, , ,LUMBRINERIS COCCINEA,
66384,LUMBHEBE,LUMBRINERIS,HEBES,LUMBRINERIS HEBES,
66401,NINOXXXB,NINOE,SP.B,NINOE,
66405,NINONIGR,NINOE,NIGRIPES,NINOE NIGRIPES,
66407,LUMBRIN2, , ,LUMBRINERIDES SPP.,
66408,LUMBACUT, , ,LUMBRINERIDES ACUTA,
66422,ARABELLI,UNID., ,ARABELLIDAE,
66422,ARABSPEA, ,SP. A MORRIS,ARABELLIDAE,
66422,XXXXARAB,UNID.,ARABELLIDAE,UNID. ARABELLIDAE,
66423,DRILXXXC,DRILONEREIS,SP.C,DRILONEREIS,
66423,DRILXXXX,DRILONEREIS,SP.,DRILONEREIS,
66423,DRILXXXA,DRILONEREIS,SP.A,DRILONEREIS SP.A,
66423,DRILSPEB,DRILONEREIS,SP. B (GARDINER),DRILONEREIS SP. B GARDINER,
66426,DRILLONG,DRILONEREIS,LONGA,DRILONEREIS LONGA,
66440,ARABELLA,ARABELLA,SPP.,ARABELLA,
66440,ARABIRMU,ARABELLA,IRICOLOR/MULTIDENTAT,ARABELLA IRICOLOR-MULTIDENTATA COMPLEX,
66444,ARABMUTA,ARABELLA,MUTANS,ARABELLA MUTANS,
66450,NOTOSPIN,NOTOCIRRUS,SPINIFERUS,NOTOCIRRUS SPINIFERUS,
66472,OENOFULG, , ,OENONE FULGIDA,
66478,DORVSPEA, ,SP. A HILBIG,DORVILLEIDAE,
66478,XXXXDORV,UNID.,DORVILLEIDAE,UNID. DORVILLEIDAE,
66479,DORVSOCI,DORVILLEA,SOCIALIS,DORVILLEA SOCIALIS,
66496,PROTKEFE,PROTODORVILLEA,KEFERSTEINI,PROTODORVILLEA KEFERSTEINI,
66501,OPHRYOTR,OPHRYOTROCHA,SPP.,OPHRYOTROCHA,
66522,SCHIPECT,SCHISTOMERINGOS,PECTINATA,SCHISTOMERINGOS PECTINATA,
66523,SCHIRUDO,SCHISTOMERINGOS,RUDOLPHI,SCHISTOMERINGOS RUDOLPHI,
66534,MEIOSPEA, , ,MEIODORVILLEA SP. A MORRIS,
66536,PETTXXXA,PETTIBONEIA,SP.A,PETTIBONEIA,
66553,PAROCAEC,PAROUGIA,CAECA,PAROUGIA CAECA,
66570,ORBINIID,UNID., ,ORBINIIDAE,
66570,XXXXORBI,UNID., ,ORBINIIDAE,
66583,NAINXXXA,NAINERIS,SP.A,NAINERIS,
66589,NAINBICO, , ,NAINERIS BICORNIS,
66592,NAINGRUB,NAINERIS,GRUBEI,NAINERIS GRUBEI,
66594,SCOLOPLO, , ,SCOLOPLOS SPP.,
66594,SCOLXXXB,SCOLOPLOS,SP.B,SCOLOPLOS,
66594,SCOPXXXX,SCOLOPLOS,SP.,SCOLOPLOS,
66603,SCOLRUBR,SCOLOPLOS,RUBRA,SCOLOPLOS RUBRA,
66604,SCOLCAPE, , ,SCOLOPLOS CAPENSIS,
66606,SCOLTEXB,SCOLOPLOS,TEXANA,SCOLOPLOS TEXANA,
66608,SCOLACME,SCOLOPLOS,ACMECEPS,SCOLOPLOS ACMECEPS,
66618,ORBINIA, , ,ORBINIA SPP.,
66620,ORBISWAN, , ,ORBINIA SWANI,
66622,ORBIRISE,ORBINIA,RISERI,ORBINIA RISERI,
66653,LEITOSCO,LEITOSCOLOPLOS,SPP.,LEITOSCOLOPLOS SPP.,
66653,LEITXXXX,LEITOSCOLOPLOS,SP.,LEITOSCOLOPLOS,
66656,LEITFRAG,LEITOSCOLOPLOS,FRAGILIS,LEITOSCOLOPLOS FRAGILIS,
66659,PARAONID,UNID., ,PARAONIDAE,
66659,XXXXPARA,UNID.,PARAONIDAE,UNID. PARAONIDAE,
66666,ARICXXXX,ARICIDEA,SP.,ARICIDEA,
66666,ARICIDEA,ARICIDEA,SPP.,ARICIDEA SPP.,
66666,ARICXXXA,ARICIDEA,SP.A,ARICIDEA SP.A,
66667,ARICSUEC,ARICIDEA,SUECICA,ARICIDEA SUECICA,
66673,ARICWASS,ARICIDEA,WASSI,ARICIDEA WASSI,
66678,ARICFRAG,ARICIDEA,FRAGILIS,ARICIDEA FRAGILIS,
66680,ARICQUAD,ARICIDEA,QUADRILOBATA,ARICIDEA QUADRILOBATA,
66683,ARICPHIL,ARICIDEA,PHILBINAE,ARICIDEA PHILBINAE,
66684,ARICTAYL,ARICIDEA,TAYLORI,ARICIDEA TAYLORI,
66687,ARICALIS,ARICIDEA,ALISDAIRI,ARICIDEA ALISDAIRI,
66688,ARICTRIL, , ,ARICIDEA TRILOBATA,
66688,ARICTRIL,ARICIDEA,TRILOBATA,ARICIDEA TRILOBATA,
66697,PARAFULG,PARAONIS,FULGENS,PARAONIS FULGENS,
66699,PARAPYGO,PARAONIS,PYGOENIGMATICA,PARAONIS PYGOENIGMATICA,
66708,CIRRXXXQ,CIRROPHORUS,SP.,CIRROPHORUS,
66708,CIRRSPEA,CIRROPHORUS,SP. A MORRIS,CIRROPHORUS SP. A MORRIS,
66708,CIRROSPB, , ,CIRROPHORUS SP. B MORRIS,
66710,CIRRAMER,CIRROPHORUS,AMERICANUS,CIRROPHORUS AMERICANUS,
66711,CIRRLYRA,CIRROPHORUS,LYRA,CIRROPHORUS LYRA,
66711,CIRRLYRA, , ,CIRROPHORUS LYRA,
66712,CIRRFORT,CIRROPHORUS,FORTICIRRATUS,CIRROPHORUS FORTICIRRATUS,
66713,CIRRBRAN,CIRROPHORUS,BRANCHIATUS,CIRROPHORUS BRANCHIATUS,
66714,CIRRFURC, , ,CIRROPHORUS FURCATUS,
66729,LEVIGRAC,LEVINSENIA,GRACILIS,LEVINSENIA GRACILIS,
66742,PARADSPB, , ,PARADONEIS SP. B MORRIS,
66742,PARASPA, , ,PARADONEIS SP. A MORRIS,
66753,ARICLOPE,ARICIDEA,LOPEZI,ARICIDEA LOPEZI,
66765,ARICCATH,ARICIDEA,CATHERINAE,ARICIDEA CATHERINAE,
66770,LEVISPEA,LEVINSENIA,SP. A MORRIS,LEVINSENIA,
66781,SPIONIDA,UNID., ,SPIONIDAE,
66781,XXXXSPIO,UNID., ,SPIONIDAE,
66784,LAONICE,LAONICE,SPP.,LAONICE,
66785,LAONCIRR,LAONICE,CIRRATA,LAONICE CIRRATA,
66785,LAONCIRR, , ,LAONICE CIRRATA,
66789,POLYDORA,POLYDORA,SPP.,POLYDORA,
66789,POLYXXXX,POLYDORA,SP.,POLYDORA SP.,
66790,POLYGIAR,POLYDORA,GIARDI,POLYDORA GIARDI,
66791,POLYSOCI,POLYDORA,SOCIALIS,POLYDORA SOCIALIS,
66794,POLYCAUL,POLYDORA,CAULLERYI,POLYDORA CAULLERYI,
66798,POLYQUAD,POLYDORA,QUADRILOBATA,POLYDORA QUADRILOBATA,
66801,POLYLIGN,POLYDORA,LIGNI,POLYDORA LIGNI,
66802,POLYWEBS,POLYDORA,WEBSTERI,POLYDORA WEBSTERI,
66828,POLYAGGR,POLYDORA,AGGREGATA,POLYDORA AGGREGATA,
66838,PRIOXXXX,PRIONOSPIO,SP.,PRIONOSPIO,
66838,PRIONOSP, , ,PRIONOSPIO SPP.,
66843,PRIOHETE,PRIONOSPIO,HETEROBRANCHIA,PRIONOSPIO HETEROBRANCHIA,
66845,PRIOSTEE,PRIONOSPIO,STEENSTRUPI,PRIONOSPIO STEENSTRUPI,
66846,APOPPYGM,APOPRIONOSPIO,PYGMAEA,APOPRIONOSPIO PYGMAEA,
66846,PRIOPYGM,PRIONOSPIO,PYGMAEA,PRIONOSPIO PYGMAEA,
66849,PRIOCRIS,PRIONOSPIO,CRISTATA,PRIONOSPIO CRISTATA,
66850,PRIOFALL,PRIONOSPIO,FALLAX,PRIONOSPIO FALLAX,
66854,PRIOPERK,PRIONOSPIO,PERKINSI,PRIONOSPIO PERKINSI,
66864,SPIO,SPIO,SPP.,SPIO,
66865,SPIOFILI,SPIO,FILICORNIS,SPIO FILICORNIS,
66868,SPIOSETO,SPIO,SETOSA,SPIO SETOSA,
66870,SPIOPETT,SPIO,PETTIBONEAE,SPIO PETTIBONEAE,
66871,SPIOLIMI, , ,SPIO LIMICOLA,
66878,BOCCXXXX,BOCCARDIA,SP.,BOCCARDIA SP.,
66897,SPIOBOMB,SPIOPHANES,BOMBYX,SPIOPHANES BOMBYX,
66898,SPIOKROY,SPIOPHANES,KROYERI,SPIOPHANES KROYERI,
66902,SPIOWIGL,SPIOPHANES,WIGLEYI,SPIOPHANES WIGLEYI,
66903,SPIOMISS,SPIOPHANES,MISSIONENSIS,SPIOPHANES MISSIONENSIS,
66917,PYGOELEG,PYGOSPIO,ELEGANS,PYGOSPIO ELEGANS,
66924,MALAVAND,MALACOCEROS,VANDERHORSTI,MALACOCEROS VANDERHORSTI,
66926,PSEUXXXX,PSEUDOPOLYDORA,SP.,PSEUDOPOLYDORA,
66937,PARAPINN,PARAPRIONOSPIO,PINNATA,PARAPRIONOSPIO PINNATA,
66939,STREBENE,STREBLOSPIO,BENEDICTI,STREBLOSPIO BENEDICTI,
66941,DISPUNCI,DISPIO,UNCINATA,DISPIO UNCINATA,
66942,SCOLXXXX,SCOLELEPIS,SP.,SCOLELEPIS,
66942,SCOLELEP,SCOLELEPIS,SPP.,SCOLELEPIS SPP.,
66944,SCOLBOUS,SCOLELEPIS,BOUSFIELDI,SCOLELEPIS BOUSFIELDI,
66949,SCOLTEXA,SCOLELEPIS,TEXANA,SCOLELEPIS TEXANA,
66972,MICRPIGM,MICROSPIO,PIGMENTATA,MICROSPIO PIGMENTATA,
67003,CARAHOBS,CARAZZIELLA,HOBSONAE,CARAZZIELLA HOBSONAE,
67011,BOCLHAMA,BOCCARDIELLA,HAMATA,BOCCARDIELLA HAMATA,
67012,BOCCLIGE,BOCCARDIELLA,LIGERICA,BOCCARDIELLA LIGERICA,
67025,PRIODAYI,PRIONOSPIO,DAYI,PRIONOSPIO DAYI,
67031,PRIOCIRR,PRIONOSPIO,CIRRIFERA,PRIONOSPIO CIRRIFERA,
67033,PRIOCIRB, , ,PRIONOSPIO CIRROBRANCHIATA,
67033,PRIOCIRB,PRIONOSPIO,CIRROBRANCHIATA,PRIONOSPIO CIRROBRANCHIATA,
67043,MAGEXXXI,MAGELONA,SP.I,MAGELONA,
67043,MAGELONA,MAGELONA,SPP.,MAGELONA SPP.,
67043,MAGEXXXB,MAGELONA,SP.B,MAGELONA,
67043,MAGEXXXH,MAGELONA,SP.H,MAGELONA,
67043,MAGEXXXX,MAGELONA,SP.,MAGELONA,
67043,MAGEXXXF,MAGELONA,SP.F,MAGELONA,
67043,MAGEXXXA,MAGELONA,SP.A,MAGELONA SP.A,
67043,MAGEXXXG,MAGELONA,SP.G,MAGELONA SP.G,
67049,MAGEPETT,MAGELONA,PETTIBONEAE,MAGELONA PETTIBONEAE,
67050,MAGERIOJ,MAGELONA,RIOJAI,MAGELONA RIOJAI,
67052,MAGEPHYL,MAGELONA,PHYLLISAE,MAGELONA PHYLLISAE,
67052,MAGEPHYL, , ,MAGELONA PHYLLISAE,
67056,MAGECORN,MAGELONA,CORNUTA,MAGELONA CORNUTA,
67056,MAGECORN, , ,MAGELONA CORNUTA,
67058,MAGECINC,MAGELONA,CINCTA,MAGELONA CINCTA,
67077,TROCMULT, , ,TROCHOCHAETA MULTISETOSA,
67082,POECJOHN,POECILOCHAETUS,JOHNSONI,POECILOCHAETUS JOHNSONI,
67095,XXXXCHAE,UNID., ,CHAETOPTERIDAE,
67097,CHAEVARI,CHAETOPTERUS,VARIOPEDATUS,CHAETOPTERUS VARIOPEDATUS,
67107,SPIOCOST,SPIOCHAETOPTERUS,COSTARUM,SPIOCHAETOPTERUS COSTARUM,
67116,XXXACIRR,UNID., ,CIRRATULIDAE,
67116,CIRRATUL,UNID., ,CIRRATULIDAE,
67122,CIRRGRAN,CIRRIFORMIA,GRANDIS,CIRRIFORMIA GRANDIS,
67126,CAULSPEB,CAULLERIELLA,SP. B BLAKE,CAULLERIELLA SP. B BLAKE,
67126,CAULXXXX,CAULLERIELLA,SP.,CAULLERIELLA,
67128,CAULALAT,CAULLERIELLA,ALATA,CAULLERIELLA ALATA,
67132,CAULBIOC, , ,CAULLERIELLA CF. BIOCULATA,
67134,CAULZETL,CAULLERIELLA,ZETLANDICA,CAULLERIELLA ZETLANDICA,
67141,THARXXXX,THARYX,SP.,THARYX,
67141,THARSPA,THARYX,SP. A MORRIS,THARYX SP. A MORRIS,
67147,THARACUT,THARYX,ACUTUS,THARYX ACUTUS,
67148,THARANNU,THARYX,ANNULOSUS,THARYX ANNULOSUS,
67149,THARMARI,THARYX,MARIONI,THARYX MARIONI,
67152,MONTDORS,MONTICELLINA,DORSOBRANCHIALIS,MONTICELLINA DORSOBRANCHIALIS,
67152,THARDORS,THARYX,DORSOBRANCHIALIS,THARYX DORSOBRANCHIALIS,
67156,CHAEXXXX,CHAETOZONE,SP.,CHAETOZONE,
67156,CHAEXXXB,CHAETOZONE,SP.B,CHAETOZONE,
67156,CHAEXXXA,CHAETOZONE,SP.A,CHAETOZONE,
67156,CHAEXXXD,CHAETOZONE,SP.D,CHAETOZONE,
67156,CHAEXXXC,CHAETOZONE,SP.C,CHAETOZONE,
67165,DODEFIMB, , ,DODECACERIA FIMBRIATA,
67165,DODECACE,DODECACERIA,SPP.,DODECACERIA,
67172,CIRRXXXZ,CIRRIFORMIA,SP.,CIRRIFORMIA,
67172,CIRRXXXD,CIRRIFORMIA,SP.D,CIRRIFORMIA SP.D,
67172,CIRRXXXA,CIRRIFORMIA,SP.A,CIRRIFORMIA,
67172,CIRRXXXC,CIRRIFORMIA,SP.C,CIRRIFORMIA,
67172,CIRRXXXB,CIRRIFORMIA,SP.B,CIRRIFORMIA,
67176,CIRRTENT,CIRRIFORMIA,TENTACULATA,CIRRIFORMIA TENTACULATA,
67188,ACROCFAM, , ,ACROCIRRIDAE,
67196,MACRCLAV, , ,MACROCHAETA CLAVICORNIS,
67206,COSSXXXX,COSSURA,SP.,COSSURA,
67207,COSSLONG,COSSURA,LONGOCIRRATA,COSSURA LONGOCIRRATA,
67209,COSSDELT,COSSURA,DELTA,COSSURA DELTA,
67210,COSSSOYE,COSSURA,SOYERI,COSSURA SOYERI,
67224,FLABELLI,UNID., ,FLABELLIGERIDAE,
67227,BRADVILL,BRADA,VILLOSA,BRADA VILLOSA,
67241,PHERUSA,PHERUSA,SPP.,PHERUSA,
67247,PHERAFFI,PHERUSA,AFFINIS,PHERUSA AFFINIS,
67272,PIROROBE,PIROMIS,ROBERTI,PIROMIS ROBERTI,
67311,SCALIBRE,UNIDENTIFIED, ,SCALIBREGMATIDAE,
67313,SCALINFL,SCALIBREGMA,INFLATUM,SCALIBREGMA INFLATUM,
67342,OPHELIID,UNID., ,OPHELIIDAE,
67342,XXXXOPHE,UNID., ,OPHELIIDAE,
67343,ARMAXXXX,ARMANDIA,SP.,ARMANDIA,
67346,ARMAAGIL,ARMANDIA,AGILIS,ARMANDIA AGILIS,
67347,ARMAMACU,ARMANDIA,MACULATA,ARMANDIA MACULATA,
67356,OPHEBICO,OPHELIA,BICORNIS,OPHELIA BICORNIS,
67364,TRAVSPEA,TRAVISIA,SP. A MORRIS,TRAVISIA,
67364,TRAVSPEB,TRAVISIA,SP. B MORRIS,TRAVISIA,
67364,TRAVISIA,TRAVISIA,SPP.,TRAVISIA,
67371,TRAVHOBS,TRAVISIA,HOBSONAE,TRAVISIA HOBSONAE,
67391,OPHEACUM,OPHELINA,ACUMINATA,OPHELINA ACUMINATA,
67411,STERSCUT,STERNASPIS,SCUTATA,STERNASPIS SCUTATA,
67413,CAPITELD,UNID., ,CAPITELLIDAE,
67413,XXXXCAPI,UNID., ,CAPITELLIDAE,
67414,CAPIXXXB,CAPITELLA,SP.B,CAPITELLA SP.B,
67414,CAPITELL,CAPITELLA,SPP.,CAPITELLA,
67414,CAPIXXXM,CAPITELLA,SP.,CAPITELLA SP.,
67415,CAPICAPI,CAPITELLA,CAPITATA,CAPITELLA CAPITATA,
67419,HETEXXXZ,HETEROMASTUS,SP.,HETEROMASTUS SP.,
67420,HETEFILI,HETEROMASTUS,FILIFORMIS,HETEROMASTUS FILIFORMIS,
67423,NOTOMAST,NOTOMASTUS,SPP.,NOTOMASTUS,
67423,NOTOXXXX,NOTOMASTUS,SP.,NOTOMASTUS,
67423,NOTOSPA,NOTOMASTUS,SP. A EWING,NOTOMASTUS SP. A EWING,
67425,NOTOTENU,NOTOMASTUS,TENUIS,NOTOMASTUS TENUIS,
67426,NOTOLINE,NOTOMASTUS,LINEATUS,NOTOMASTUS LINEATUS,
67428,NOTOLURI,NOTOMASTUS,LURIDUS,NOTOMASTUS LURIDUS,
67429,NOTOLATE,NOTOMASTUS,LATERICEUS,NOTOMASTUS LATERICEUS,
67431,NOTOHEMI,NOTOMASTUS,HEMIPODUS,NOTOMASTUS HEMIPODUS,
67432,NOTOLOBA,NOTOMASTUS,LOBATUS,NOTOMASTUS LOBATUS,
67434,NOTOAMER,NOTOMASTUS,AMERICANUS,NOTOMASTUS AMERICANUS,
67434,NOTOAMER, , ,NOTOMASTUS AMERICANUS,
67436,NOTODAUE,NOTOMASTUS,DAUERI,NOTOMASTUS DAUERI,
67438,MEDIXXXX,MEDIOMASTUS,SP.,MEDIOMASTUS,
67438,MEDIOMAS, , ,MEDIOMASTUS SPP.,
67439,MEDIAMBI,MEDIOMASTUS,AMBISETA,MEDIOMASTUS AMBISETA,
67440,MEDICALI,MEDIOMASTUS,CALIFORNIENSIS,MEDIOMASTUS CALIFORNIENSIS,
67444,DECAXXXX,DECAMASTUS,SP.,DECAMASTUS SP.,
67444,DECAGRAC,DECAMASTUS,GRACILIS?,DECAMASTUS GRACILIS?,
67444,DECAXXXA,DECAMASTUS,SP.A,DECAMASTUS,
67449,CAPIXXXX,CAPITELLIDES,SP.,CAPITELLIDES,
67453,LEIOXXXB,LEIOCAPITELLA,SP.B,LEIOCAPITELLA SP.B,
67454,LEIOGLAB,LEIOCAPITELLA,GLABRA,LEIOCAPITELLA GLABRA,
67457,DASYLUNU,DASYBRANCHUS,LUNULATUS,DASYBRANCHUS LUNULATUS,
67459,DASYLUMB, , ,DASYBRANCHUS LUMBRICOIDES,
67459,DASYLUMB,DASYBRANCHUS,LUMBRICOIDES,DASYBRANCHUS LUMBRICOIDES,
67515,XXXXMALD,UNID., ,MALDANIDAE,
67515,MALDANID,UNID., ,MALDANIDAE,
67516,ASYCXXXX,ASYCHIS,SP.,ASYCHIS SP.,
67516,ASYCHIS,ASYCHIS,SPP.,ASYCHIS,
67519,ASYCELON,ASYCHIS,ELONGATA,ASYCHIS ELONGATA,
67528,CLYMTORQ,CLYMENELLA,TORQUATA,CLYMENELLA TORQUATA,
67535,MALDXXXA,MALDANE,SP.A,MALDANE,
67566,AXIOMUCO,AXIOTHELLA,MUCOSA,AXIOTHELLA MUCOSA,
67583,EUCLXXXB,EUCLYMENE,SP.B,EUCLYMENE SP.B,
67583,EUCLXXXA,EUCLYMENE,SP.A,EUCLYMENE SP.A,
67583,EUCLXXXX,EUCLYMENE,SP.,EUCLYMENE SP.,
67583,EUCLXXXB,EUCLYMENE,SP.B,EUCLYMENE SP.B,
67625,PRAXORNA, , ,PRAXILLURA ORNATA,
67632,MACRZONA,MACROCLYMENE,ZONALIS,MACROCLYMENE ZONALIS,
67644,OWENIIDA,UNID., ,OWENIIDAE,
67644,XXXXOWEN,UNID., ,OWENIIDAE,
67645,OWENXXXA,OWENIA,SP.A,OWENIA,
67645,OWENIA, , ,OWENIA SPP.,
67647,OWENFUSI,OWENIA,FUSIFORMIS,OWENIA FUSIFORMIS,
67650,MYRIXXXX,MYRIOCHELE,SP.,MYRIOCHELE SP.,
67652,MYRIOCUL,MYRIOCHELE,OCULATA,MYRIOCHELE OCULATA,
67656,MYRIXXXA,MYRIOWENIA,SP.A,MYRIOWENIA,
67665,SABELLAR,UNID., ,SABELLARIIDAE,
67669,SABEXXAA,SABELLARIA,SP.A,SABELLARIA SP.A,
67671,SABEVULG,SABELLARIA,VULGARIS,SABELLARIA VULGARIS,
67677,SABEFLOR,SABELLARIA,FLORIDENSIS,SABELLARIA FLORIDENSIS,
67692,XXXXPECT,UNID., ,PECTINARIIDAE,
67694,AMPCXXXA,AMPHICTENE,SP.A,AMPHICTENE,
67706,PECTINAR,PECTINARIA,SPP.,PECTINARIA,
67718,XXXBAMPH,UNID., ,AMPHARETIDAE,
67718,AMPHARTD,UNID., ,AMPHARETIDAE,
67727,AMPHXXXA,AMPHARETE,SP.A,AMPHARETE,
67728,AMPHARCT,AMPHARETE,ARCTICA,AMPHARETE ARCTICA,
67755,HOBSFLOR,HOBSONIA,FLORIDA,HOBSONIA FLORIDA,
67762,MELINNA,MELINNA,SP.,MELINNA,
67763,MELICRIS,MELINNA,CRISTATA,MELINNA CRISTATA,
67766,MELIMACU,MELINNA,MACULATA,MELINNA MACULATA,
67778,ANOBGRAC, , ,ANOBOTHRUS GRACILIS,
67786,ASABOCUL,ASABELLIDES,OCULATA,ASABELLIDES OCULATA,
67813,ISOLPULC,ISOLDA,PULCHELLA,ISOLDA PULCHELLA,
67899,TEREBELL,UNID., ,TEREBELLIDAE,
67899,XXXATERE,UNID., ,TEREBELLIDAE,
67902,AMPHORNA,AMPHITRITE,ORNATA,AMPHITRITE ORNATA,
67913,EUPONEBU, , ,EUPOLYMNIA NEBULOSA,
67913,EUPONEBU,EUPOLYMNIA,NEBULOSA,EUPOLYMNIA NEBULOSA,
67937,NICOZOST,NICOLEA,ZOSTERICOLA,NICOLEA ZOSTERICOLA,
67940,PISTXXXX,PISTA,SP.,PISTA,
67940,PISTA, , ,PISTA SPP.,
67941,PISTCRIS,PISTA,CRISTATA,PISTA CRISTATA,
67947,PISTPALM,PISTA,PALMATA,PISTA PALMATA,
67951,PISTQUAD,PISTA,QUADRILOBATA,PISTA QUADRILOBATA,
67959,POLYXXXW,POLYCIRRUS,SP.,POLYCIRRUS,
67959,POLYCIRR,POLYCIRRUS,SPP.,POLYCIRRUS SPP.,
