Dataset:              Demersal Lengths - Summary by Station and Taxon
File Name:            CP_DEM_L.txt
Date Created:         02Dec1998
# Variables:          7
# Header Records:     17
# Data Records:       1682
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              COD_EMAP     Carolinian Province Office Taxa Code
              N_LEN        Number of lengths
              M_LEN        Mean length (mm)
              SD_LEN       Standard deviation of lengths
              MEASTYPE     Length measurement type code

STA_NAME;DATE;COD_EMAP;N_LEN;M_LEN;SD_LEN;MEASTYPE
CP94011;940817;GOBIROBU;51;27.0;4.8;T
CP94011;940817;OPSATAU_;3;138.3;81.0;T
CP94011;940817;SYNGSCOV;17;76.9;7.4;T
CP94012;940817; ;.;.;.; 
CP94013;940818;BAIRCHRY;37;138.9;16.0;T
CP94013;940818;CHASSABU;1;59.0;.;T
CP94013;940818;GOBIROBU;18;35.5;4.2;T
CP94013;940818;SYNGSCOV;1;93.0;.;T
CP94014;940818; ;.;.;.; 
CP94015;.; ;.;.;.; 
CP94016;940808;CALLSAPI;29;104.1;27.4;C
CP94016;940808;CITHSPIL;1;124.0;.;T
CP94016;940808;ICTAXXSP;1;261.0;.;T
CP94016;940808;LEIOXANT;2;112.0;4.2;T
CP94016;940808;LEPOMACR;1;185.0;.;T
CP94016;940808;LEPOMICR;1;130.0;.;F
CP94016;940808;MICRUNDU;3;123.7;10.0;T
CP94016;940808;PARALETH;1;118.0;.;T
CP94016;940808;PENAXSPP;4;106.0;15.2;S
CP94016;940808;POMONIGR;3;178.0;48.7;T
CP94016;940808;TRINMACU;3;60.7;10.7;T
CP94017;940809;ANCHMITC;1;43.0;.;F
CP94017;940809;CALLSAPI;8;95.6;42.5;C
CP94017;940809;CITHSPIL;6;121.0;7.7;T
CP94017;940809;ETROCROS;1;69.0;.;T
CP94017;940809;MICRUNDU;6;152.7;17.1;T
CP94017;940809;PENAXSPP;2;100.0;4.2;S
CP94018;940811;ASTRY-GR;1;219.0;.;T
CP94018;940811;CALLSIMI;1;33.0;.;C
CP94018;940811;GOBIROBU;1;22.0;.;T
CP94018;940811;OVALOCEL;2;41.0;5.7;C
CP94018;940811;TRINMACU;1;121.0;.;T
