Dataset:              Water Quality Bottom Data
File Name:            CP_WQ_B.DAT
Date Created:         01Jan1998
# Variables:          10
# Header Records:     20
# Data Records:       313
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              TIME         Sample collection time (HH:MM)
              DO           Dissolved Oxygen conc. (mg/L) at bottom
              TEMP         Temperature (C) at bottom
              SAL          Salinity (ppt) at bottom
              PH           pH (units) at bottom
              SPCOND       Specific Conductance (mS/cm @25C) surf.
              DENS         Density (Sigma t) at bottom
              DEPTH        Depth (m) of near-bottom observation

STA_NAME;DATE;TIME;DO;TEMP;SAL;PH;SPCOND;DENS;DEPTH
CP94072;940712;16:31;9.0;28.3;1.5;8.4;2.9;-2.68;1.5
CP94073;940825;8:47;5.4;27.7;27.1;7.7;42.2;16.56;12.9
CP94074;940823;11:04;6.4;27.9;31.9;8.0;48.8;20.10;4.1
CP94075;940823;14:44;7.0;28.4;30.2;7.6;46.5;18.66;10.9
CP94076;940811;12:06;5.7;27.7;32.2;8.0;49.2;20.39;7.9
CP94077;940811;10:54;4.0;27.9;21.5;7.2;34.2;12.27;7.5
CP94078;940808;9:30;4.5;27.7;29.9;7.7;46.1;18.66;6.1
CP94079;940729;8:12;5.4;27.9;28.6;7.7;44.3;17.62;10.9
CP94080;940726;10:14;5.6;27.9;33.3;7.9;50.8;21.15;3.7
CP94081;940726;11:22;5.6;28.6;33.5;7.8;51.0;21.08;1.2
CP94082;940810;11:16;5.3;26.3;3.9;6.7;7.1;-0.34;4.7
CP94083;940829;11:35;6.4;27.1;32.5;7.9;49.5;20.81;5.5
CP94084;940712;10:25;5.5;30.0;5.5;7.2;9.7;-0.24;0.7
CP94CF_;940829;14:15;9.5;27.9;8.6;7.5;14.8;2.69;2.5
CP94DSL;940920;8:50;.;.;19.0;.;.;.;1.2
CP94ES4;940712;12:22;8.0;27.5;4.6;8.5;8.2;-0.16;1.0
CP94JAC;940809;9:46;6.1;26.4;35.5;7.8;53.7;23.29;12.9
CP94LTH;940923;11:15;.;.;26.0;.;.;.;2.0
CP94MI_;940725;10:50;6.6;25.5;36.6;8.0;55.1;24.40;2.2
CP94NMK;940920;11:22;.;.;22.1;.;.;.;1.7
CP94PLM;940922;11:00;.;.;22.4;.;.;.;1.8
CP94RC_;940727;16:33;6.2;28.1;37.1;7.9;55.8;23.95;1.6
CP94ZI_;940725;11:37;5.6;27.8;34.1;7.7;51.7;21.77;1.2
CP95101;950809;14:15;8.9;24.6;5.0;8.2;8.9;0.93;1.4
CP95102;950808;10:01;8.4;23.6;5.0;8.5;8.8;1.19;1.1
CP95103;950808;12:45;6.9;28.1;0.1;7.4;0.2;-3.65;3.6
CP95104;950810;10:05;7.4;26.3;2.1;9.1;4.0;-1.68;2.0
CP95105;950810;12:33;7.9;26.1;4.2;8.3;7.5;-0.10;2.2
CP95106;950810;10:40;7.6;26.3;4.7;8.2;8.4;0.25;1.7
CP95107;950810;14:20;7.9;27.0;1.9;7.8;3.5;-2.02;6.3
CP95108;950808;9:00;7.7;24.6;0.2;7.5;0.4;-2.64;1.0
CP95109;950812;13:45;6.9;26.6;3.5;7.3;6.3;-0.72;2.2
CP95110;950812;12:15;9.4;27.2;3.6;8.3;6.5;-0.80;1.3
CP95111;950812;10:45;8.0;26.6;4.3;7.5;7.6;-0.13;1.5
CP95112;950812;11:31;8.3;26.0;13.3;8.0;22.2;6.74;1.0
CP95113;950812;13:06;6.6;24.8;26.8;7.8;41.7;17.21;3.8
CP95114;950720;9:17;1.0;29.5;7.9;7.1;13.5;1.67;2.0
CP95115;950725;11:20;6.3;29.5;24.2;8.0;38.0;13.83;4.4
CP95116;950718;16:13;4.6;29.6;10.4;7.7;17.8;3.51;3.6
CP95117;950721;10:56;4.8;29.2;23.8;7.9;37.5;13.61;6.0
CP95118;950711;12:36;5.7;27.3;20.4;7.8;32.7;11.68;1.5
CP95119;950711;10:56;5.6;27.6;21.2;7.9;33.7;12.13;5.0
CP95120;950719;10:10;0.3;28.3;10.0;7.1;17.1;3.63;1.5
CP95121;950719;11:53;1.1;28.1;15.3;7.2;25.1;7.61;3.8
CP95122;950719;13:40;1.2;28.3;15.4;7.3;25.3;7.63;4.0
CP95123;950726;10:47;6.2;29.1;25.8;8.1;40.3;15.14;4.5
CP95124;950718;13:58;1.4;28.9;15.3;7.4;25.2;7.38;5.0
CP95125;950711;10:25;6.3;27.6;20.7;7.8;33.1;11.80;2.5
CP95126;950711;11:28;6.3;27.6;17.7;7.7;28.8;9.56;1.6
CP95127;950711;12:51;6.9;28.1;16.6;7.9;27.2;8.60;2.4
CP95128;950718;11:37;2.4;28.9;15.4;7.5;25.3;7.41;2.0
CP95129;950718;9:30;5.2;29.4;16.2;7.6;26.5;7.85;1.0
CP95130;950725;8:43;6.3;29.7;21.9;8.1;34.8;12.03;5.3
CP95131;950725;11:36;6.6;29.9;19.1;8.0;30.9;9.88;6.3
CP95132;950723;11:06;6.6;29.1;24.9;8.2;39.0;14.47;4.0
CP95133;950723;13:00;6.8;28.7;25.8;8.2;40.2;15.23;2.3
CP95134;950720;11:30;6.2;30.2;14.6;7.8;24.0;6.42;1.0
CP95135;950723;10:30;6.1;28.0;27.8;8.2;43.2;17.01;0.9
CP95136;950814;12:30;4.2;27.1;19.4;7.7;31.3;10.98;6.4
CP95137;.;.;.;.;.;.;.;.;.
CP95138;950822;12:00;6.3;27.2;17.0;7.7;27.8;9.17;0.8
CP95139;950821;11:52;4.3;26.4;18.0;7.7;29.2;10.14;6.6
CP95140;950821;13:50;6.3;26.9;16.6;7.7;27.1;8.94;1.9
CP95141;950801;9:21;5.5;31.5;36.6;8.0;55.1;22.38;1.7
CP95142;950801;10:15;5.3;30.3;36.3;7.9;54.6;22.57;1.3
CP95143;950801;11:26;5.5;30.5;36.8;8.0;55.4;22.91;1.5
CP95144;950731;13:51;6.4;30.7;33.5;8.0;51.3;20.37;0.5
CP95145;950731;10:26;5.7;30.7;33.3;7.9;50.7;20.22;0.5
CP95146;950706;10:45;4.3;27.1;23.1;7.7;36.6;13.75;13.0
CP95147;950706;13:40;3.5;25.5;4.1;6.4;7.4;0.04;6.1
CP95148;950705;13:00;10.2;29.1;29.2;8.2;45.0;17.68;2.7
CP95149;950817;16:37;6.7;30.4;16.7;7.8;26.8;7.90;6.0
CP95150;950817;15:11;6.7;30.8;3.8;7.6;6.8;-1.74;4.2
CP95151;950802;8:30;5.7;30.3;22.1;7.7;35.0;11.98;7.4
CP95152;950802;9:17;5.8;30.0;22.9;7.7;36.5;12.68;9.0
CP95153;950803;10:07;6.6;28.6;34.3;7.9;52.1;21.68;3.2
CP95154;950804;10:15;5.9;28.9;31.9;7.8;48.8;19.78;1.2
CP95155;950731;11:08;5.6;29.6;31.8;7.9;48.6;19.47;11.4
CP95156;950731;9:57;4.8;30.0;12.6;7.3;21.0;4.98;6.7
CP95157;950815;9:34;4.1;30.8;23.1;7.3;36.5;12.56;10.6
CP95158;950815;10:35;4.6;30.9;23.7;7.4;37.6;12.98;4.8
CP95159;950828;11:50;6.3;28.1;29.3;7.8;45.1;18.08;11.1
CP95160;950828;11:10;5.2;27.9;26.0;7.5;41.1;15.67;2.1
CP95161;950830;10:08;5.8;27.5;26.4;7.8;41.3;16.11;5.3
CP95162;950829;9:55;5.9;26.3;12.0;7.5;19.7;5.69;3.6
CP95163;950829;12:44;6.0;27.2;26.2;7.8;40.3;16.04;8.4
CP95164;950822;11:43;5.3;29.6;20.4;7.4;32.6;10.95;6.6
CP95165;950908;9:18;5.8;25.4;23.9;7.6;37.9;14.86;8.0
CP95166;950907;14:57;4.7;27.4;20.9;7.2;33.8;11.99;2.1
CP95167;950905;12:05;4.2;27.0;14.7;7.2;23.8;7.50;3.5
