Dataset:              Water Quality Bottom Data
File Name:            va90_2_3.txt
Date Created:         02/23/96
# Variables:          10
# Header Records:     20
# Data Records:       111
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the bottom
              TEMP         Temperature (C) at the bottom
              SAL          Salinity (ppt) at the bottom
              PH           pH (units) at the bottom
              FLR          Fluorescence at the bottom
              TRANS        Transmissivity (%) at the bottom
              PAR          PAR (mE/m2/s) at the bottom
              DENS         Density (Sigma t) at the bottom

STA_NAME    DATE     DO   TEMP    SAL     PH   FLR TRANS    PAR   DENS
VA90-177  900812    5.7  25.61   7.35    7.1     5    24      4   2.41
VA90-178  900819    7.6  25.60   0.08    7.2     4    46      3  -2.98
VA90-180  900816    0.1  25.86  16.86    7.2     3    86      3   9.44
VA90-182  900806    1.7  26.42  11.48    7.2     5    69      3   5.27
VA90-184  900806    5.1  26.83   6.61    7.4     6    28      3   1.52
VA90-186  900825    6.0  24.84   0.17    7.0     5     4      3  -2.72
VA90-188  900826    5.1  25.09   0.15    7.1     6    11      3  -2.80
VA90-190  900815    1.6  26.78  14.45    7.2     5    68      3   7.37
VA90-192  900726    6.3  28.45   3.36    7.1    21    13     32  -1.35
VA90-194  900726    8.5  29.24   0.05    7.7    30     7      3  -4.03
VA90-196  900805    7.2  27.29   0.04    7.4    30     5      3  -3.48
VA90-199  900811    5.1  26.04   4.55    7.1     5    44      6   0.21
VA90-200  900908    7.5  26.89   0.04    7.0    25    35      3  -3.36
VA90-202  900911    6.3  26.00  19.23    7.8     8    53    161  11.17
VA90-204  900821    5.8  26.77  15.95    7.6     9    27     13   8.49
VA90-206  900910    6.4  25.99   3.85    7.6    16    17     23  -0.30
VA90-208  900910    5.5  26.48   0.12    7.3    19     8      3  -3.20
VA90-210  900723    7.4  30.43   0.10    7.4    25    24      3  -4.35
VA90-215  900810    7.0  25.63   0.12    7.1    13    39      3  -2.96
VA90-217  900809    8.6  26.01   0.11    7.1    13    53      2  -3.07
VA90-219  900728    6.6  26.86   1.91    7.4    19     7      3  -1.98
VA90-223  900729    5.5  26.86   0.52    7.3    16     2      3  -3.00
VA90-227  900808    3.7  26.40   0.13    7.0    10    62      2  -3.17
VA90-231  900910    5.8  24.11   0.09    7.0    22    41      3  -2.60
VA90-250  900909    4.7  23.91  12.66    7.0     9    12      3   6.84
VA90-252  900826    9.0  23.80   2.28    7.8    30     6      3  -0.89
VA90-254  900725    5.3  27.89   1.19    7.3     7    10      3  -2.80
VA90-256  900810    7.4  26.00  18.23    8.1    23    39    297  10.43
VA90-258  900810    6.5  25.48  31.69    7.9     8    61      3  20.70
