Dataset:              Water Quality Surface Data
File Name:            va93_2_2.txt
Date Created:         02/23/96
# Variables:          11
# Header Records:     21
# Data Records:       110
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the surface
              TEMP         Temperature (C) at the surface
              SAL          Salinity (ppt) at the surface
              PH           pH (units) at the surface
              FLR          Fluorescence at the surface
              TRANS        Transmissivity (%) at the surface
              PAR          PAR (mE/m2/s) at the surface
              DENS         Density (Sigma t) at the surface
              SUSP         Total suspended solids conc. (mg/l)

STA_NAME   DATE       DO    TEMP    SAL     PH FLR TRANS   PAR  DENS    SUSP
VA93-657   930825    7.3   25.66  13.59    8.3  20    66   429  7.06    15.4
VA93-658   930826    8.3   26.94  13.03    8.3   9    67  1314  6.28     5.1
VA93-659   930821    6.2   23.66  30.91    8.0   2    59  1079 20.65    23.8
VA93-660   930822    6.4   24.19  28.84    7.9   5    65   255 18.93    57.4
VA93-661   930805    6.5   26.90  10.53    8.1   .    14  1221  4.43    10.0
VA93-663   930819    6.4   24.59  26.16    7.9   7    48   215 16.80    37.1
VA93-664   930819    6.8   26.13  22.93    8.1  16    44   136 13.92    16.7
VA93-666   930814    6.3   25.70  18.09    8.0   6    59  1250 10.42     6.7
VA93-667   930802    6.8   26.71   5.17    7.6   9    60  1127  0.48    10.4
VA93-668   930730    5.9   26.96  13.16    7.7   8    26   895  6.35    30.6
VA93-669   930822    8.8   25.82  29.79    8.1  22    46   200 19.16    21.1
VA93-670   930801    9.1   28.30   0.41    8.2  14    45   306 -3.54     7.3
VA93-671   930821    7.1   25.37  29.47    8.0  17    43   104 19.06    11.8
VA93-672   930801    9.7   26.69   0.15    9.4  24    13   113 -3.28    11.3
VA93-673   930729    5.8   27.19   2.57    7.6   7    16   161 -1.61    44.4
VA93-675   930728    4.9   27.08   0.20    7.3   6    64  1090 -3.35     8.1
VA93-676   930820     .    25.28  13.42    6.5  14    55   222  7.04    11.4
VA93-677   930726    7.2   27.29   0.12    7.6  17    61   250 -3.47     8.8
VA93-678   930727    6.9   26.93   0.12    7.6   8    67  1189 -3.38     4.9
VA93-681   930809    7.3   21.96  27.24    8.1  22    54   351 18.34     5.0
VA93-682   930808    4.2   24.56  24.56    7.7   6    10   107 15.60     6.0
VA93-683   930811    5.9   23.41  30.03    8.2   9    76   708 20.06     7.9
VA93-684   930807    3.9   24.71  21.04    7.6   7    52   260 12.92     6.5
VA93-685   930810    5.7   21.65  25.45    8.0  23    19   231 17.08    23.2
VA93-686   930901    4.9   24.63  26.75    7.9   9    77    67 17.23    31.8
VA93-687   930831    8.7   24.13  26.86    8.4  16    75   824 17.46     4.8
VA93-688   930831    6.0   23.33  27.44    8.2   6    86   227 18.12     4.0
VA93-689   930828    6.4   23.32  30.33    8.3   3    84   519 20.31     4.0
VA93-690   930827    7.4   24.25  29.82    8.4   2    85     . 19.66     2.9
VA93-693   930730    9.1   23.19  26.84    8.5   6    80   757 17.70     5.0
VA93-694   930726    6.2   24.41   9.63    7.8   6    50   225  4.44    12.1
VA93-695   930802    8.3   22.55  27.52    8.4   3    87   339 18.40     5.5
VA93-696   930802    7.9   23.63  27.69    8.5   1    90   491 18.22     3.0
VA93-697   930804    7.7   23.11  27.97    8.5   1    90  1065 18.58     2.8
VA93-698   930827    6.9   21.06  30.33    8.3   2    88   940 20.93     3.8
VA93-699   930917    7.2   18.13  31.04    8.4   3    87    27 22.21     8.3
VA93-700   930917    7.1   17.86  31.52    8.5   5    89    14 22.64     7.3
VA93-702   930826    7.2   23.95  27.72    8.3   8    71  1143 18.16    26.6
VA93-703   930825    5.9   22.89  28.46    8.2   9    43   303 19.01    22.7
VA93-704   930825    7.6   23.06  28.52    8.4   9    65  1452 19.01    15.1
VA93-705   930805    7.4   19.58  30.23    8.2   2    85  1304 21.24     3.0
VA93-706   930916    7.4   18.54  31.09    8.4   7    88     . 22.15     4.4
VA93-707   930917    7.3   18.44  31.92    8.5   3    91     . 22.81     8.1
VA93-709   930813    6.9   20.90  30.79    8.3   3     .   431 21.32     4.6
VA93-710   930726    5.6   25.48   3.55    7.6   3    47   999 -0.41    14.7
VA93-711   930819    7.3   20.47  31.46    8.4   4    82  1265 21.94     4.6
VA93-712   930814    6.6   23.52  31.17    8.4   3    30   376 20.88     3.4
VA93-713   930813    7.3   23.21  27.40    8.3   5    75  1313 17.96     6.2
VA93-714   930819    5.3   22.76  31.85    8.3   6    78   712 21.62     6.2
VA93-715   930914    7.1   19.46  31.63    8.3   3    85   239 22.33     7.6
VA93-716   930914    6.9   21.15  31.56    8.4   4    88    67 21.84    10.0
VA93-717   930915    5.4   20.96  31.55    8.4   6    72    96 21.88    17.5
VA93-718   930814    7.2   23.60  30.71    8.3   2    91  1538 20.52     3.5
VA93-719   930727    5.6   25.68   0.68    7.7   3    53   783 -2.61    10.7
VA93-720   930816    8.1   24.76  31.28    8.4   5    82  1663 20.60     2.7
VA93-721   930820    6.2   22.78  31.28    8.4   4    85   150 21.18     3.2
VA93-722   930821    4.8   23.42  27.85    8.1   7     .   538 18.41    10.9
VA93-723   930822    6.5   22.73  31.37    8.4   2    88   218 21.26     4.3
VA93-724   930822    7.6   18.53  31.36    8.4   3    87   529 22.36     4.1
VA93-725   930815    8.3   24.43  21.79    8.5  23    31   480 13.57    10.7
VA93-726   930728    6.5   24.79   0.12    7.7   5    50     . -2.81     6.5
VA93-727   930729    6.0   25.06   0.11    7.6   2    76   196 -2.89    10.1
