Dataset:              Water Quality Surface Data
File Name:            va93_2_2.txt
Date Created:         02/23/96
# Variables:          11
# Header Records:     21
# Data Records:       110
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the surface
              TEMP         Temperature (C) at the surface
              SAL          Salinity (ppt) at the surface
              PH           pH (units) at the surface
              FLR          Fluorescence at the surface
              TRANS        Transmissivity (%) at the surface
              PAR          PAR (mE/m2/s) at the surface
              DENS         Density (Sigma t) at the surface
              SUSP         Total suspended solids conc. (mg/l)

STA_NAME   DATE       DO    TEMP    SAL     PH FLR TRANS   PAR  DENS    SUSP
VA93-601   930918    6.7   24.02  26.05    8.4  16    57   199 16.87    22.3
VA93-602   930813    7.9   25.87  16.28    8.3   9    60   270  9.01     6.2
VA93-604   930726    7.3   24.54  27.82    8.2   4    85   733 18.06     4.7
VA93-606   930814    7.4   27.79   7.67    8.2   9    41   192  1.88    21.7
VA93-607   930827    7.4   27.29  21.74    8.4   6    72  1127 12.68    19.9
VA93-608   930904    8.1   26.96  23.29    8.6   8    77    68 13.93     4.7
VA93-609   930815    6.2   27.57   0.29    7.8  20    34   145 -3.43     9.6
VA93-610   930816    8.0   28.93   0.14    8.2  28    17   771 -3.93    53.4
VA93-611   930828    6.2   27.68  19.73    8.1   8    50  1019 11.06    12.7
VA93-612   930904    7.4   27.05  21.36    8.6   4    80   174 12.47     8.4
VA93-613   930817    7.1   28.15   0.12    7.8  10    58   375 -3.72     5.2
VA93-615   930904    6.7   27.00  19.56    8.5   6    72   381 11.14     5.0
VA93-616   930727    6.7   26.04  19.01    8.5   6    74    88 11.01     5.5
VA93-617   930822    6.5   26.56  17.27    8.5   5    59   891  9.56     4.7
VA93-618   930903    7.8   27.72  18.93    8.6   5    69    54 10.42     3.1
VA93-619   930728    6.7   26.53  17.51    8.4   8    68   309  9.74     6.8
VA93-620   930808    8.8   27.00  13.25    8.7   7    71   430  6.43     3.2
VA93-621   930820    7.7   27.89   6.12    8.0  20     7   202  0.84    44.1
VA93-622   930807    6.9   26.42  15.25    8.5   6    74   741  8.08     3.1
VA93-623   930808    7.0   25.59  16.20    8.4   8    71   996  9.04     5.7
VA93-624   930808    7.3   27.11  17.74    8.4  21    54   750  9.74    14.5
VA93-626   930903    7.1   27.34  16.42    8.5   5    70   156  8.68     4.0
VA93-627   930809    7.1   27.02  16.88    8.4  10    72  1250  9.12    17.7
VA93-628   930819    6.8   27.76   1.33    7.5  17    20    91 -2.70    23.6
VA93-630   930804    6.8   26.80  14.33    8.5   8    69   271  7.29     9.3
VA93-631   930809    8.0   25.33  14.49    8.5   5    61  1134  7.83    30.6
VA93-632   930820    6.7   27.81   0.15    7.4  22     9   163 -3.60    24.9
VA93-633   930901    8.0   28.50  16.09    8.4   4    57   519  8.09    21.2
VA93-634   930817    6.2   26.66  28.14    8.3  14    43   203 17.66    66.9
VA93-635   930823    6.9   28.06   0.05    7.4  22    11   286 -3.74    27.0
VA93-637   930811    7.6   26.30  11.92    8.7  13    60   265  5.63     3.6
VA93-638   930730    7.0   27.79  13.25    8.5   4    75   736  6.19    14.1
VA93-639   930821    9.0   28.39   0.05    7.8  21     .   208 -3.84    12.1
VA93-640   930810    7.0   25.52  11.49    8.1  13    42   685  5.53    15.1
VA93-641   930816    7.6   23.43  30.89    8.3   3    60   242 20.69    30.6
VA93-642   930810    8.4   27.17   8.78    8.2  18    25   904  3.04    37.6
VA93-643   930809    5.8   26.36   9.38    7.9  16    62   380  3.72     5.1
VA93-644   930902    8.6   27.72  14.88    8.6   7    73    43  7.43     3.7
VA93-645   930810    8.5   26.77   2.14    8.4  12    50   191 -1.81     6.4
VA93-647   930805    7.2   26.83  13.18    8.5   8    76   603  6.42     4.0
VA93-648   930805    4.4   27.70  11.82    7.7  13    49   557  5.15     7.3
VA93-649   930827    9.4   29.09  11.03    8.5   .    34   757  4.10    31.6
VA93-650   930829    6.2   27.11  14.31    8.0   6    74   660  7.18    17.4
VA93-651   930801    7.9   27.47   0.15    7.8  28    22  1061 -3.50    23.5
VA93-652   930828    6.4   29.23  10.91    8.3  12    40   346  4.01    21.9
VA93-653   930827    7.0   26.78  14.07    8.4   .    57   874  7.09    24.3
VA93-654   930815    6.3   25.98  29.66    8.2  20    44   901 19.02    15.9
VA93-655   930803    7.1   28.32   0.17    8.6   4    30  1036 -3.73     1.6
