Dataset:              Water Quality Bottom Data
File Name:            va_91_2_3.txt
Date Created:         02/23/96
# Variables:          10
# Header Records:     20
# Data Records:       101
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              DO           Dissolved oxygen conc. (mg/l) at the bottom
              TEMP         Temperature (C) at the bottom
              SAL          Salinity (ppt) at the bottom
              PH           pH (units) at the bottom
              FLR          Fluorescence at the bottom
              TRANS        Transmissivity (%) at the bottom
              PAR          PAR (mE/m2/s) at the bottom
              DENS         Density (Sigma t) at the bottom

STA_NAME    DATE     DO   TEMP    SAL     PH   FLR TRANS    PAR   DENS
VA91-398  910906    7.0  16.86  31.99    8.6     2    91      4  23.24
VA91-399  910906    6.8  16.20  32.16    8.5     2    88      5  23.52
VA91-402  910722    7.0  23.14  31.47    8.0     5    84    246  21.22
VA91-403  910821    5.9  23.47   0.08    7.5     6    52      7  -2.44
VA91-404  910722    6.8  26.22  32.31    8.1    15    74    130  20.94
VA91-405  910904    6.6  20.65  29.63    8.4     6    80    118  20.50
VA91-406  910729    6.8  19.85  31.56    8.2     2    90     37  22.18
VA91-407  910729    7.4  20.12  31.53    8.3     4    91     82  22.09
VA91-408  910730    7.0  22.57  31.62    8.2    10    85     29  21.50
VA91-409  910722    7.0  22.59  31.70     .      5    88     60  21.55
VA91-411  910828    6.4  26.07   0.46    7.9     7    19      4  -2.83
VA91-413  910809    7.1  21.11  31.47    8.3     3    80    308  21.78
VA91-414  910728    5.9  22.47  31.62    8.1     6    74      7  21.52
VA91-415  910730    6.7  23.85  31.80    8.2     3    91    262  21.27
VA91-416  910722    6.5  22.00  31.64    7.9    11    83     59  21.67
VA91-418  910811    4.7  23.50  29.78    7.9     4    75     20  19.84
VA91-421  910810    4.7  24.11  28.47    7.7     4    71      3  18.67
VA91-422  910829    8.0  24.58   0.12    8.4    21    48      4  -2.69
VA91-424  910829    9.7  25.21   0.12    8.6    19    67      5  -2.85
