Dataset:              Infauna Species List
File Name:            CP_BEN_S.txt
Date Created:         01OCT1999
# Variables:          6
# Header Records:     16
# Data Records:       884
Missing Value Symbol: .

Variables:    COD_EMAP     Carolinian Province Office Taxa Code
              PHYLUM       Phylum
              GROUP        General Taxonomic Group (Class, Order)
              FAMILY       Family
              GENUS        Genus
              SPECIES      Species

COD_EMAP;PHYLUM;GROUP;FAMILY;GENUS;SPECIES
DISPUNCI;ANNELIDA;POLYCHAETA;SPIONIDAE;DISPIO;UNCINATA
DONAVARI;MOLLUSCA;BIVALVIA;DONACIDAE;DONAX;VARIABILIS
DORIOBSC;MOLLUSCA;NUDIBRANCHIA;CORAMBIDAE;DORIDELLA;OBSCURA
DORVRUDO;ANNELIDA;POLYCHAETA;DORVILLEIDAE;DORVILLEA (SCHISTOMERINGOS);RUDOLPHI
DORVSOCI;ANNELIDA;POLYCHAETA;DORVILLEIDAE;DORVILLEA;SOCIALIS
DOSIDISC;MOLLUSCA;BIVALVIA;VENERIDAE;DOSINIA;DISCUS
DRILLONG;ANNELIDA;POLYCHAETA;ARABELLIDAE;DRILONEREIS;LONGA
DRILXXSP;ANNELIDA;POLYCHAETA;ARABELLIDAE;DRILONEREIS;SP
DULIAPPE;ARTHROPODA;AMPHIPODA;GAMMARIDAE;DULICHIELLA;APPENDICULATA
DYNAXXSP;ARTHROPODA;ISOPODA;SPHAEROMATIDAE;DYNAMENELLA;SP
DYSPSAYI;ARTHROPODA;DECAPODA;XANTHIDAE;DYSPANOPEUS;SAYI
EDOTMONT;ARTHROPODA;ISOPODA;IDOTEIDAE;EDOTEA;MONTOSA
EDOTTRIL;ARTHROPODA;ISOPODA;IDOTEIDAE;EDOTEA;TRILOBA
ELASLEVI;ARTHROPODA;AMPHIPODA;GAMMARIDAE;ELASMOPUS;LEVIS
EMPLXSP1;NEMERTEA;ENOPLA;EMPLECTONEMATIDAE;UNID.;SP1
ENDOXXSP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;ENDOCHIRONOMUS;SP.
ENOPSANG;ANNELIDA;POLYCHAETA;TEREBELLIDAE;ENOPLOBRANCHUS;SANGUINEUS
ENOPXXSP;ANNELIDA;POLYCHAETA;TEREBELLIDAE;ENOPLOBRANCHUS;SP
ENSIDIRE;MOLLUSCA;BIVALVIA;SOLENIDAE;ENSIS;DIRECTUS
EOBRSPIN;ARTHROPODA;AMPHIPODA;PHOXOCEPHALIDAE;EOBROLGUS;SPINOSUS
EPITRUPI;MOLLUSCA;GASTROPODA;EPITONIIDAE;EPITONIUM;RUPICOLUM
EPITXSP1;MOLLUSCA;GASTROPODA;EPITONIIDAE;EPITONIUM;SP1 (JUV)
EPOIFLAV;ARTHROPODA;DIPTERA;CHIRONOMIDAE;EPOICOCLADIUS;FLAVENS
EPOIXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;EPOICOCLADIUS;SPP
ERICATTE;ARTHROPODA;ISOPODA;IDOTEIDAE;ERICHSONELLA;ATTENUATA
ERICBRAS;ARTHROPODA;AMPHIPODA;ISCHYROCERIDAE;ERICHTHONIUS;BRASILIENSIS
ERICRUBR;ARTHROPODA;AMPHIPODA;ISCHYROCERIDAE;ERICHTHONIUS;RUBRICORNIS
ERICXSPP;ARTHROPODA;AMPHIPODA;ISCHYROCERIDAE;ERICHTHONIUS;SPP
ERYCXSP1;MOLLUSCA;BIVALVIA;LASAEIDAE;ERYCINA;SP1
ETEOHETE;ANNELIDA;POLYCHAETA;PHYLLODOCIDAE;ETEONE;HETEROPODA
EUBRXSP1;MOLLUSCA;GASTROPODA;EUBRANCHIDAE;EUBRANCHUS;SP1
EUCEPRAE;ARTHROPODA;DECAPODA;PORCELLANIDAE;EUCERAMUS;PRAELONGUS
EUDEHOND;ARTHROPODA;AMPHIPODA;PLATYISCHNOPIDAE;EUDEVENOPUS;HONDURANUS
EULIENGO;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;EULIMASTOMA;ENGONIUM
EULIXSP1;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;EULIMASTOMA;SP1
EUMISANG;ANNELIDA;POLYCHAETA;PHYLLODOCIDAE;EUMIDA;SANGUINEA
EUPLCAUD;MOLLUSCA;GASTROPODA;MURICIDAE;EUPLEURA;CAUDATA
EUPOXSPP;ANNELIDA;POLYCHAETA;TEREBELLIDAE;EUPOLYMNIA;SPP
EURYDEPR;ARTHROPODA;DECAPODA;XANTHIDAE;EURYPANOPEUS;DEPRESSUS
EURYXXSP;ANNELIDA;POLYCHAETA;AMPHINOMIDAE;EURYTHOE;SP.
EXOGBREV;ANNELIDA;POLYCHAETA;SYLLIDAE;EXOGONE;BREVIANTENNATA
EXOGDISP;ANNELIDA;POLYCHAETA;SYLLIDAE;EXOGONE;DISPAR
EXOGROLA;ANNELIDA;POLYCHAETA;SYLLIDAE;EXOGONE;ROLANI
FABRTRIL;ANNELIDA;POLYCHAETA;SABELLIDAE;FABRICINUDA;TRILOBATA
FABRXSP1;ANNELIDA;POLYCHAETA;SABELLIDAE;FABRICINAE (SUBFAM);SP1
FABRXSP2;ANNELIDA;POLYCHAETA;SABELLIDAE;FABRICINAE (SUBFAM);SP2
FABRXSP3;ANNELIDA;POLYCHAETA;SABELLIDAE;FABRICINAE (SUBFAM);SP3
FINEADAM;MOLLUSCA;GASTROPODA;OBTORTIONIDAE;FINELLA;ADAMSI
GALAOCUL;ANNELIDA;POLYCHAETA;OWENIIDAE;GALATHOWENIA;OCULATA
GAMMDAIB;ARTHROPODA;AMPHIPODA;GAMMARIDAE;GAMMARUS;DAIBERI
GAMMPALU;ARTHROPODA;AMPHIPODA;GAMMARIDAE;GAMMARUS;PALUSTRIS
GAMMTIGR;ARTHROPODA;AMPHIPODA;GAMMARIDAE;GAMMARUS;TIGRINUS
GAMMXSP1;ARTHROPODA;AMPHIPODA;GAMMARIDAE;GAMMARUS;SP1
GAMMXSPP;ARTHROPODA;AMPHIPODA;GAMMARIDAE;GAMMARUS;SPP
GEMMGEMM;MOLLUSCA;BIVALVIA;VENERIDAE;GEMMA;GEMMA
GEUKDEMI;MOLLUSCA;BIVALVIA;MYTILUDAE;GEUKENSIA;DEMISSA
GITALAGU;ARTHROPODA;AMPHIPODA;AMPHILOCHIDAE;GITANOPSIS;CF LAGUNA
GITATORT;ARTHROPODA;AMPHIPODA;AMPHILOCHIDAE;GITANOPSIS;NR. TORTUGAE
GITAXSPP;ARTHROPODA;AMPHIPODA;AMPHILOCHIDAE;GITANOPSIS;SPP
GITAXXSP;ARTHROPODA;AMPHIPODA;AMPHILOCHIDAE;GITANOPSIS;SP
GLOBSMIT;ARTHROPODA;AMPHIPODA;COROPHIIDAE;GLOBOSOLEMBOS;SMITHI
GLOTPYRA;BRACHIOPODA;INARTICULATA;LINGULIDAE;GLOTTIDIA;PYRAMIDATA
GLYCABRA;ANNELIDA;POLYCHAETA;GLYCERIDAE;GLYCERA;ABRANCHIATA
GLYCAMER;ANNELIDA;POLYCHAETA;GLYCERIDAE;GLYCERA;AMERICANA
GLYCDIBR;ANNELIDA;POLYCHAETA;GLYCERIDAE;GLYCERA;DIBRANCHIATA
GLYCNORD;ANNELIDA;POLYCHAETA;GONIADIDAE;GLYCINDE;NORDMANNI
GLYCSOLI;ANNELIDA;POLYCHAETA;GONIADIDAE;GLYCINDE;SOLITARIA
GLYCXSPP;ANNELIDA;POLYCHAETA;GLYCERIDAE;GLYCERA;SPP
GLYCXXSP;ANNELIDA;POLYCHAETA;GONIADIDAE;GLYCINDE;SP
GLYPXXSP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;GLYPTOTENDIPES;SP.
GONICARO;ANNELIDA;POLYCHAETA;GONIADIDAE;GONIADIDES;CAROLINAE
GONILITT;ANNELIDA;POLYCHAETA;GONIADIDAE;GONIADA;LITTOREA
GONIMACU;ANNELIDA;POLYCHAETA;GONIADIDAE;GONIADA;MACULATA
GONIXXSP;ANNELIDA;POLYCHAETA;GONIADIDAE;GONIADA;SP
GRANBONN;ARTHROPODA;AMPHIPODA;COROPHIIDAE;GRANDIDIERELLA;BONNIEROIDES
GRANOVUL;MOLLUSCA;GASTROPODA;CYSTISCIDAE;GRANULINA;OVULIFORMIS
GRUBCLAV;ANNELIDA;POLYCHAETA;SYLLIDAE;GRUBEOSYLLIS;CLAVATA
GYPTCRYP;ANNELIDA;POLYCHAETA;HESIONIDAE;GYPTIS;CRYPTA
HABESPEC;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;HABER;SPECIOSUS
HALMBAHA;ARTHROPODA;TANAIDACEA;APSEUDIDAE;HALMYRAPSEUDES;BAHAMENSIS
HAMIELEG;MOLLUSCA;GASTROPODA;HAMINOEIDAE;HAMINOEA;ELEGANS
HAMISOLI;MOLLUSCA;GASTROPODA;HAMINOEIDAE;HAMINOEA;SOLITARIA
HAMISUCC;MOLLUSCA;GASTROPODA;HAMINOEIDAE;HAMINOEA;SUCCINEA
HAMIXSPP;MOLLUSCA;GASTROPODA;HAMINOEIDAE;HAMINOEA;SPP
HAPLXXSP;ANNELIDA;POLYCHAETA;SYLLIDAE;HAPLOSYLLIS;SP
HARGRAPA;ARTHROPODA;TANAIDACEA;LEPTOCHELIIDAE;HARGERIA;RAPAX
HARMACUL;ANNELIDA;POLYCHAETA;POLYNOIDAE;HARMOTHOE;ACULEATA
HARMEXTE;ANNELIDA;POLYCHAETA;POLYNOIDAE;HARMOTHOE;EXTENUATA
HARNXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;HARNISCHIA;SPP
HARNXXSP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;HARNISCHIA;SP.
HARRFAXO;ARTHROPODA;ISOPODA;SPHAEROMATIDAE;HARRIETA;FAXONI
HEMIELON;ECHINODERMATA;OPHIUROIDEA;OPHIACTIDAE;HEMIPHOLIS;ELONGATA
HEMIROSE;ANNELIDA;POLYCHAETA;GLYCERIDAE;HEMIPODUS;ROSEUS
HENRMORR;MOLLUSCA;GASTROPODA;EBALIDAE;HENRYA;MORRISONI
HESIELON;ANNELIDA;POLYCHAETA;PHYLLODOCIDAE;HESIONURA;ELONGATA
HETEFILI;ANNELIDA;POLYCHAETA;CAPITELLIDAE;HETEROMASTUS;FILIFORMIS
HETEXXSP;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;HETERODRILUS;SP
HEXAANGU;ARTHROPODA;DECAPODA;XANTHIDAE;HEXAPANOPEUS;ANGUSTIFRONS
HEXABILI;ARTHROPODA;EPHEMEROPTERA;EPHEMERIDAE;HEXAGENIA;BILINEATA
HEXALIMB;ARTHROPODA;EPHEMEROPTERA;EPHEMERIDAE;HEXAGENIA;LIMBATA
HEXAXSPP;ARTHROPODA;EPHEMEROPTERA;EPHEMERIDAE;HEXAGENIA;SPP
HIATARCT;MOLLUSCA;BIVALVIA;HIATELLIDAE;HIATELLA;ARCTICA
HIPPPLEU;ARTHROPODA;DECAPODA;HIPPOLYTIDAE;HIPPOLYTE;PLEURACANTHUS
HOBSFLOR;ANNELIDA;POLYCHAETA;AMPHARETIDAE;HOBSONIA;FLORIDA
HOLOXSP1;ECHINODERMATA;HOLOTHUROIDEA;UNID.;UNID.;SP1
HOLOXSP2;ECHINODERMATA;HOLOTHUROIDEA;UNID.;UNID.;SP2
HOLOXSP3;ECHINODERMATA;HOLOTHUROIDEA;UNID.;UNID.;SP3
HYDRDIAN;ANNELIDA;POLYCHAETA;SERPULIDAE;HYDROIDES;DIANTHUS
HYDRMICR;ANNELIDA;POLYCHAETA;SERPULIDAE;HYDROIDES;MICROTIS
HYPEHETE;ANNELIDA;POLYCHAETA;PHYLLODOCIDAE;HYPERETEONE;HETEROPODA
HYPELACT;ANNELIDA;POLYCHAETA;PHYLLODOCIDAE;HYPERETEONE;LACTEA
HYPEXSPP;ANNELIDA;POLYCHAETA;PHYLLODOCIDAE;HYPERETEONE;SPP
ILYAOBSO;MOLLUSCA;GASTROPODA;NASSARIIDAE;ILYANASSA;OBSOLETA
ISOCFREY;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;ISOCHAETIDES;FREYI
ISOCHETE;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;ISOCHAETIDES;HETEROCHAETUS
JASPJASP;MOLLUSCA;GASTROPODA;OLIVIDAE;JASPIDELLA;JASPIDEA
KALLXSP1;ARTHROPODA;TANAIDACEA;KALLIAPSEUDIDAE;KALLIAPSEUDES;SP1
KINBFRAG;ANNELIDA;POLYCHAETA;ONUPHIDAE;KINBERGONUPHIS;FRAGILIS
KINBSIMO;ANNELIDA;POLYCHAETA;ONUPHIDAE;KINBERGONUPHIS;SIMONI
KINBXXSP;ANNELIDA;POLYCHAETA;ONUPHIDAE;KINBERGONUPHIS;SP.
KUPEXSP1;ARTHROPODA;ISOPODA;HYSSURIDAE;KUPELLONURA;SP1
KURTATRO;MOLLUSCA;GASTROPODA;TURRIDAE;KURTZIELLA;ATROSTYLA
LAEOCULV;ANNELIDA;POLYCHAETA;NEREIDAE;LAEONEREIS;CULVERI
LAEVMORT;MOLLUSCA;BIVALVIA;CARDIIDAE;LAEVICARDIUM;MORTONI
LAONXSP1;ANNELIDA;POLYCHAETA;SABELLIDAE;LAONOME;SP1
LARSDECO;ARTHROPODA;DIPTERA;CHIRONOMIDAE;LARSIA;DECOLORATA
LEITACUT;ANNELIDA;POLYCHAETA;ORBINIIDAE;LEITOSCOLOPLOS;ACUTUS
LEITFOLI;ANNELIDA;POLYCHAETA;ORBINIIDAE;LEITOSCOLOPLOS;FOLIOSUS
LEITFRAG;ANNELIDA;POLYCHAETA;ORBINIIDAE;LEITOSCOLOPLOS;FRAGILIS
LEITROBU;ANNELIDA;POLYCHAETA;ORBINIIDAE;LEITOSCOLOPLOS;ROBUSTUS
LEITXSPP;ANNELIDA;POLYCHAETA;ORBINIIDAE;LEITOSCOLOPLOS;SPP
LEPICOMM;ANNELIDA;POLYCHAETA;POLYNOIDAE;LEPIDAMETRIA;COMMENSALIS
LEPIDYTI;ARTHROPODA;AMPHIPODA;HAUSTORIIDAE;LEPIDACTYLUS;DYTISCUS
LEPISUBL;ANNELIDA;POLYCHAETA;POLYNOIDAE;LEPIDONOTUS;SUBLEVIS
LEPT1SPP;ARTHROPODA;AMPHIPODA;AORIDAE;LEPTOCHEIRUS;SPP
LEPTCRAS;ECHINODERMATA;HOLOTHUROIDEA;SYNAPTIDAE;LEPTOSYNAPTA;CRASSIPATINA
LEPTINHA;ECHINODERMATA;HOLOTHUROIDEA;SYNAPTIDAE;LEPTOSYNAPTA;INHAERENS
LEPTPLUM;ARTHROPODA;AMPHIPODA;AORIDAE;LEPTOCHEIRUS;PLUMULOSUS
LEPTSERR;ARTHROPODA;DECAPODA;PASIPHAEIDAE;LEPTOCHELA;SERRATORBITA
LEPTTENU;ECHINODERMATA;HOLOTHUROIDEA;SYNAPTIDAE;LEPTOSYNAPTA;TENUIS
LEPTVIRG;CNIDARIA;ANTHOZOA;GORGONIIDAE;LEPTOGORGIA;VIRGULATA
LEPTXSPP;ARTHROPODA;TANAIDACEA;LEPTOCHELIIDAE;LEPTOCHELIA;SPP
LEUCAMER;ARTHROPODA;CUMACEA;LEUCONIDAE;LEUCON;AMERICANUS
LIBIEMAR;ARTHROPODA;DECAPODA;MAJIDAE;LIBINIA;EMARGINATA
LIMNBARN;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;LIMNODRILOIDES;BARNARDI
LIMNHOFF;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;LIMNODRILUS;HOFFMEISTERI
LIMNPROF;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;LIMNODRILUS;PROFUNDICOLA
LIMNRUBI;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;LIMNODRILOIDES;RUBICUNDIS
LINEXSP6;NEMERTEA;ANOPLA;LINEIDAE;UNID.;SP6
LINEXSP7;NEMERTEA;ANOPLA;LINEIDAE;UNID.;SP7
LINOXSP1;ANNELIDA;POLYCHAETA;AMPHINOMIDAE;LINOPHERUS;SP1
LINOXSP2;ANNELIDA;POLYCHAETA;AMPHINOMIDAE;LINOPHERUS;SP2
LIOBCAST;MOLLUSCA;BIVALVIA;MYTILIDAE;LIOBERUS;CASTANEUS
LISTBARN;ARTHROPODA;AMPHIPODA;LILJEBORGIIDAE;LISTRIELLA;BARNARDI
LISTCLYM;ARTHROPODA;AMPHIPODA;LILJEBORGIIDAE;LISTRIELLA;CLYMENELLAE
LITTMONR;MOLLUSCA;GASTROPODA;HYDROBIIDAE;LITTORIDINOPS;MONROENSIS
LOIMMEDU;ANNELIDA;POLYCHAETA;TEREBELLIDAE;LOIMIA;MEDUSA
LOIMVIRI;ANNELIDA;POLYCHAETA;TEREBELLIDAE;LOIMIA;VIRIDIS
LONGCREN;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;LONGCHAEUS;CRENULATUS
LUCIMULT;MOLLUSCA;BIVALVIA;LUCINIDAE;LUCINA;MULTILINEATA
LUCIPECT;MOLLUSCA;BIVALVIA;LUCINIDAE;LUCINA;PECTINATA
LYONHYAL;MOLLUSCA;BIVALVIA;LYONSIIDAE;LYONSIA;HYALINA
LYSIALBA;ARTHROPODA;AMPHIPODA;LYSIANASSIDAE;LYSIANOPSIS;ALBA
LYSIXSP1;ANNELIDA;POLYCHAETA;TEREBELLIDAE;LYSILLA;SP1
LYSIXXSP;ANNELIDA;POLYCHAETA;TEREBELLIDAE;LYSILLA;SP
MACOBALT;MOLLUSCA;BIVALVIA;TELLINIDAE;MACOMA;BALTHICA
MACOMITC;MOLLUSCA;BIVALVIA;TELLINIDAE;MACOMA;MITCHELLI
MACOTENT;MOLLUSCA;BIVALVIA;TELLINIDAE;MACOMA;TENTA
MACOXSPP;MOLLUSCA;BIVALVIA;TELLINIDAE;MACOMA;SPP
MACRZONA;ANNELIDA;POLYCHAETA;MALDANIDAE;MACROCLYMENE;ZONALIS
MAERCARO;ARTHROPODA;AMPHIPODA;GAMMARIDAE;MAERA;CAROLINIANUM
MAERXXSP;ARTHROPODA;AMPHIPODA;GAMMARIDAE;MAERA;SP (JUV)
MAGEANNU;ANNELIDA;POLYCHAETA;MAGELONIDAE;MAGELONA;ANNULATA
MAGEPHYL;ANNELIDA;POLYCHAETA;MAGELONIDAE;MAGELONA;PHYLLISAE
MAGERIOJ;ANNELIDA;POLYCHAETA;MAGELONIDAE;MAGELONA;RIOJAI
MAGEXSP1;ANNELIDA;POLYCHAETA;MAGELONIDAE;MAGELONA;SP1
MAGEXSPG;ANNELIDA;POLYCHAETA;MAGELONIDAE;MAGELONA;SP. G
MAGEXSPP;ANNELIDA;POLYCHAETA;MAGELONIDAE;MAGELONA;SPP
MAGEXXSP;ANNELIDA;POLYCHAETA;MAGELONIDAE;MAGELONA;SP.
MALMMACC;ANNELIDA;POLYCHAETA;POLYNOIDAE;MALMGRENIELLA;MACCRARYAE
MALMTAYL;ANNELIDA;POLYCHAETA;POLYNOIDAE;MALMGRENIELLA;TAYLORI
MALMXXSP;ANNELIDA;POLYCHAETA;POLYNOIDAE;MALMGRENIELLA;SP
MANAAEST;ANNELIDA;POLYCHAETA;SABELLIDAE;MANAYUNKIA;AESTUARINA
MANCXXSP;ARTHROPODA;CUMACEA;BODOTRIIDAE;MANCOCUMA;SP
MAREVIRI;ANNELIDA;POLYCHAETA;SPIONIDAE;MARENZELLERIA;VIRIDIS
MARPSANG;ANNELIDA;POLYCHAETA;EUNICIDAE;MARPHYSA;SANGUINEA
MARPXXSP;ANNELIDA;POLYCHAETA;EUNICIDAE;MARPHYSA;SP.
MEDIAMBI;ANNELIDA;POLYCHAETA;CAPITELLIDAE;MEDIOMASTUS;AMBISETA
MEDICALI;ANNELIDA;POLYCHAETA;CAPITELLIDAE;MEDIOMASTUS;CALIFORNIENSIS
MEDIXSPP;ANNELIDA;POLYCHAETA;CAPITELLIDAE;MEDIOMASTUS;SPP
MELIMACU;ANNELIDA;POLYCHAETA;AMPHARETIDAE;MELINNA;MACULATA
MELINITI;ARTHROPODA;AMPHIPODA;MELITIDAE;MELITA;NITIDA
MELIXXSP;ARTHROPODA;AMPHIPODA;MELITIDAE;MELITA;SP
MELOBICO;MOLLUSCA;GASTROPODA;MELONGENIDAE;MELONGENA;BICOLOR
MEMBARBO;ECTOPROCTA;CHEILOSTOMATA;MEMBRANIPORIDAE;MEMBRANIPORA;ARBORESCENS
MEMBTUBE;ECTOPROCTA;CHEILOSTOMATA;MEMBRANIPORIDAE;MEMBRANIPORA;TUBERCULATA
MERCMERC;MOLLUSCA;BIVALVIA;VENERIDAE;MERCENARIA;MERCENARIA
MERCXXSP;MOLLUSCA;BIVALVIA;VENERIDAE;MERCENARIA;SP (JUV)
MESAXSP1;ARTHROPODA;ISOPODA;ANTHURIDAE;MESANTHURA;SP1
MESOTAYL;ANNELIDA;POLYCHAETA;CHAETOPTERIDAE;MESOCHAETOPTERUS;TAYLORI
MESOXSPP;ANNELIDA;POLYCHAETA;CHAETOPTERIDAE;MESOCHAETOPTERUS;SPP
MICRATRA;ECHINODERMATA;OPHIUROIDEA;AMPHIURIDAE;MICROPHIOPHOLIS;ATRA
MICRFRAG;ANNELIDA;POLYCHAETA;HESIONIDAE;MICROPHTHALMUS;FRAGILIS
MICRGRAC;ECHINODERMATA;OPHIUROIDEA;AMPHIURIDAE;MICROPHIOPHOLIS;GRACILLIMA
MICRHEMP;MOLLUSCA;GASTROPODA;EULIMIDAE;MICROEULIMA;HEMPHILLI
MICRRANE;ARTHROPODA;AMPHIPODA;ISAEIDAE;MICROPROTOPUS;RANEYI
MICRXSPP;ANNELIDA;POLYCHAETA;HESIONIDAE;MICROPHTHALMUS;SPP
MICRXXSP;ECTOPROCTA;CHEILOSTOMATA;MICROPORELLIDAE;MICROPORELLA;SP
MODISQUA;MOLLUSCA;BIVALVIA;MYTILIDAE;MODIOLUS;MODIOLUS SQUAMOSUS
MODIXXSP;MOLLUSCA;BIVALVIA;MYTILIDAE;MODIOLUS;SP
MOLGMANH;CHORDATA;ASCIDIACEA;MOLGULIDAE;MOLGULA;MANHATTENSIS
MOLGOCCI;CHORDATA;ASCIDIACEA;MOLGULIDAE;MOLGULA;OCCIDENTALIS
MONOEDWA;ARTHROPODA;AMPHIPODA;OEDICEROTIDAE;MONOCULODES;EDWARDSI
MONORUBR;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;MONOPYLEPHORUS;RUBRONIVEUS
MONOTUBE;ARTHROPODA;AMPHIPODA;COROPHIIDAE;MONOCOROPHIUM;TUBERCULATUM
MONOXSP1;ARTHROPODA;AMPHIPODA;OEDICEROTIDAE;MONOCULODES;SP1
MONOXSPP;ARTHROPODA;AMPHIPODA;OEDICEROTIDAE;MONOCULODES;SPP
MONOXXSP;ANNELIDA;OLIGOCHAETA;TUBIFICIDAE;MONOPYLEPHORUS;SP.
MONTDORS;ANNELIDA;POLYCHAETA;CIRRATULIDAE;MONTICELLINA;DORSOBRANCHIALIS
MONTXSPP;ANNELIDA;POLYCHAETA;CIRRATULIDAE;MONTICELLINA;SPP
MOORPALL;ANNELIDA;POLYCHAETA;ONUPHIDAE;MOOREONUPHIS;PALLIDULA
MOORXSP1;ANNELIDA;POLYCHAETA;ONUPHIDAE;MOOREONUPHIS;SP1
MULILATE;MOLLUSCA;BIVALVIA;MACTRIDAE;MULINIA;LATERALIS
MUSCLATE;MOLLUSCA;BIVALVIA;MYTILIDAE;MUSCULUS;LATERALIS
MYSIALMY;ARTHROPODA;MYSIDACEA;MYSIDAE;MYSIDOPSIS;ALMYRA
MYSIBIGE;ARTHROPODA;MYSIDACEA;MYSIDAE;MYSIDOPSIS;BIGELOWI
MYSIFURC;ARTHROPODA;MYSIDACEA;MYSIDAE;MYSIDOPSIS;FURCA
MYSIXSPP;ARTHROPODA;MYSIDACEA;MYSIDAE;MYSIDOPSIS;SPP
MYTILEUC;MOLLUSCA;BIVALVIA;DREISSENIDAE;MYTILOPSIS;LEUCOPHAEATA
NAISXXSP;ANNELIDA;OLIGOCHAETA;NAIDIDAE;NAIS;SP
NANOXXSP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;NANOCLADIUS;SP
NASSACUT;MOLLUSCA;GASTROPODA;NASSARIIDAE;NASSARIUS;ACUTUS
NASSTRIV;MOLLUSCA;GASTROPODA;NASSARIIDAE;NASSARIUS;TRIVITTATUS
NASSVIBE;MOLLUSCA;GASTROPODA;NASSARIIDAE;NASSARIUS;VIBEX
NATIPUSI;MOLLUSCA;GASTROPODA;NACTICIDAE;NATICA;PUSILLA
NEANAREN;ANNELIDA;POLYCHAETA;NEREIDAE;NEANTHES;ARENACEODENTATA
NEANMICR;ANNELIDA;POLYCHAETA;NEREIDAE;NEANTHES;MICROMMA
NEANSUCC;ANNELIDA;POLYCHAETA;NEREIDAE;NEANTHES;SUCCINEA
NEANXSPP;ANNELIDA;POLYCHAETA;NEREIDAE;NEANTHES;SPP
NEOMAMER;ARTHROPODA;MYSIDACEA;MYSIDAE;NEOMYSIS;AMERICANA
NEPHBUCE;ANNELIDA;POLYCHAETA;NEPHTYIDAE;NEPHTYS;BUCERA
NEPHPICT;ANNELIDA;POLYCHAETA;NEPHTYIDAE;NEPHTYS;PICTA
NERECAST;ANNELIDA;POLYCHAETA;PHYLLODOCIDAE;NEREIPHYLLA;CASTANEA
NEREFRAG;ANNELIDA;POLYCHAETA;PHYLLODOCIDAE;NEREIPHYLLA;FRAGILIS
NERELAME;ANNELIDA;POLYCHAETA;NEREIDAE;NEREIS;LAMELLOSA
NERERIIS;ANNELIDA;POLYCHAETA;NEREIDAE;NEREIS;RIISEI
NERERISS;ANNELIDA;POLYCHAETA;NEREIDAE;NEREIS;RIISEI
NEREXSPP;ANNELIDA;POLYCHAETA;NEREIDAE;NEREIS;SPP
NILOXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;NILOTHAUMA;SPP
NIMBXSPP;ARTHROPODA;DIPTERA;CHIRONOMIDAE;NIMBOCERA;SPP
NOETPOND;MOLLUSCA;BIVALVIA;ARCIDAE;NOETIA;PONDEROSA
NOLESTIP;ECTOPROCTA;CTENOSTOMATA;NOLELLIDAE;NOLELLA;STIPATA
NOTOHEMI;ANNELIDA;POLYCHAETA;CAPITELLIDAE;NOTOMASTUS;HEMIPODUS
NOTOLATE;ANNELIDA;POLYCHAETA;CAPITELLIDAE;NOTOMASTUS;LATERICEUS
NOTOLOBA;ANNELIDA;POLYCHAETA;CAPITELLIDAE;NOTOMASTUS;LOBATUS
NOTOSPIN;ANNELIDA;POLYCHAETA;ARABELLIDAE;NOTOCIRRUS;SPINIFERUS
NOTOXSPP;ANNELIDA;POLYCHAETA;CAPITELLIDAE;NOTOMASTUS;SPP
NUCUPROX;MOLLUSCA;BIVALVIA;NUCULIDAE;NUCULA;PROXIMA
NUCUXSPP;MOLLUSCA;BIVALVIA;NUCULIDAE;NUCULA;SPP
ODONENOP;ANNELIDA;POLYCHAETA;SYLLIDAE;ODONTOSYLLIS;ENOPLA
ODONXSPP;ANNELIDA;POLYCHAETA;SYLLIDAE;ODONTOSYLLIS;SPP
ODOSENGO;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;ODOSTOMIA;ENGONIA
ODOSLAEV;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;ODOSTOMIA;LAEVIGATA
ODOSWEBE;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;ODOSTOMIA;WEBERI
ODOSXSP1;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;ODOSTOMIA;SP1
ODOSXSP2;MOLLUSCA;GASTROPODA;PYRAMIDELLIDAE;ODOSTOMIA;SP2
