Dataset:              Fish Taxonomy Information
File Name:            fish_tax.dat
Date Created:         06/08/10
# Variables:          3
# Header Records:     14
# Data Records:       211
Delimiter:            ,
Missing Value Symbol: .

Variables:    FCOMNAME      	Common Name                 
              FSCINAME           	Scientific (Latin) Name     
              TSN      		ITIS Taxonomic Serial Number

fcomname,FSCINAME,TSN,
NEEDLEFISH,BELONIDAE,165546,
NINESPINE STICKLEBACK,PUNGITIUS PUNGITIUS,166387,
NORTH ATLANTIC PUFFER,SPHOEROIDES MACULATUS,173290,
NORTHERN KINGFISH,MENTICIRRHUS SAXATILIS,169276,
NORTHERN PIPEFISH,SYNGNATHUS FUSCUS,166451,
NORTHERN PUFFER,SPHOEROIDES MACULATUS,173290,
NORTHERN SEAROBIN,PRIONOTUS CAROLINUS,166974,
NORTHERN SENNET,SPHYRAENA BOREALIS,170427,
NORTHERN STARGAZER,ASTROSCOPUS GUTTATUS,171055,
OCEAN EEL,ANGUILLIFORMES  ,161123,
OCEAN POUT,MACROZOARCES AMERICANUS,165318,
OYSTER TOADFISH,OPSANUS TAU,164423,
PERCH,PERCIFORMES,170315,
PERMIT,TRACHINOTUS FALCATUS,168709,
PIGFISH,ORTHOPRISTIS CHRYSOPTERA,169077,
PINFISH,LAGODON RHOMBOIDES,169187,
PIPEFISH,SYNGNATHIDAE,166443,
PLANEHEAD FILEFISH,MONACANTHUS HISPIDUS,173182,
POLLOCK,POLLACHIUS VIRENS,164727,
PORGY,SPARIDAE,169180,
PUFFER,TETRAODONTIFORMES,173112,
PUMPKINSEED,LEPOMIS GIBBOSUS,168144,
RAINBOW SMELT,OSMERUS MORDAX,162041,
RED DRUM,SCIAENOPS OCELLATUS,169290,
RED HAKE,UROPHYCIS CHUSS,164730,
RIBBONFISH,TRACHIPTERUS ARCTICUS,166342,
RIVER BLACKFISH,GADOPSIS MARMORATUS,170221,
ROCK GUNNEL,PHOLIS GUNNELLUS,171645,
ROCKLING,PHYCINAE,555704,
ROUGH SCAD,TRACHURUS LATHAMI,168587,
ROUGHTAIL STINGRAY,DASYATIS CENTROURA,160952,
ROUND SCAD,DECAPTERUS PUNCTATUS,168725,
SAND SHARK,ODONTASPIDIDAE,159875,
SCULPIN,COTTIDAE,167196,
SCUP,STENOTOMUS CHRYSOPS,169182,
SEA BASS,SERRANIDAE,167674,
SEA RAVEN,HEMITRIPTERUS AMERICANUS,167289,
SEA TROUT,CYNOSCION,169238,
SEABOARD GOBY,GOBIOSOMA GINSBURGI,171790,
SEAROBIN,TRIGLIDAE  ,166972,
SHAD,ALOSINAE,551155,
SHEEPSHEAD,ARCHOSARGUS PROBATOCE,169189,
SHEEPSHEAD,ARCHOSARGUS PROBATOCE,169189,
SHEEPSHEAD MINNOW,CYPRINODON VARIEGATUS,165631,
SHINER,NOTROPIS,163399,
SHORT BIGEYE,PRISTIGENYS ALTA,168190,
SHORTFIN PIPEFISH,COSMOCAMPUS ELUCENS,166605,
SHORTFIN SQUID,ILLEX ILLECEBROSUS,82521,
SHORTNOSE STURGEON,ACIPENSER BREVIROSTRUM,161069,
SILVER HAKE,MERLUCCIUS BILINEARIS,164791,
SILVER PERCH,BAIRDIELLA CHRYSOURA,169259,
SKATE,RAJIDAE,160845,
SLIMY SCULPIN,COTTUS COGNATUS,167232,
SMALLMOUTH BASS,MICROPTERUS DOLOMIEU,550562,
SMALLMOUTH FLOUNDER,ETROPUS MICROSTOMUS,172730,
SMELT,OSMERIDAE,162028,
SMOOTH DOGFISH,MUSTELUS CANIS,160230,
SMOOTH FLOUNDER,PLEURONECTES PUTNAMI,172914,
SNAKE BLENNY,LUMPENUS LUMPRETAEFORMIS,171588,
SOUTHERN EAGLE RAY,MYLIOBATIS GOODEI,160982,
SOUTHERN FLOUNDER,PARALICHTHYS LETHOSTIGMA,172738,
SOUTHERN KINGFISH,MENTICIRRHUS AMERICANUS,169274,
SOUTHERN STINGRAY,DASYATIS AMERICANA,160951,
SPADEFISH,CHAETODIPTERUS FABER,169539,
SPANISH MACKEREL,SCOMBEROMORUS MACULATUS,172436,
SPANISH SARDINE,SARDINELLA AURITA,161763,
SPINY DOGFISH,SQUALUS ACANTHIAS,160617,
SPOT,LEIOSTOMUS XANTHURUS,169267,
SPOTFIN BUTTERFLYFISH,CHAETODON OCELLATUS,169556,
SPOTTAIL SHINER,NOTROPIS HUDSONIUS,163404,
SPOTTED BURRFISH,CHILOMYCTERUS ATINGA,173387,
SPOTTED HAKE,UROPHYCIS REGIA,164731,
SPOTTED SEATROUT,CYNOSCION NEBULOSUS,169239,
SQUID,CEPHALOPODA,82326,
STARGAZER,URANOSCOPIDAE,171053,
STICKLEBACK,GASTEROSTEIDAE,166363,
STING RAY,MYLIOBATIFORMES  ,649685,
STRIPED ANCHOVY,ANCHOA HEPSETUS,161838,
STRIPED BASS,MORONE SAXATILIS,167680,
STRIPED BLENNY,CHASMODES BOSQUIANUS,171164,
STRIPED BURRFISH,CHILOMYCTERUS SCHOEPFI,173384,
STRIPED CUSK-EEL,OPHIDION MARGINATUM,164852,
STRIPED PIPEFISH,DORYRHAMPHUS MELANOPLEURA,166541,
STRIPED SEAROBIN,PRIONOTUS EVOLANS,166975,
SUMMER FLOUNDER,PARALICHTHYS DENTATUS,172735,
SUNFISH,CENTRARCHIDAE,168093,
SWAMP DARTER,ETHEOSTOMA FUSIFORME,168358,
TAUTOG,TAUTOGA ONITIS,170479,
TESSELLATED DARTER,ETHEOSTOMA OLMSTEDI,168360,
THORNY SKATE,AMBLYRAJA RADIATA,564149,
THREESPINE STICKLEBACK,GASTEROSTEUS ACULEATUS,166365,
TORPEDO RAY,TORPEDINIDAE,160829,
TROUT,SALMONIDAE,161931,
UNKNOWN, ,.,
WEAKFISH,CYNOSCION REGALIS,169241,
WHITE CATFISH,AMEIURUS CATUS,164037,
WHITE HAKE,UROPHYCIS TENUIS,164732,
WHITE PERCH,MORONE AMERICANA,167678,
WHITE SUCKER,CATOSTOMUS COMMERSONI,163895,
WINDOWPANE,SCOPHTHALMUS AQUOSUS,172746,
WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS,172905,
WINTER SKATE,RAJA OCELLATA,160858,
YELLOW BULLHEAD,AMEIURUS NATALIS,164041,
YELLOW CATFISH,SILURIFORMES,163992,
YELLOW JACK,CARANX BARTHOLOMAEI,168606,
YELLOW PERCH,PERCA FLAVESCENS,168469,
YELLOWTAIL FLOUNDER,PLEURONECTES FERRUGINEUS,172908,
