Dataset:              Fish Counts by Species
File Name:            FISH_CNT.dat
Date Created:         06/08/10
# Variables:          7
# Header Records:     18
# Data Records:       6341
Delimiter:            ,
Missing Value Symbol: .

Variables:    STATION       Station Name                          
              STAT_ALT      Alternate Site Sampled (A B or C)  
              EVNTDATE      Event Date                          
              FTRAWLID      Fish Trawl Descriptive Data              
              FCOMNAME      Fish Taxa Common Name              
              CLASS         Fish Size Classification          
              F_COUNT       Number of this Fish Taxa caught  

STATION,STAT_ALT,EVNTDATE,FCOMNAME,F_CLASS,F_COUNT,ftrawlid,
CT00-0061,A,09/19/00,LITTLE SKATE, ,4, ,
CT00-0061,A,09/19/00,MOONFISH, ,3, ,
CT00-0061,A,09/19/00,NORTHERN SEAROBIN, ,2, ,
CT00-0061,A,09/19/00,SCUP, ,909, ,
CT00-0061,A,09/19/00,SMALLMOUTH FLOUNDER, ,3, ,
CT00-0061,A,09/19/00,SMOOTH DOGFISH, ,3, ,
CT00-0061,A,09/19/00,SPOT, ,1, ,
CT00-0061,A,09/19/00,SPOTTED HAKE, ,1, ,
CT00-0061,A,09/19/00,STRIPED SEAROBIN, ,11, ,
CT00-0061,A,09/19/00,SUMMER FLOUNDER, ,2, ,
CT00-0061,A,09/19/00,WEAKFISH, ,37, ,
CT00-0061,A,09/19/00,WINDOWPANE, ,3, ,
CT00-0061,A,09/19/00,WINTER FLOUNDER, ,47, ,
CT00-0063,A,09/19/00,AMERICAN SHAD, ,30, ,
CT00-0063,A,09/19/00,ATLANTIC MENHADEN, ,2, ,
CT00-0063,A,09/19/00,BAY ANCHOVY, ,2, ,
CT00-0063,A,09/19/00,BLACK SEA BASS, ,1, ,
CT00-0063,A,09/19/00,BLUEFISH, ,269, ,
CT00-0063,A,09/19/00,BUTTERFISH, ,1264, ,
CT00-0063,A,09/19/00,LITTLE SKATE, ,5, ,
CT00-0063,A,09/19/00,MOONFISH, ,391, ,
CT00-0063,A,09/19/00,SCUP, ,2147, ,
CT00-0063,A,09/19/00,SMOOTH DOGFISH, ,1, ,
CT00-0063,A,09/19/00,SPOT, ,3, ,
CT00-0063,A,09/19/00,SPOTTED HAKE, ,7, ,
CT00-0063,A,09/19/00,STRIPED SEAROBIN, ,44, ,
CT00-0063,A,09/19/00,SUMMER FLOUNDER, ,8, ,
CT00-0063,A,09/19/00,WEAKFISH, ,417, ,
CT00-0063,A,09/19/00,WINDOWPANE, ,5, ,
CT00-0063,A,09/19/00,WINTER FLOUNDER, ,25, ,
CT00-0063,A,09/19/00,YELLOW JACK, ,1, ,
CT00-0065,A,09/25/00,ALEWIFE, ,1, ,
CT00-0065,A,09/25/00,AMERICAN SHAD, ,3, ,
CT00-0065,A,09/25/00,ATLANTIC MENHADEN, ,5, ,
CT00-0065,A,09/25/00,BAY ANCHOVY, ,1, ,
CT00-0065,A,09/25/00,BLACK SEA BASS, ,1, ,
CT00-0065,A,09/25/00,BLUEFISH, ,95, ,
CT00-0065,A,09/25/00,BUTTERFISH, ,961, ,
CT00-0065,A,09/25/00,HICKORY SHAD, ,1, ,
CT00-0065,A,09/25/00,HOGCHOKER, ,1, ,
CT00-0065,A,09/25/00,LITTLE SKATE, ,13, ,
CT00-0065,A,09/25/00,MOONFISH, ,46, ,
CT00-0065,A,09/25/00,NORTHERN SEAROBIN, ,2, ,
CT00-0065,A,09/25/00,OYSTER TOADFISH, ,2, ,
CT00-0065,A,09/25/00,RED HAKE, ,1, ,
CT00-0065,A,09/25/00,SCUP, ,310, ,
CT00-0065,A,09/25/00,SPOT, ,2, ,
CT00-0065,A,09/25/00,SPOTTED HAKE, ,6, ,
CT00-0065,A,09/25/00,STRIPED SEAROBIN, ,12, ,
CT00-0065,A,09/25/00,SUMMER FLOUNDER, ,4, ,
CT00-0065,A,09/25/00,TAUTOG, ,1, ,
CT00-0065,A,09/25/00,WEAKFISH, ,295, ,
CT00-0065,A,09/25/00,WINDOWPANE, ,5, ,
CT00-0065,A,09/25/00,WINTER FLOUNDER, ,60, ,
CT00-0067,A,09/25/00,ATLANTIC MENHADEN, ,40, ,
CT00-0067,A,09/25/00,BAY ANCHOVY, ,68, ,
CT00-0067,A,09/25/00,BUTTERFISH, ,38, ,
CT00-0067,A,09/25/00,LITTLE SKATE, ,26, ,
CT00-0067,A,09/25/00,MOONFISH, ,2, ,
CT00-0067,A,09/25/00,SCUP, ,209, ,
CT00-0067,A,09/25/00,WINTER FLOUNDER, ,1, ,
CT00-0069,A,09/07/00,BAY ANCHOVY, ,94, ,
CT00-0069,A,09/07/00,BUTTERFISH, ,11, ,
CT00-0069,A,09/07/00,MOONFISH, ,1, ,
CT00-0069,A,09/07/00,NORTHERN PIPEFISH, ,3, ,
CT00-0069,A,09/07/00,SCUP, ,2, ,
CT00-0069,A,09/07/00,SUMMER FLOUNDER, ,1, ,
DE00-0001,A,10/17/00,ATLANTIC CROAKER, ,1, ,
DE00-0001,A,10/17/00,OYSTER TOADFISH, ,1, ,
DE00-0001,A,10/17/00,STRIPED BLENNY, ,1, ,
DE00-0003,A,10/17/00,ANCHOVY, ,10, ,
DE00-0003,A,10/17/00,HOGCHOKER, ,7, ,
DE00-0003,A,10/17/00,OYSTER TOADFISH, ,1, ,
DE00-0003,A,10/17/00,SUMMER FLOUNDER, ,2, ,
DE00-0007,A,10/19/00,ATLANTIC CROAKER, ,8, ,
DE00-0007,A,10/19/00,HOGCHOKER, ,60, ,
DE00-0007,A,10/19/00,SHAD, ,1, ,
DE00-0007,A,10/19/00,SPOTTAIL SHINER, ,6, ,
DE00-0007,A,10/19/00,WHITE CATFISH, ,91, ,
DE00-0007,A,10/19/00,WHITE PERCH, ,98, ,
DE00-0009,A,10/10/00,ATLANTIC CROAKER, ,21, ,
DE00-0009,A,10/10/00,BAY ANCHOVY, ,2, ,
DE00-0009,A,10/10/00,HOGCHOKER, ,1, ,
DE00-0009,A,10/10/00,SILVER PERCH, ,16, ,
DE00-0009,A,10/10/00,STRIPED BLENNY, ,1, ,
DE00-0009,A,10/10/00,SUMMER FLOUNDER, ,1, ,
DE00-0013,A,10/20/00,BAY ANCHOVY, ,1, ,
DE00-0013,A,10/20/00,HOGCHOKER, ,3, ,
DE00-0013,A,10/20/00,SPOTTAIL SHINER, ,1, ,
DE00-0013,A,10/20/00,WHITE CATFISH, ,1, ,
DE00-0015,A,10/12/00,ANCHOVY, ,30, ,
DE00-0015,A,10/12/00,ATLANTIC CROAKER, ,8, ,
DE00-0015,A,10/12/00,ATLANTIC MENHADEN, ,25, ,
DE00-0015,A,10/12/00,HOGCHOKER, ,2, ,
DE00-0015,A,10/12/00,MULLETT, ,1, ,
DE00-0015,A,10/12/00,SILVER PERCH, ,20, ,
DE00-0017,A,10/12/00,SUMMER FLOUNDER, ,4, ,
DE00-0021,A,10/20/00,BANDED KILLIFISH, ,3, ,
DE00-0021,A,10/20/00,HOGCHOKER, ,1, ,
DE00-0021,A,10/20/00,SPOTTAIL SHINER, ,4, ,
DE00-0021,A,10/20/00,SWAMP DARTER, ,2, ,
DE00-0021,A,10/20/00,WHITE PERCH, ,2, ,
DE00-0031,A,10/18/00,NORTHERN PIPEFISH, ,1, ,
DE00-0037,A,09/28/00,ATLANTIC CROAKER, ,224, ,
DE00-0037,A,09/28/00,HOGCHOKER, ,2, ,
DE00-0037,A,09/28/00,HOGCHOKER,CLASS 3,3, ,
DE00-0037,A,09/28/00,OYSTER TOADFISH, ,1, ,
DE00-0037,A,09/28/00,PIPEFISH, ,1, ,
DE00-0037,A,09/28/00,SILVER PERCH, ,1, ,
DE00-0037,A,09/28/00,STRIPED CUSK-EEL, ,3, ,
DE00-0037,A,09/28/00,WEAKFISH,CLASS 2,13, ,
DE00-0037,A,09/28/00,WEAKFISH,CLASS 3,15, ,
DE00-0039,A,10/09/00,ATLANTIC CROAKER, ,226, ,
DE00-0039,A,10/09/00,ATLANTIC SILVERSIDE, ,1, ,
DE00-0039,A,10/09/00,HOGCHOKER, ,27, ,
DE00-0039,A,10/09/00,NORTHERN SEAROBIN, ,7, ,
DE00-0039,A,10/09/00,SHEEPSHEAD MINNOW, ,6, ,
DE00-0039,A,10/09/00,SPOT, ,11, ,
DE00-0039,A,10/09/00,STRIPED CUSK-EEL, ,12, ,
DE00-0039,A,10/09/00,WEAKFISH, ,15, ,
