Dataset:              Station Information Data
File Name:            va93_1_3.txt
Date Created:         02/23/96
# Variables:          5
# Header Records:     15
# Data Records:       110
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              CLASCODE     Station class
              STRATA       Strata (L: Large, TR: Tidal River, O: Other/Small)
              STA_AREA     Station area (km2)
              ESTUARY      Estuary name

STA_NAME  CLASCODE        STRATA     STA_AREA  ESTUARY
VA93-696  BASE                L         70.00  LONG ISLAND SOUND             
VA93-697  BASE                L         70.00  LONG ISLAND SOUND             
VA93-698  BASE                L         70.00  BLOCK ISLAND SOUND            
VA93-699  BASE                L         70.00  BLOCK ISLAND SOUND            
VA93-700  BASE                L         70.00  BLOCK ISLAND SOUND            
VA93-702  BASE                O         27.94  NEW HAVEN HARBOR              
VA93-703  BASE                L         70.00  LONG ISLAND SOUND             
VA93-704  BASE                L         70.00  LONG ISLAND SOUND             
VA93-705  BASE                L         70.00  LONG ISLAND SOUND             
VA93-706  BASE                L         70.00  BLOCK ISLAND SOUND            
VA93-707  BASE                L         70.00  BLOCK ISLAND SOUND            
VA93-709  BASE                O         58.08  FISHERS SOUND                 
VA93-710  BASE                TR         5.53  HUDSON RIVER                  
VA93-711  BASE                O          3.20  MENEMSHA POND                 
VA93-712  BASE                O          2.94  QUONOCHOTAUG POND             
VA93-713  BASE                O         19.43  THAMES RIVER                  
VA93-714  BASE                O          6.88  CAPE POGE BAY                 
VA93-715  BASE                L         70.00  VINEYARD SOUND                
VA93-716  BASE                L         70.00  NANTUCKET SOUND               
VA93-717  BASE                L         70.00  NANTUCKET SOUND               
VA93-718  BASE                L         70.00  NARRAGANSETT BAY              
VA93-719  BASE                TR        17.74  HUDSON RIVER                  
VA93-720  BASE                L         70.00  BUZZARDS BAY                  
VA93-721  BASE                L         70.00  BUZZARDS BAY                  
VA93-722  BASE                O          2.88  POPPONESSETT BAY              
VA93-723  BASE                L         70.00  NANTUCKET SOUND               
VA93-724  BASE                L         70.00  NANTUCKET SOUND               
VA93-725  BASE                O         23.20  PROVIDENCE RIVER              
VA93-726  BASE                TR        12.32  HUDSON RIVER                  
VA93-727  BASE                TR         7.36  HUDSON RIVER                  
