names,species,wids
Dorvillea largidentis,Dorvillea largidentis,421057
Eulimidae,NA,135
Eunice,NA,129278
Glycera abranchiata,NA,NA
Grubeulepis,NA,129276
Haplosyllis spongicola,Haplosyllis spongicola,131321
Leucothoe spinicarpa,Leucothoe spinicarpa,102470
Lumbrineris coccinea,Lumbrineris coccinea,130242
Mesanthura,NA,205305
Notomastus tenuis,Notomastus tenuis,334241
Ophiactis savignyi,Ophiactis savignyi,125122
Opisthodonta,NA,129661
Paguristes tortugae,Paguristes tortugae,368299
Pagurotanais largoensis,Pagurotanais largoensis,247284
Paleanotus,NA,129238
Pettibonella multiuncinata,Pettibonella multiuncinata,330510
Pilargis berkeleyi,NA,NA
Pionosyllis spinisetosa,NA,NA
Polyplacophora,NA,55
Porifera,NA,558
Protohadzia schoenerae,NA,NA
Pteriidae,NA,1775
Rissoina bryerea,NA,NA
Rissoina cancellata,NA,NA
Schistomeringos,NA,129274
Scyphoproctus platyproctus,Scyphoproctus platyproctus,331798
Taylorpholoe hirsuta,Taylorpholoe hirsuta,334900
Tegula lividomaculata,NA,NA
Vaunthompsonia,NA,110394
Anachis sparsa,NA,NA
Arene tricarinata,Arene tricarinata,419474
Bemlos unicornis,Bemlos unicornis,421560
Cumella,NA,110416
Eulima,NA,137970
Excorallana,NA,248749
Excorallana sexticornis,Excorallana sexticornis,260375
Golfingia,NA,136021
Hippolytidae,NA,106777
Hoplomachus propinquus,NA,NA
Leptochelia forresti,Leptochelia forresti,247545
Syllides bansei,Syllides bansei,131404
Syllis armillaris,Syllis armillaris,131415
Thor floridanus,Thor floridanus,421783
Tricolia,NA,138564
Turbinidae,NA,503
Turbo caniculatus,NA,NA
Anodontia alba,Anodontia alba,493932
Apseudes,NA,136185
Fimbriosthenelais,NA,129588
Nereis panamensis,Nereis panamensis,329714
Odontosyllis enopla,Odontosyllis enopla,330066
Paracerceis caudata,Paracerceis caudata,261817
Paramicrodeutopus myersi,Paramicrodeutopus myersi,421563
Pectinidae,NA,213
Phlyctiderma semiaspera,NA,NA
Pitar fulminatus,NA,NA
Polycirrus plumosus,Polycirrus plumosus,131534
Saltipedis,NA,247013
Terebellides parvus,Terebellides parvus,332521
Angulus texanus,NA,NA
Renilla reniformis,Renilla reniformis,290965
Ophelina acuminata,Ophelina acuminata,130500
Abra aequalis,Abra aequalis,293683
Americhelidium americanum,Americhelidium americanum,421529
Leptochela serratorbita,Leptochela serratorbita,585689
Listriella,NA,NA
Metharpinia floridana,Metharpinia floridana,421534
Semelidae,NA,1781
Solen viridis,Solen viridis,156995
Latreutes parvulus,Latreutes parvulus,240877
Myidae,NA,247
Stenothoe minuta,Stenothoe minuta,158149
Pythinella cuneata,Pythinella cuneata,156989
Malmgreniella,NA,129499
Nassarius acutus,Nassarius acutus,160395
Semele bellastriata,Semele bellastriata,420914
Corbulidae,NA,248
Cyathura burbancki,Cyathura burbancki,255425
Longchaeus suturalis,Longchaeus suturalis,420463
Microphiopholis gracillima,Microphiopholis gracillima,405791
Leucosiidae,NA,106758
Epitonium,NA,137943
Polymesoda caroliniana,Polymesoda caroliniana,420926
Pyrgocythara plicosa,Pyrgocythara plicosa,160476
Solenidae,NA,233
Petricolaria pholadiformis,Petricolaria pholadiformis,156961
Acanthohaustorius intermedius,Acanthohaustorius intermedius,158014
Anachis obesa,NA,NA
Amphiglena,NA,129521
Odontosyllis,NA,129660
Thyonella gemmata,Thyonella gemmata,158534
Gouldia cerina,Gouldia cerina,420939
Isaeidae,NA,101388
Boonea impressa,Boonea impressa,420437
Parahaustorius longimerus,Parahaustorius longimerus,421475
Dissodactylus mellitae,Dissodactylus mellitae,158412
Ampharete,NA,129155
Arabella nultidentata,NA,NA
Ostreidae,NA,215
Phoxocephalidae,NA,101403
Rhodine,NA,129363
Lasaeidae,NA,222
Psammobiidae,NA,237
Thraciidae,NA,256
Loimia viridis,Loimia viridis,328870
Aricidea (Aricidea) fragilis,Aricidea (Aricidea) fragilis,340355
Polypedilum convictum,NA,NA
Amphiporus,NA,122391
Lunarca ovalis,Lunarca ovalis,420721
Lyonsia,NA,138154
Paracaprella,NA,205025
Pista cristata,Pista cristata,131516
Proceraea,NA,129671
Nephtys bucera,Nephtys bucera,157499
Pseudozeuxidae,NA,196161
Cancellaria reticulata,Cancellaria reticulata,515781
Eupleura caudata,Eupleura caudata,160314
Lepidonotus variabilis,Lepidonotus variabilis,328822
Musculus lateralis,Musculus lateralis,420707
Nematonereis unicornis,NA,NA
Pholadidae,NA,252
Streblosoma hartmanae,Streblosoma hartmanae,332332
Littorinidae,NA,119
Chiridotea almyra,Chiridotea almyra,257331
Lepidactylus dytiscus,NA,NA
Polinices duplicatus,NA,NA
Campanulinidae,NA,1607
Autolytus prolifera,NA,NA
Ensis minor,Ensis minor,140734
Pollia tincta,NA,NA
Solecurtidae,NA,1784
Travisia forbesii,Travisia forbesii,130512
Arthropoda,NA,1065
Campanulariidae,NA,1606
Polypedilum illinoense,NA,NA
Parvanachis ostreicola,Parvanachis ostreicola,420007
Eulimastoma,NA,415366
Fargoa gibbosa,Fargoa gibbosa,160335
Gyptis vittata,Gyptis vittata,157414
Sertulariidae,NA,1614
Diphasia,NA,117228
Panopeus simpsoni,Panopeus simpsoni,422088
Acanthohaustorius,NA,158013
Olivella,NA,138274
Protohaustorius deichmannae,Protohaustorius deichmannae,158136
Sergestidae,NA,106731
Coronadena,NA,157974
Pinnixa sayana,NA,NA
Dispio uncinata,Dispio uncinata,131125
Idotea,NA,118454
Zygonemertes,NA,122400
Ampelisca holmesi,Ampelisca holmesi,421437
Cerebratulus,NA,122348
Corbula chittyana,NA,NA
Lopescladius,NA,NA
Parahaustorius holmesi,Parahaustorius holmesi,491532
Hermundura tricuspis,Hermundura tricuspis,337595
Sigambra bassi,Sigambra bassi,157568
Cylichna,NA,137867
Microphiopholis atra,Microphiopholis atra,158072
Squilla,NA,136113
Edotia,NA,157882
Lepidonotus,NA,129496
Aegathoa oculata,Aegathoa oculata,258695
Onuphis eremita,Onuphis eremita,130470
Eunicidae,NA,966
Magelona filiformis,Magelona filiformis,130268
Semele proficua,Semele proficua,420915
Barbatia domingensis,NA,NA
Angulus tenellus,NA,NA
Phloeothripidae,NA,NA
Stenothoidae,NA,101409
Angulus merus,NA,NA
Asteroidea,NA,123080
Gattyana cirrhosa,Gattyana cirrhosa,130749
Harmothoe extenuata,Harmothoe extenuata,130762
Nephtys squamosa,Nephtys squamosa,334156
Onchidoris muricata,Onchidoris muricata,140640
Pagurus politus,Pagurus politus,158404
Periploma,NA,156937
Pontogeneia inermis,Pontogeneia inermis,102223
Praxillella gracilis,Praxillella gracilis,130324
Spio goniocephala,Spio goniocephala,131184
Tanaissus lilljeborgi,Tanaissus lilljeborgi,136486
Diastylis polita,Diastylis polita,157815
Eudorella pusilla,Eudorella pusilla,110533
Orchomenella minuta,Orchomenella minuta,102690
Photis macrocoxa,NA,NA
Polydora quadrilobata,NA,NA
Aeginina longicornis,Aeginina longicornis,101820
Hiatella arctica,Hiatella arctica,140103
Lunatia heros,NA,NA
Pleurogonium,NA,118388
Apistobranchus tullbergi,Apistobranchus tullbergi,129851
Campylaspis affinis,Campylaspis affinis,110537
Euchone incolor,Euchone incolor,155202
Galathowenia oculata,Galathowenia oculata,146950
Harpinia propinqua,NA,NA
Lumbrineris acicularum,NA,NA
Onoba pelagica,NA,NA
Pleurogonium spinosissimum,Pleurogonium spinosissimum,118802
Rhodine loveni,Rhodine loveni,130331
Stenopleustes inermis,NA,NA
Terebellides stroemii,Terebellides stroemii,131573
Ovalipes ocellatus,Ovalipes ocellatus,158434
Cirrophorus armatus,NA,NA
Mya,NA,138211
Arabella iricolor,Arabella iricolor,129854
Pandora,NA,138310
Novaquesta trifurcata,NA,NA
Aricidea quadrilobata,NA,NA
Chaetozone setosa,Chaetozone setosa,129955
Diastylis abbreviata,Diastylis abbreviata,157811
Mayerella limicola,Mayerella limicola,158041
Ophiura sarsii,Ophiura sarsii,124934
Thyasira trisinuata,Thyasira trisinuata,156674
Anonyx lilljeborgii,NA,NA
Dulichia porrecta,NA,NA
Diastylis sculpta,Diastylis sculpta,157817
Pinnotheres ostreum,NA,NA
Microprotopus,NA,101561
Argopecten irradians,Argopecten irradians,156817
Crepidula convexa,Crepidula convexa,160228
Ecrobia truncata,Ecrobia truncata,574096
Idotea phosphorea,Idotea phosphorea,157891
Abra lioica,Abra lioica,156730
Eupolymnia,NA,129693
Spio setosa,Spio setosa,157573
Ophryotrocha,NA,129266
Idotea balthica,Idotea balthica,119039
Ampeliscidae,NA,101364
Aglaophamus circinata,Aglaophamus circinata,157145
Astarte borealis,NA,NA
Politolana polita,Politolana polita,157903
Crassostrea virginica,Crassostrea virginica,140657
Hartmanodes,NA,415449
Cyclaspis pustulata,Cyclaspis pustulata,181732
Littorina littorea,NA,NA
Parougia caeca,Parougia caeca,130036
Pseudunciola obliquua,Pseudunciola obliquua,158144
Cirrophorus ilvana,NA,NA
Clymenella zonalis,NA,NA
Aphelochaeta marioni,Aphelochaeta marioni,129938
Campylaspis rubicunda,Campylaspis rubicunda,110555
Praxillella,NA,NA
Sphaerodoropsis minuta,NA,NA
Spio limicola,Spio limicola,156433
Thyasiridae,NA,219
Arbacia punctulata,Arbacia punctulata,158058
Asterias forbesi,Asterias forbesi,158489
Crenella,NA,NA
Crenella glandula,NA,NA
Euspira immaculata,NA,NA
Exogone verugera,Exogone verugera,333456
Idoteidae,NA,118283
Ischyrocerus anguipes,Ischyrocerus anguipes,102412
Microspio pigmentata,Microspio pigmentata,157490
Ophiopholis aculeata,Ophiopholis aculeata,125125
Ptychatractus ligatus,Ptychatractus ligatus,160036
Strongylocentrotus droebachien,Strongylocentrotus droebachiensis,124321
Syllides longocirratus,Syllides longocirratus,131411
Campylaspis,NA,NA
Nereis pelagica,Nereis pelagica,130404
Casco bigelowi,Casco bigelowi,158077
Caecum johnsoni,NA,NA
Spisula,NA,NA
Dodecaceria coralii,Dodecaceria coralii,157342
Finella adamsi,Finella adamsi,419537
Elysia,NA,NA
Janira maculosa,Janira maculosa,118732
Pleurobranchaea tarda,Pleurobranchaea tarda,160478
Jassa falcata,Jassa falcata,102431
Cirolanidae,NA,118273
Dipolydora,NA,NA
Astarte,NA,NA
Urosalpinx cinerea,Urosalpinx cinerea,140429
Nephtys caeca,Nephtys caeca,130355
Amphiporeia virginiana,Amphiporeia virginiana,382372
Bathyporeia quoddyensis,Bathyporeia quoddyensis,158034
Mancocuma stellifera,Mancocuma stellifera,157833
Palaemonetes pugio,NA,NA
Polypedilum simulans,NA,NA
Pectinaria granulata,NA,NA
Argissa hamatipes,Argissa hamatipes,102064
Monticellina baptisteae,NA,NA
Modiolus modiolus,Modiolus modiolus,140467
Chaetopleura apiculata,Chaetopleura apiculata,848051
Glycinde armigera,Glycinde armigera,240633
Seila adamsii,Seila adamsii,160051
Upogebia affinis,Upogebia affinis,158389
Metopella angusta,Metopella angusta,157849
Musculus niger,Musculus niger,140474
Anaitides mucosa,NA,NA
Solemya viridis,NA,NA
Diastylis,NA,NA
Goniada maculata,Goniada maculata,130140
Maldane glebifex,Maldane glebifex,130303
Paraonis pygoenigmatica,Paraonis pygoenigmatica,157523
Protodriloides chaetifer,Protodriloides chaetifer,130837
Sphaerosyllis erinaceus,NA,NA
Ceriantharia,NA,1361
Politolana impostor,Politolana impostor,256717
Sthenelais limicola,Sthenelais limicola,131077
Mysidopsis,NA,NA
Dulichia monacantha,NA,NA
Flabelligeridae,NA,976
Leptostylis longimana,Leptostylis longimana,110503
Ophiura robusta,Ophiura robusta,124933
Sphaerodoridium claparedii,Sphaerodoridium claparedii,157570
Thyasira flexuosa,Thyasira flexuosa,141662
Caudina arenata,Caudina arenata,152559
Deflexilodes,NA,236537
Hartmania moorei,Hartmania moorei,157436
Trochochaeta multisetosa,Trochochaeta multisetosa,131576
Haploops setosa,Haploops setosa,101954
Erythrops erythrophthalma,NA,NA
Nephropidae,NA,106741
Scaphopoda,NA,104
Nassarius,NA,NA
Thyasira,NA,NA
Podoceridae,NA,101405
Leitoscoloplos robustus,Leitoscoloplos robustus,421019
Macroclymene zonalis,NA,NA
Oligochaeta,NA,2036
Salvatoria clavata,Salvatoria clavata,195986
Sphaerosyllis brevidentata,Sphaerosyllis brevidentata,332002
Eteone foliosa,NA,NA
Ceratonereis irritabilis,NA,NA
Pentamera pulcherrima,Pentamera pulcherrima,149908
Ceriantheopsis americanus,NA,NA
Globosolembos smithi,Globosolembos smithi,421562
Hydroides protulicola,Hydroides protulicola,338020
Monticellina dorsobranchialis,NA,NA
Oenonidae,NA,22610
Spirorbis corrugatus,Spirorbis corrugatus,155533
Arabella,NA,NA
Gitanopsis tortugae,NA,NA
Scolelepis bousfieldi,NA,NA
Achelia spinosa,Achelia spinosa,158476
Aligena elevata,NA,NA
Jassa marmorata,Jassa marmorata,102433
Stenothoe georgiana,Stenothoe georgiana,421539
Branchiostoma caribaeum,Branchiostoma caribaeum,157858
Hemipodia simplex,Hemipodia simplex,333592
Levinsenia,NA,NA
Streptosyllis,NA,129678
Synidotea laticauda,Synidotea laticauda,257397
Travisia,NA,NA
Thalassinidea,NA,NA
Ceratopogon,NA,150975
Dero,NA,NA
Hobsonia florida,Hobsonia florida,333624
Paranais litoralis,Paranais litoralis,137485
Sphaeroma quadridentatum,Sphaeroma quadridentatum,157912
Tubificoides,NA,NA
Aulodrilus pigueti,NA,NA
Cassidinidea ovalis,Cassidinidea ovalis,259670
Gammarus daiberi,Gammarus daiberi,158091
Chaoborus punctipennis,NA,NA
Cladopelma,NA,NA
Tanypus neopunctipennis,NA,NA
Tanytarsus limneticus,NA,NA
Tribelos jucundus,NA,NA
Saccoglossus kowalevskii,Saccoglossus kowalevskii,137600
Scolelepis unidentata,NA,NA
Amastigos caperatus,Amastigos caperatus,157156
Echinodermata,NA,1806
Brania,NA,NA
Stenothoe,NA,NA
Anoplodactylus petiolatus,Anoplodactylus petiolatus,134723
Berosus,NA,NA
Boccardiella hamata,Boccardiella hamata,333121
Dicrotendipes neomodestus,NA,NA
Glyptotendipes,NA,150884
Nais communis,NA,NA
Oxyethira,NA,NA
Eulimastoma engonium,Eulimastoma engonium,420446
Microphthalmus aggregatus,Microphthalmus aggregatus,329384
Protodrilus,NA,NA
Luconacia incerta,NA,NA
Linopherus paucibranchiata,Linopherus paucibranchiata,129835
Micrura leidyi,Micrura leidyi,155912
Carinoma tremaphoros,Carinoma tremaphoros,146924
Sayella chesapeakea,Sayella chesapeakea,160444
Boccardiella ligerica,Boccardiella ligerica,131114
Branchiura sowerbyi,NA,NA
Gomphus,NA,NA
Harnischia,NA,NA
Amphiporus bioculatus,NA,NA
Cryptotendipes,NA,NA
Ilyodrilus templetoni,NA,NA
Amphitrite johnstoni,NA,NA
Styela clava,Styela clava,103929
Ericthonius rubricornis,Ericthonius rubricornis,102409
Tharyx kirkegaardi,Tharyx kirkegaardi,332545
Ephesiella minuta,NA,NA
Nuculana pernula,Nuculana pernula,140579
Retusa obtusa,Retusa obtusa,141134
Spiophanes wigleyi,Spiophanes wigleyi,131190
Clava multicornis,Clava multicornis,117426
Syllides setosa,Syllides setosa,157582
Potamilla neglecta,Potamilla neglecta,130954
Corophium volutator,Corophium volutator,102101
Nereis diversicolor,NA,NA
Pectinariidae,NA,980
Cylichna gouldii,Cylichna gouldii,160060
Yoldia sapotilla,Yoldia sapotilla,157007
Anaitides groenlandica,NA,NA
Dendrodoa carnea,Dendrodoa carnea,103881
Munna fabricii,Munna fabricii,118754
Petaloproctus tenuis,Petaloproctus tenuis,130320
Amphipholis squamata,Amphipholis squamata,125064
Exogone longicirrus,NA,NA
Priapulida,NA,101063
Sclerodactyla briareus,Sclerodactyla briareus,158532
Lamprops quadriplicata,NA,NA
Tiron spiniferum,NA,NA
Laonome kroeyeri,NA,NA
Astartidae,NA,228
Paraleucon,NA,181444
Poecilochaetus,NA,NA
Desmosoma,NA,118319
Sphaerodoridae,NA,957
Lepeta caeca,Lepeta caeca,140187
Syllides,NA,129679
Dexaminidae,NA,101378
Maera danae,Maera danae,158037
Nuculana acuta,NA,NA
Petalosarsia declivis,Petalosarsia declivis,110593
Photis reinhardi,Photis reinhardi,102387
Circeis spirillum,Circeis spirillum,131201
Ennucula delphinodonta,Ennucula delphinodonta,506605
Euchone rubrocincta,Euchone rubrocincta,130909
Eudorella truncatula,Eudorella truncatula,110535
Hiatellidae,NA,251
Munna,NA,118374
Pycnogonidae,NA,1567
Sphaerodoropsis,NA,129601
Autolytus cornutus,NA,NA
Ophelina cylindricaudata,Ophelina cylindricaudata,130503
Argissidae,NA,101369
Galathowenia,NA,146949
Eudorellopsis deformis,Eudorellopsis deformis,110536
Jaera marina,NA,NA
Marenzelleria,NA,129615
Erythrops,NA,119856
Lepidoptera,NA,NA
Orchestia grillus,NA,NA
Anthuridae,NA,118244
Melita dentata,NA,NA
Solen,NA,138515
Westwoodilla caecula,Westwoodilla caecula,102932
Campylaspis rubromaculata,Campylaspis rubromaculata,182449
Nephtys ciliata,Nephtys ciliata,130356
Psammonyx nobilis,NA,NA
Pseudoleptocuma minus,Pseudoleptocuma minus,157836
Clinocardium ciliatum,NA,NA
Leptostylis,NA,110403
Orchomenella pinguis,Orchomenella pinguis,102696
Mysis mixta,Mysis mixta,120113
Edotia montosa,Edotia montosa,157884
Assiminea succinea,NA,NA
Buccinidae,NA,149
Moelleria,NA,602534
Syllis alosae,Syllis alosae,195996
Havelockia scabra,Havelockia scabra,422530
Barantolla,NA,254302
Nuculana,NA,138259
Ampelisca agassizi,Ampelisca agassizi,158021
Byblis,NA,101446
Trichobranchidae,NA,983
Spiophanes,NA,129626
Modiolus,NA,138223
Alvania,NA,138439
Bylgides sarsi,Bylgides sarsi,130735
Ogyrides,NA,106998
Americamysis almyra,Americamysis almyra,161345
Arcuatula papyria,Arcuatula papyria,505948
Bispira,NA,129523
Epitoniidae,NA,132
Rheotanytarsus pellucidus,NA,NA
Polypedilum bergi,NA,NA
Argopecten gibbus,Argopecten gibbus,394271
Branchiomaldane vicenti,NA,NA
Pista quadrilobata,Pista quadrilobata,334544
Orbinia riseri,Orbinia riseri,157515
Terebra,NA,160427
Sigambra,NA,129467
Magelona phyllisae,Magelona phyllisae,329154
Pinnixa retinens,NA,NA
Glycera robusta,Glycera robusta,157394
Bhawania heteroseta,Bhawania heteroseta,421043
Nereis falsa,NA,NA
Hexagenia limbata,NA,NA
Pilargidae,NA,15009
Ancistrosyllis jonesi,Ancistrosyllis jonesi,157174
Transennella stimpsoni,NA,NA
Crassatellidae,NA,23013
Spio pettiboneae,Spio pettiboneae,157572
Sigambra pettiboneae,Sigambra pettiboneae,331926
Epoicocladius,NA,NA
Pseudochironomus,NA,NA
Neopanope sayi,NA,NA
Lumbrineris hebes,NA,NA
Uhlorchestia uhleri,Uhlorchestia uhleri,421548
Pseudopolydora diopatra,Pseudopolydora diopatra,331413
Nephtys discors,Nephtys discors,157500
Polypedilum trigonus,NA,NA
Cricotopus orthocladius,NA,NA
Neritidae,NA,13588
Hypereteone,NA,146983
Hyalella azteca,NA,NA
Trochidae,NA,443
Farfantepenaeus aztecus,NA,NA
Magelona rosea,Magelona rosea,130273
Cricotopus,NA,150874
Notomastus hemipodus,Notomastus hemipodus,157504
Melongenidae,NA,160182
Aplustridae,NA,411859
Pleusymtes glaber,Pleusymtes glaber,103020
Epitonium multistriatum,Epitonium multistriatum,160295
Augeneriella,NA,129522
Erpobdellidae,NA,160005
Oecetis inconspicua,NA,NA
Lysidice,NA,129280
Parahaustorius attenuatus,Parahaustorius attenuatus,491531
Boccardiella,NA,129610
Sabellariidae,NA,979
Cancridae,NA,106749
Haustorius canadensis,Haustorius canadensis,158101
Dero flabelliger,NA,NA
Naidinae,NA,176043
Oecetis,NA,NA
Paralauterborniella nigrohalterale,NA,NA
Phaenopsectra,NA,NA
Probezzia,NA,NA
Rheotanytarsus,NA,NA
Melinna,NA,129168
Callinectes sapidus,Callinectes sapidus,107379
Ablabesmyia,NA,NA
Orthocladius,NA,NA
Psectrocladius,NA,NA
Palaemonetes vulgaris,NA,NA
Cucumariidae,NA,123187
Hippolyte,NA,106987
Labidoplax,NA,123448
Nuculidae,NA,204
Microphthalmus hartmanae,Microphthalmus hartmanae,329392
Idotea metallica,Idotea metallica,119047
Oweniidae,NA,975
Circulus multistriatus,Circulus multistriatus,1591743
Ancistrosyllis groenlandica,Ancistrosyllis groenlandica,130695
Ceratonereis,NA,129372
Elliptio,NA,456403
Hexagenia,NA,NA
Optioservus,NA,NA
Quistradrilus multisetosus,NA,NA
Amphissa haliaeeti,NA,NA
Megalomma,NA,NA
Philine lima,NA,NA
Amphitrite ornata,Amphitrite ornata,157166
Pseudopotamilla,NA,129548
Paraonis,NA,129435
Onuphis quadricuspis,NA,NA
Drilonereis magna,Drilonereis magna,157358
Mytilus,NA,138228
Pinnotheres maculatus,NA,NA
Fabricia sabella,NA,NA
Pharidae,NA,23091
Listriella clymenellae,NA,NA
Eualus pusiolus,Eualus pusiolus,107507
Travisia parva,Travisia parva,332645
Janiridae,NA,118258
Fargoa dianthophila,Fargoa dianthophila,160332
Plesiolembos smithi,NA,NA
Pitar,NA,138644
Biffarius biformis,Biffarius biformis,158382
Platyhelminthes,NA,793
Eurytellina alternata,Eurytellina alternata,420867
Amphipholis gracillima,NA,NA
Carazziella,NA,325175
Carinomella lactea,Carinomella lactea,146927
Parapionosyllis,NA,129664
Sabellaria floridensis,Sabellaria floridensis,157554
Tubificoides wasselli,Tubificoides wasselli,395109
Veneroida,NA,NA
Metapenaeopsis goodei,Metapenaeopsis goodei,377493
Tubificoides brownae,Tubificoides brownae,137572
Brachyura,NA,106673
Lophogastridae,NA,119821
Glycinde,NA,129299
Amastigos,NA,157155
Enoplobranchus sanguineus,Enoplobranchus sanguineus,157370
Leptochela,NA,107050
Pionosyllis,NA,129669
Phoronida,NA,1789
Hemichordata,NA,1818
Portunus gibbesii,NA,NA
Lysidice ninetta,Lysidice ninetta,130071
Syllides fulvus,Syllides fulvus,131409
Pseudohaustorius carolinensis,NA,NA
Eteone lactea,NA,NA
Grapsidae,NA,106772
Achelia sawayai,Achelia sawayai,239556
Eulalia,NA,129445
Podarke,NA,NA
Amphiodia pulchella,Amphiodia pulchella,242674
Notomastus lineatus,Notomastus lineatus,129899
Cymatium,NA,138426
Alpheus heterochaelis,Alpheus heterochaelis,158348
Gammaridea,NA,NA
Meximaera caroliniana,NA,NA
Sigambra wassi,Sigambra wassi,157569
Persephona mediterranea,Persephona mediterranea,158443
Ogyrides hayi,Ogyrides hayi,421787
Diopatra,NA,129398
Anomura,NA,106671
Chlamydopleon,NA,226151
Euceramus praelongus,Euceramus praelongus,421863
Polydora colonia,Polydora colonia,131142
Monopylephorus rubroniveus,Monopylephorus rubroniveus,137551
Aphrogenia,NA,129195
Anchialina typica,Anchialina typica,161494
Eurydice,NA,118401
Polinices,NA,147109
Websterinereis tridentata,Websterinereis tridentata,155207
Eurypanopeus,NA,158415
Diplothyra smithii,NA,NA
Bushia,NA,415137
Myrianida,NA,129659
Polycirrus eximius dubius,NA,NA
Insecta,NA,1307
Fabricia,NA,129529
Nymphonidae,NA,1566
Thelepus setosus,Thelepus setosus,131544
Squilla empusa,Squilla empusa,158466
Modiolus americanus,Modiolus americanus,420705
Heteropodarke heteromorpha,Heteropodarke heteromorpha,328381
Notomastus americanus,NA,NA
Litopenaeus setiferus,NA,NA
Leptognathia caeca,NA,NA
Anadara notabilis,Anadara notabilis,420712
Nereis micromma,NA,NA
Owenia,NA,129427
Capitomastus aciculatus,NA,NA
Exosphaeroma diminutum,Exosphaeroma diminutum,257021
Diopatra papillata,Diopatra papillata,326965
Doriopsilla pharpa,Doriopsilla pharpa,156711
Crustacea,NA,1066
Colomastix halichondriae,Colomastix halichondriae,421457
Cirripedia,NA,1082
Molgula manhattensis,Molgula manhattensis,103788
Angulus probinus,NA,NA
Bathyporeia parkeri,Bathyporeia parkeri,550544
Synaptidae,NA,123182
Morula didyma,NA,NA
Phoronis ovalis,Phoronis ovalis,128550
Polygordiidae,NA,993
Heterodrilus,NA,137382
Petrolisthes armatus,Petrolisthes armatus,396707
Costoanachis avara,Costoanachis avara,160222
Euthelepus,NA,129694
Caridea,NA,106674
Cerithiopsis,NA,137764
Pinnotheres,NA,106976
Rimapenaeus constrictus,Rimapenaeus constrictus,158340
Cassidinidea lunifrons,Cassidinidea lunifrons,1288310
Heteronemertea,NA,122305
Cerithiopsis emersonii,NA,NA
Dondice occidentalis,Dondice occidentalis,181246
Petrolisthes,NA,206848
Glycymeris americana,Glycymeris americana,420727
Fissurellidae,NA,111
Mysida,NA,149668
Prionospio cirrobranchiata,NA,NA
Sabellaria vulgaris vulgaris,NA,NA
Parahesione,NA,156854
Americorophium aquafuscum,Americorophium aquafuscum,431324
Orchestia,NA,101783
Syllides floridanus,Syllides floridanus,332370
Tiron tropakis,NA,NA
Trachycardium egmontianum,Trachycardium egmontianum,519471
Macronychus glabratus,NA,NA
Texadina sphinctostoma,Texadina sphinctostoma,419613
Mysidacea,NA,NA
Einfeldia,NA,NA
Sabella,NA,129549
Trichoptera,NA,160252
Zalutschia zalutschicola,NA,NA
Ablabesmyia annulata,NA,NA
Clinotanypus,NA,NA
Caenis,NA,NA
Sialis,NA,NA
Tanypus concavus,NA,NA
Leucon,NA,110414
Ephemeroptera,NA,NA
Odonata,NA,404096
Orthotrichia,NA,NA
Zavreliella marmorata,NA,NA
Kiefferulus,NA,NA
Limnodrilus,NA,137388
Stylaria lacustris,NA,NA
Pristinella osborni,NA,NA
Cryptochironomus fulvus,NA,NA
Peloscolex benedeni,NA,NA
Ablabesmyia parajanta,NA,NA
Stylochus ellipticus,Stylochus ellipticus,417036
Clinotanypus pinguis,NA,NA
Procladius sublettei,NA,NA
Pagurus acadianus,Pagurus acadianus,158400
Xenochironomus,NA,NA
Kurtziella atrostyla,Kurtziella atrostyla,420345
Neohaustorius schmitzi,Neohaustorius schmitzi,158121
Chiridotea nigrescens,NA,NA
Protohaustorius longimerus,NA,NA
Exosphaeroma,NA,118429
Barnea truncata,Barnea truncata,156750
Branchiostoma virginiae,Branchiostoma virginiae,266219
Edwardsia elegans,Edwardsia elegans,158235
Skeneopsis planorbis,Skeneopsis planorbis,141539
Simulium,NA,NA
Cucumaria pulcherrima,NA,NA
Dicrotendipes nervosus,NA,NA
Odontosyllis longiseta,Odontosyllis longiseta,330079
Pagurus pubescens,Pagurus pubescens,107240
