Dataset:              Water Quality Surface Data
File Name:            CP_WQ_S.DAT
Date Created:         01Jan1998
# Variables:          9
# Header Records:     19
# Data Records:       313
Missing Value Symbol: .

Variables:    STA_NAME     Carolinian Province Office Station Name
              DATE         Sample collection date (YYMMDD)
              TIME         Sample collection time (HH:MM)
              DO           Dissolved Oxygen conc. (mg/L) at surface
              TEMP         Temperature (C) at surface
              SAL          Salinity (ppt) at surface
              PH           pH (units) at surface
              SPCOND       Specific Conductance (mS/cm @25C) surf.
              DENS         Density (Sigma t) at surface

STA_NAME;DATE;TIME;DO;TEMP;SAL;PH;SPCOND;DENS
CP94081;940726;11:22;5.8;28.5;33.6;7.8;51.1;21.16
CP94082;940810;11:16;7.0;26.9;1.4;6.7;2.3;-2.38
CP94083;940829;11:35;6.6;27.7;19.8;7.9;31.7;11.11
CP94084;940712;10:25;7.6;28.7;4.7;7.4;8.4;-0.46
CP94CF_;940829;14:15;8.5;28.2;8.2;7.4;14.2;2.32
CP94DSL;940924;8:50;.;.;19.0;.;.;.
CP94ES4;940712;12:22;8.0;27.6;4.6;8.5;8.1;-0.21
CP94JAC;940809;9:46;6.1;26.6;32.6;7.8;49.8;21.06
CP94LTH;940923;11:15;.;.;26.0;.;.;.
CP94MI_;940725;10:50;6.4;26.7;35.6;7.9;53.7;23.27
CP94NMK;940920;11:22;.;.;22.1;.;.;.
CP94PLM;940922;11:00;.;.;22.1;.;.;.
CP94RC_;940727;16:33;6.2;28.0;37.3;7.9;55.9;24.11
CP94ZI_;940725;11:37;6.2;28.2;32.2;7.7;49.2;20.23
CP95101;950809;14:15;8.9;24.4;5.0;8.2;8.9;1.00
CP95102;950808;10:01;8.5;23.6;5.0;8.5;8.8;1.19
CP95103;950808;12:45;7.1;28.1;0.1;7.5;0.2;-3.65
CP95104;950810;10:05;7.3;26.2;2.2;9.0;3.9;-1.61
CP95105;950810;12:33;8.1;26.0;3.9;8.3;6.9;-0.30
CP95106;950810;10:40;7.6;26.3;4.7;8.3;8.4;0.25
CP95107;950810;14:20;8.3;27.0;1.5;8.1;2.7;-2.35
CP95108;950808;9:00;7.7;24.0;0.2;7.6;0.5;-2.47
CP95109;950812;13:45;9.6;29.2;3.4;8.2;6.1;-1.53
CP95110;950812;12:15;9.4;27.7;3.6;8.3;6.5;-0.94
CP95111;950812;10:45;8.0;26.8;4.2;7.5;7.6;-0.26
CP95112;950812;11:31;8.1;26.1;13.3;8.0;22.2;6.73
CP95113;950812;13:06;7.9;26.4;17.3;8.0;28.1;9.59
CP95114;950720;9:17;8.7;30.3;7.5;8.5;13.0;1.16
CP95115;950725;11:20;6.9;29.3;24.2;8.0;38.1;13.89
CP95116;950718;16:13;7.4;30.4;10.0;8.2;17.1;2.97
CP95117;950721;10:56;7.0;29.6;22.7;8.1;35.9;12.62
CP95118;950711;12:36;6.9;28.2;20.4;7.9;32.7;11.40
CP95119;950711;10:56;6.9;27.6;21.1;8.0;33.7;12.06
CP95120;950719;10:10;4.9;28.6;4.7;7.3;8.4;-0.41
CP95121;950719;11:53;7.2;29.1;6.4;8.1;11.2;0.67
CP95122;950719;13:40;7.7;30.7;6.7;8.0;11.8;0.43
CP95123;950726;10:47;.;.;.;.;.;.
CP95124;950718;13:58;8.0;30.2;8.0;8.2;14.0;1.55
CP95125;950711;10:25;7.2;27.3;20.7;7.8;33.2;11.87
CP95126;950711;11:28;6.5;27.8;17.6;7.7;28.6;9.38
CP95127;950711;12:51;7.3;28.9;16.3;8.0;26.7;8.13
CP95128;950718;11:37;6.5;30.0;14.0;7.8;23.2;6.06
CP95129;950718;9:30;5.3;29.4;16.2;7.6;26.5;7.85
CP95130;950725;8:43;6.5;29.8;21.9;8.2;34.8;12.02
CP95131;950725;11:36;7.1;30.1;18.4;8.1;29.8;9.31
CP95132;950723;11:06;6.7;29.1;24.9;8.2;39.0;14.44
CP95133;950723;13:00;6.4;29.1;25.5;8.2;39.9;14.91
CP95134;950720;11:30;7.6;31.5;14.6;8.1;24.1;6.00
CP95135;950723;10:30;6.7;27.9;27.8;8.2;43.1;17.02
CP95136;950814;12:30;7.6;29.1;19.3;8.0;30.9;10.25
CP95137;.;.;.;.;.;.;.;.
CP95138;950822;12:00;6.7;27.5;17.2;7.8;28.0;9.18
CP95139;950821;11:52;8.1;27.8;16.3;8.0;26.7;8.41
CP95140;950821;13:50;7.1;28.0;16.5;7.9;26.9;8.52
CP95141;950801;9:21;6.1;31.4;36.5;8.0;54.9;22.34
CP95142;950801;10:15;5.6;30.2;36.1;7.9;54.2;22.49
CP95143;950801;11:26;5.6;30.5;36.8;8.0;55.4;22.91
CP95144;950731;13:51;6.4;30.9;33.4;8.0;50.8;20.22
CP95145;950731;10:26;5.8;30.6;33.4;7.9;50.8;20.33
CP95146;950706;10:45;4.4;26.2;3.0;6.7;5.4;-1.00
CP95147;950706;13:40;4.5;25.6;0.3;6.4;0.6;-2.82
CP95148;950705;13:00;10.3;29.2;28.9;8.2;44.8;17.41
CP95149;950817;16:37;8.1;31.4;12.2;8.3;20.6;4.29
CP95150;950817;15:11;7.6;31.4;2.2;7.9;4.1;-3.09
CP95151;950802;8:30;6.0;30.2;22.0;7.7;34.9;11.92
CP95152;950802;9:17;6.0;29.8;23.0;7.7;36.3;12.80
CP95153;950803;10:07;6.7;28.6;34.4;8.0;52.1;21.72
CP95154;950804;10:15;6.0;28.8;31.7;7.8;48.7;19.62
CP95155;950731;11:08;5.9;29.8;28.6;7.8;45.3;16.97
CP95156;950731;9:57;6.0;29.8;10.2;7.4;16.6;3.27
CP95157;950815;9:34;4.9;30.8;22.5;7.4;35.7;12.12
CP95158;950815;10:35;5.2;30.8;23.8;7.4;37.5;13.05
CP95159;950828;11:50;6.2;28.1;29.0;7.8;45.0;17.82
CP95160;950828;11:10;5.8;27.8;25.8;7.6;40.0;15.57
CP95161;950830;10:08;6.3;27.3;21.5;7.6;34.3;12.49
CP95162;950829;9:55;6.2;26.2;11.5;7.6;19.9;5.34
CP95163;950829;12:44;6.3;27.4;26.0;7.8;40.9;15.79
CP95164;950822;11:43;5.9;29.6;18.9;7.4;30.5;9.83
CP95165;950908;9:18;6.3;25.1;23.1;7.5;36.6;14.36
CP95166;950907;14:57;5.9;25.5;19.6;7.4;31.8;11.58
CP95167;950905;12:05;4.6;26.7;13.0;7.2;21.6;6.33
CP95168;950906;9:40;5.7;24.9;25.5;7.4;40.0;16.21
CP95169;950907;9:34;6.3;25.0;26.1;7.7;41.5;16.63
CP95170;950803;11:20;6.0;27.3;33.5;7.7;51.1;21.46
CP95171;950803;14:00;6.4;28.6;22.2;7.9;35.3;12.62
CP95172;950815;18:36;8.7;31.2;1.2;8.9;2.3;-3.78
CP95173;950815;15:10;5.6;32.3;34.2;7.7;51.9;20.33
CP95174;950815;13:13;5.4;31.8;21.8;7.6;34.7;11.26
CP95175;950809;14:30;6.4;30.6;25.4;8.0;39.7;14.31
CP95176;950731;12:05;6.6;29.1;19.0;8.0;30.7;10.06
CP95177;950814;9:45;6.1;32.1;17.7;7.9;28.7;8.12
CP95178;950727;10:34;5.3;29.3;16.3;7.9;26.7;8.00
CP95179;950724;14:40;7.8;32.3;17.2;8.2;28.0;7.64
CP95180;950725;10:35;5.4;30.5;17.9;7.6;29.0;8.81
CP95181;950724;11:20;6.7;30.6;18.6;7.7;30.1;9.28
CP95182;950810;11:23;7.7;30.6;10.6;8.1;12.7;3.35
CP95183;950818;10:25;5.6;31.3;28.6;8.0;44.1;16.46
CP95184;950821;13:10;5.4;32.8;20.9;7.8;33.4;10.23
CP95185;950821;10:12;4.9;30.6;22.8;7.9;36.1;12.39
CP95186;950823;11:50;5.8;30.7;24.4;8.1;38.4;13.58
CP95187;950825;13:57;7.5;27.3;24.0;8.0;37.8;14.36
CP95188;950825;11:09;6.7;27.2;14.9;7.9;24.5;7.55
CP95ASM;950927;11:25;.;.;16.2;.;.;.
CP95CB_;950811;10:52;8.2;24.7;5.0;8.2;9.0;0.91
CP95CF_;950821;13:08;6.1;29.4;19.2;7.6;30.9;10.09
CP95DIE;950926;11:58;.;.;18.0;.;.;.
CP95FOS;951010;11:08;.;.;18.8;.;.;.
CP95KOP;950926;10:50;.;.;21.1;.;.;.
CP95LTH;951025;12:27;.;.;24.2;.;.;.
CP95MI_;950803;11:25;5.0;29.6;34.3;7.8;51.8;21.34
CP95NMK;951006;10:18;.;.;21.6;.;.;.
CP95NV1;951004;10:16;.;.;10.6;.;.;.
CP95NV2;951004;11:25;.;.;14.4;.;.;.
CP95PR1;950914;9:17;8.2;25.4;11.8;8.0;19.8;5.77
CP95PR2;950914;10:42;7.5;25.2;11.9;7.9;20.1;5.93
CP95PR3;950914;12:09;9.0;26.3;9.2;8.4;15.8;3.61
CP95PR4;950914;13:40;10.8;27.0;8.1;8.5;14.0;2.58
CP95PR5;950914;15:38;10.8;27.8;7.0;8.7;12.2;1.53
CP95RC_;950801;8:35;5.7;30.0;36.4;7.9;55.1;22.76
CP95SPY;950927;12:45;.;.;17.9;.;.;.
CP95ZI_;950821;10:20;3.4;26.9;31.4;7.5;43.1;20.04
CP96201;960919;19:23;8.8;22.6;2.1;8.1;3.8;-0.72
CP96202;960918;8:55;7.7;23.7;0.6;7.0;1.2;-2.11
CP96203;960918;14:10;9.2;22.6;4.0;8.0;7.2;0.69
CP96204;960918;12:55;8.5;23.3;6.9;7.9;12.0;2.69
CP96205;960709;13:33;8.1;29.4;0.6;7.5;1.1;-3.66
CP96206;960917;17:51;8.3;24.6;3.2;8.1;5.8;-0.41
CP96207;960709;11:30;7.8;27.3;1.0;7.1;1.9;-2.75
CP96208;960919;14:08;8.8;22.7;4.9;8.3;8.7;1.34
CP96209;960919;8:04;7.9;22.2;2.2;7.5;4.0;-0.55
CP96210;960710;13:20;7.7;29.0;0.7;6.1;1.3;-3.48
CP96211;960710;9:51;7.0;28.7;0.1;7.6;0.2;-3.83
CP96212;960919;12:20;8.4;22.9;3.8;8.0;6.9;0.47
CP96213;960919;10:26;8.3;22.8;6.0;7.9;10.6;2.14
CP96214;960710;16:18;8.6;30.1;7.5;7.9;13.0;1.19
CP96215;960916;14:00;7.4;24.7;16.4;7.7;26.8;9.43
CP96216;960916;10:32;7.8;24.8;16.0;8.1;26.2;9.08
CP96217;960722;14:45;10.0;31.7;6.2;7.4;10.9;-0.24
CP96218;960916;12:20;6.5;25.5;18.2;7.9;29.5;10.55
CP96219;960916;15:28;7.5;25.2;18.5;8.0;30.0;10.86
CP96220;960723;15:45;9.1;29.4;12.6;7.6;21.1;5.17
CP96221;960722;13:23;10.0;29.1;6.7;7.6;11.7;0.89
CP96222;960916;9:10;7.8;24.6;17.1;8.1;27.8;9.94
CP96223;960723;13:48;8.5;29.2;14.5;7.6;24.0;6.70
CP96224;960916;17:50;7.5;25.0;17.1;8.0;27.8;9.83
CP96225;960722;10:00;9.3;28.1;11.1;7.8;18.8;4.45
CP96226;960722;11:42;8.4;29.2;8.7;8.0;15.0;2.39
CP96227;960916;16:13;7.4;25.3;19.6;8.1;31.5;11.66
CP96228;960723;11:28;7.6;28.3;13.8;7.7;23.0;6.44
CP96229;960916;15:00;7.3;25.2;20.4;8.1;32.5;12.25
CP96230;960915;18:40;8.4;25.1;16.8;8.0;27.4;9.58
CP96231;960916;12:50;6.0;25.3;29.1;7.9;45.0;18.81
CP96232;960725;8:43;6.8;28.7;14.8;7.8;24.4;7.02
